date,Homebuilder Sentiment Index
2017-12-01,74
2018-01-01,72
2018-02-01,72
2018-03-01,70
2018-04-01,69
2018-05-01,70
2018-06-01,68
2018-07-01,68
2018-08-01,67
2018-09-01,67
2018-10-01,68
2018-11-01,60
2018-12-01,56
2019-01-01,58
2019-02-01,62
2019-03-01,62
2019-04-01,63
2019-05-01,66
2019-06-01,64
2019-07-01,65
2019-08-01,66
2019-09-01,68
2019-10-01,71
2019-11-01,70
2019-12-01,76
2020-01-01,75
2020-02-01,74
2020-03-01,72
2020-04-01,30
2020-05-01,37
2020-06-01,58
2020-07-01,72
2020-08-01,78
2020-09-01,83
2020-10-01,85
2020-11-01,90
2020-12-01,86
2021-01-01,83
2021-02-01,84
2021-03-01,82
2021-04-01,83
2021-05-01,83
2021-06-01,81
2021-07-01,80
2021-08-01,75
2021-09-01,76
2021-10-01,80
2021-11-01,83
2021-12-01,84
2022-01-01,83
2022-02-01,82
2022-03-01,79
2022-04-01,77
2022-05-01,69
2022-06-01,67
2022-07-01,55
2022-08-01,49
2022-09-01,46
2022-10-01,38
2022-11-01,33
2022-12-01,31
2023-01-01,35
2023-02-01,42
2023-03-01,44
2023-04-01,45
2023-05-01,50
2023-06-01,55
2023-07-01,56
2023-08-01,50
2023-09-01,45
2023-10-01,40
2023-11-01,34
2023-12-01,37
2024-01-01,44
2024-02-01,48
2024-03-01,51
2024-04-01,51
2024-05-01,45
2024-06-01,43
2024-07-01,42
2024-08-01,39
2024-09-01,41
2024-10-01,43
2024-11-01,46
2024-12-01,46
2025-01-01,47
2025-02-01,42
2025-03-01,39
2025-04-01,40
2025-05-01,34
2025-06-01,32
2025-07-01,33
2025-08-01,32
2025-09-01,32
2025-10-01,37
2025-11-01,38
2025-12-01,39
2026-01-01,37
2026-02-01,36
2026-03-01,38
