date,Housing Units Completed,Housing Units Started,Housing Units Authorized
2000-01-01,1574,1636,1727
2000-02-01,1677,1737,1692
2000-03-01,1704,1604,1651
2000-04-01,1610,1626,1597
2000-05-01,1682,1575,1543
2000-06-01,1530,1559,1572
2000-07-01,1495,1463,1542
2000-08-01,1573,1541,1552
2000-09-01,1528,1507,1570
2000-10-01,1513,1549,1577
2000-11-01,1539,1551,1614
2000-12-01,1521,1532,1543
2001-01-01,1456,1600,1699
2001-02-01,1536,1625,1656
2001-03-01,1470,1590,1659
2001-04-01,1574,1649,1666
2001-05-01,1497,1605,1665
2001-06-01,1654,1636,1626
2001-07-01,1582,1670,1598
2001-08-01,1615,1567,1615
2001-09-01,1551,1562,1565
2001-10-01,1599,1540,1566
2001-11-01,1555,1602,1651
2001-12-01,1693,1568,1680
2002-01-01,1632,1698,1665
2002-02-01,1671,1829,1787
2002-03-01,1559,1642,1691
2002-04-01,1625,1592,1669
2002-05-01,1705,1764,1716
2002-06-01,1589,1717,1758
2002-07-01,1615,1655,1738
2002-08-01,1722,1633,1695
2002-09-01,1641,1804,1803
2002-10-01,1601,1648,1799
2002-11-01,1718,1753,1771
2002-12-01,1671,1788,1896
2003-01-01,1654,1853,1808
2003-02-01,1688,1629,1854
2003-03-01,1638,1726,1757
2003-04-01,1662,1643,1803
2003-05-01,1733,1751,1835
2003-06-01,1641,1867,1875
2003-07-01,1680,1897,1885
2003-08-01,1570,1833,1966
2003-09-01,1719,1939,1961
2003-10-01,1728,1967,2012
2003-11-01,1692,2083,1918
2003-12-01,1716,2057,1987
2004-01-01,1709,1911,1952
2004-02-01,1718,1846,1966
2004-03-01,1794,1998,2066
2004-04-01,1938,2003,2070
2004-05-01,1893,1981,2150
2004-06-01,1857,1828,2020
2004-07-01,1881,2002,2112
2004-08-01,1911,2024,2056
2004-09-01,1796,1905,2041
2004-10-01,1839,2072,2097
2004-11-01,1758,1782,2079
2004-12-01,1921,2042,2082
2005-01-01,1892,2144,2139
2005-02-01,1908,2207,2114
2005-03-01,1787,1864,2062
2005-04-01,1927,2061,2150
2005-05-01,2103,2025,2085
2005-06-01,1965,2068,2178
2005-07-01,1886,2054,2203
2005-08-01,1952,2095,2219
2005-09-01,1922,2151,2263
2005-10-01,1962,2065,2170
2005-11-01,1907,2147,2218
2005-12-01,1941,1994,2120
2006-01-01,2036,2273,2212
2006-02-01,2048,2119,2141
2006-03-01,2245,1969,2118
2006-04-01,2071,1821,1998
2006-05-01,1897,1942,1905
2006-06-01,2050,1802,1867
2006-07-01,1934,1737,1763
2006-08-01,1877,1650,1722
2006-09-01,2011,1720,1655
2006-10-01,1918,1491,1570
2006-11-01,1893,1570,1535
2006-12-01,1888,1649,1638
2007-01-01,1822,1409,1626
2007-02-01,1640,1480,1598
2007-03-01,1623,1495,1596
2007-04-01,1539,1490,1470
2007-05-01,1536,1415,1493
2007-06-01,1481,1448,1407
2007-07-01,1534,1354,1361
2007-08-01,1512,1330,1321
2007-09-01,1356,1183,1261
2007-10-01,1405,1264,1192
2007-11-01,1390,1197,1224
2007-12-01,1328,1037,1149
2008-01-01,1331,1084,1094
2008-02-01,1274,1103,1014
2008-03-01,1195,1005,967
2008-04-01,1022,1013,1008
2008-05-01,1142,973,995
2008-06-01,1142,1046,1180
2008-07-01,1087,923,921
2008-08-01,1017,844,858
2008-09-01,1160,820,797
2008-10-01,1055,777,736
2008-11-01,1076,652,626
2008-12-01,1021,560,554
2009-01-01,777,490,545
2009-02-01,819,582,558
2009-03-01,839,505,513
2009-04-01,846,478,521
2009-05-01,818,540,556
2009-06-01,797,585,601
2009-07-01,797,594,595
2009-08-01,792,586,616
2009-09-01,721,585,609
2009-10-01,746,534,583
2009-11-01,844,588,623
2009-12-01,750,581,664
2010-01-01,689,614,636
2010-02-01,670,604,650
2010-03-01,635,636,687
2010-04-01,737,687,637
2010-05-01,702,583,575
2010-06-01,894,536,587
2010-07-01,572,546,579
2010-08-01,592,599,580
2010-09-01,632,594,563
2010-10-01,605,543,558
2010-11-01,552,545,560
2010-12-01,565,539,632
2011-01-01,520,630,576
2011-02-01,615,517,542
2011-03-01,591,600,583
2011-04-01,549,554,581
2011-05-01,549,561,618
2011-06-01,579,608,636
2011-07-01,634,623,621
2011-08-01,614,585,647
2011-09-01,603,650,610
2011-10-01,566,610,671
2011-11-01,585,711,706
2011-12-01,610,694,697
2012-01-01,545,723,712
2012-02-01,561,704,738
2012-03-01,582,695,806
2012-04-01,671,753,732
2012-05-01,626,708,796
2012-06-01,625,757,794
2012-07-01,676,740,849
2012-08-01,684,754,840
2012-09-01,652,847,930
2012-10-01,730,915,887
2012-11-01,668,833,917
2012-12-01,677,976,941
2013-01-01,714,888,940
2013-02-01,729,962,980
2013-03-01,816,1010,936
2013-04-01,712,835,1012
2013-05-01,708,930,1003
2013-06-01,736,839,942
2013-07-01,784,880,997
2013-08-01,765,917,964
2013-09-01,776,850,1004
2013-10-01,801,925,1044
2013-11-01,839,1100,1029
2013-12-01,778,1002,1005
2014-01-01,838,888,976
2014-02-01,876,944,1039
2014-03-01,893,970,1067
2014-04-01,834,1043,1090
