date,Government Fiscal Balance,Government Interest Outlays,Government Net Outlays,Government Receipts
2008-09-30,-458553,252757,2982544,2523991
2009-09-30,-1412688,186902,3517677,2104989
2010-09-30,-1294373,196194,3457079,2162706
2011-09-30,-1299599,229962,3603065,2303466
2012-09-30,-1076573,220408,3526563,2449990
2013-09-30,-679775,220885,3454881,2775106
2014-09-30,-484793,228956,3506284,3021491
2015-09-30,-441960,223181,3691850,3249890
2016-09-30,-584650,240033,3852615,3267965
2017-09-30,-665450,262551,3981634,3316184
2018-09-30,-779074,324975,4108981,3329907
2019-09-30,-983588,375158,4446952,3463364
2020-09-30,-3095653,345470,6516817,3421164
2021-09-30,-2773594,352338,6820705,4047111
2022-09-30,-1374171,475887,6271510,4897339
2023-09-30,-1687467,658267,6128415,4440948
2024-09-30,-1815377,879879,6735261,4919884
2025-09-30,-1774684,970065,7011105,5236421
