date,Real GDP (Level),Sovereign Debt Percentage of GDP,Sovereign Debt
2008-01-01,16843.003,64.17278,9437594
2008-04-01,16943.291,63.85172,9492006
2008-07-01,16854.295,67.28455,10024725
2008-10-01,16485.35,73.24515,10699805
2009-01-01,16298.262,77.10496,11126941
2009-04-01,16269.145,80.28013,11545275
2009-07-01,16326.281,82.42733,11909828
2009-10-01,16502.754,84.02935,12311349
2010-01-01,16582.71,86.51175,12773123
2010-04-01,16743.162,88.12832,13201792
2010-07-01,16872.266,89.56528,13561622
2010-10-01,16960.864,91.61134,14025215
2011-01-01,16920.632,92.95614,14270114
2011-04-01,17035.114,92.1938,14343087
2011-07-01,17031.313,94.52098,14790340
2011-10-01,17222.583,96.09072,15222940
2012-01-01,17367.01,97.12308,15606518
2012-04-01,17444.525,97.82763,15855037
2012-07-01,17469.65,98.44787,16066240
2012-10-01,17489.852,100.07497,16432730
2013-01-01,17662.4,100.73997,16771381
2013-04-01,17709.671,100.05758,16738320
2013-07-01,17860.45,98.72797,16738180
2013-10-01,18016.147,99.79118,17156119
2014-01-01,17953.974,102.34617,17601227
2014-04-01,18185.911,100.6513,17632606
2014-07-01,18406.941,100.11145,17824071
2014-10-01,18500.031,101.2805,18141444
2015-01-01,18666.621,100.49009,18152056
2015-04-01,18782.243,99.30094,18151998
2015-07-01,18857.418,98.63595,18150618
2015-10-01,18892.206,102.64192,18922179
2016-01-01,19001.69,103.98904,19264939
2016-04-01,19062.709,103.58005,19381591
2016-07-01,19197.938,103.60355,19573445
2016-10-01,19304.352,104.64891,19976827
2017-01-01,19398.343,102.93741,19846420
2017-04-01,19506.949,102.08817,19844554
2017-07-01,19660.766,102.80463,20244900
2017-10-01,19882.352,102.27408,20492747
2018-01-01,20044.077,103.74395,21089643
2018-04-01,20150.476,102.98411,21195070
2018-07-01,20276.154,103.4489,21516058
2018-10-01,20304.874,105.04941,21974096
2019-01-01,20431.641,104.34017,22027880
2019-04-01,20602.275,102.92245,22023283
2019-07-01,20843.322,104.61492,22719402
2019-10-01,20985.448,105.78193,23201380
2020-01-01,20709.212,106.77007,23223813
2020-04-01,19077.992,132.66287,26477241
2020-07-01,20558.879,124.14692,26945391
2020-10-01,20791.917,125.62864,27747798
2021-01-01,21082.134,124.03752,28132570
2021-04-01,21440.929,121.78582,28529436
2021-07-01,21617.828,118.54086,28428919
2021-10-01,21988.737,119.3588,29617215
2022-01-01,21932.71,120.39819,30400960
2022-04-01,21967.045,118.20207,30568582
2022-07-01,22125.625,117.43832,30928912
2022-10-01,22278.345,117.36678,31419689
2023-01-01,22439.607,115.58614,31458438
2023-04-01,22580.499,117.44355,32332274
2023-07-01,22840.989,118.13897,33167334
2023-10-01,23033.78,119.61944,34001494
2024-01-01,23082.119,120.47631,34586533
2024-04-01,23286.508,119.50314,34831634
2024-07-01,23478.57,120.17172,35464674
2024-10-01,23586.542,121.43633,36218605
2025-01-01,23548.21,120.54515,36214309.52
2025-04-01,23770.976,118.78171,36211469
2025-07-01,24026.834,121.02875,37637552.6
2025-10-01,24055.749,122.56815,38514009
2026-01-01,24174.527,,
