date,Official Reserves Excluding Gold,Exports of Goods,Imports of Goods,Trade Balance Goods and Services,Trade Balance Goods,Exports of Services,Imports of Services,Trade Balance Services,Exports of Goods and Services,Imports of Goods and Services
2006-01-01,54549.61312,81984,154855,-65861,-72871,33737,26726,7010,115721,181582
2006-02-01,54320.63663,82943,150436,-61219,-67493,33809,27534,6274,116751,177971
2006-03-01,54310.82277,84745,152762,-61223,-68017,34003,27208,6795,118748,179970
2006-04-01,55805.22098,84593,153300,-61465,-68707,34879,27637,7243,119472,180937
2006-05-01,56049.3144,85841,157124,-63654,-71283,35195,27565,7629,121035,184689
2006-06-01,56892.91422,87739,157467,-62611,-69728,34871,27754,7117,122610,185221
2006-07-01,56517.73383,85676,158363,-65727,-72687,34622,27662,6960,120297,186025
2006-08-01,55564.74201,87953,162167,-67126,-74214,34686,27598,7088,122639,189765
2006-09-01,55175.95903,88736,160014,-63934,-71279,35164,27819,7344,123899,187834
2006-10-01,54547.37466,89373,155327,-58351,-65954,36011,28409,7602,125384,183736
2006-11-01,55663.88698,90348,156144,-57728,-65796,36888,28820,8068,127236,184964
2006-12-01,54853.87476,90975,160234,-60638,-69259,37673,29052,8621,128648,189286
2007-01-01,54022.30471,92195,157970,-56803,-65776,38309,29336,8973,130503,187306
2007-02-01,55040.56445,90572,156951,-57233,-66380,38768,29621,9146,129339,186573
2007-03-01,55509.56947,94037,164681,-60865,-70644,39681,29901,9780,133718,194583
2007-04-01,55678.48152,93672,162341,-59183,-68670,39593,30107,9486,133265,192448
2007-05-01,54966.44351,95704,163599,-58350,-67895,39993,30448,9545,135697,194046
2007-06-01,55085.99095,96544,165280,-58749,-68735,40617,30631,9986,137162,195911
2007-07-01,55988.15146,97079,166277,-58917,-69198,41339,31058,10281,138418,197335
2007-08-01,56467.27701,98850,165910,-55802,-67060,42517,31258,11259,141367,197169
2007-09-01,58029.32839,99722,167436,-56744,-67714,42183,31213,10970,141905,198648
2007-10-01,58585.38871,101170,169470,-56284,-68299,43180,31164,12015,144350,200634
2007-11-01,59924.90623,102239,173980,-59305,-71741,43848,31412,12435,146087,205392
2007-12-01,59524.23446,103367,172452,-56848,-69084,43890,31654,12236,147257,204105
2008-01-01,60975.58538,106639,178289,-59578,-71650,44317,32245,12072,150956,210534
2008-02-01,62362.96728,109141,183250,-62453,-74110,44410,32753,11656,153550,216003
2008-03-01,64723.0757,107934,178852,-58626,-70917,44776,32484,12291,152710,211336
2008-04-01,63330.56802,112208,186523,-61951,-74315,45137,32773,12364,157344,219295
2008-05-01,64128.93556,112971,186839,-60720,-73868,45933,32786,13148,158905,219625
2008-06-01,64698.62567,117785,190071,-59235,-72286,46097,33045,13051,163882,223116
2008-07-01,63790.81175,120156,197785,-65290,-77628,45904,33566,12338,166061,231351
2008-08-01,61519.35556,117826,189366,-60677,-71541,45295,34432,10863,163121,223798
2008-09-01,60792.97289,109228,179683,-58706,-70455,45170,33421,11749,154398,213104
2008-10-01,58721.91423,106639,176777,-59078,-70138,45040,33980,11060,151679,210757
2008-11-01,62337.35916,99102,152703,-43255,-53601,43721,33375,10346,142823,186078
2008-12-01,66607.0061,89166,141149,-42034,-51983,43120,33172,9949,132287,174321
2009-01-01,64322.52548,83705,130870,-37699,-47164,42054,32588,9466,125759,163458
2009-02-01,62157.739,86043,123402,-27195,-37359,41766,31602,10164,127809,155004
2009-03-01,63916.5098,84462,123437,-28787,-38976,41931,31742,10188,126392,155180
2009-04-01,64073.5329,82580,122124,-29023,-39544,42652,32130,10521,125231,154254
2009-05-01,70696.7731,84534,120129,-24648,-35595,42690,31743,10947,127224,151872
2009-06-01,70447.55288,86944,123788,-25923,-36844,42715,31794,10921,129658,155581
2009-07-01,71890.20906,88738,131576,-32056,-42838,42992,32209,10782,131729,163785
2009-08-01,115805.0098,88800,130616,-30357,-41816,43582,32124,11459,132383,162740
2009-09-01,123254.9296,92743,138039,-33901,-45296,44110,32715,11395,136853,170754
2009-10-01,123649.0379,95836,141186,-33486,-45350,45016,33152,11864,140852,174339
2009-11-01,123978.9202,96260,145332,-36878,-49072,45603,33409,12194,141862,178741
2009-12-01,119718.8726,99687,149527,-37770,-49840,45609,33540,12070,145296,183066
2010-01-01,118919.2128,99243,148319,-36189,-49076,46305,33418,12887,145548,181737
2010-02-01,118251.7013,100546,152565,-40015,-52020,46147,34142,12005,146693,186708
2010-03-01,116479.7,104490,156040,-38763,-51549,46396,33610,12786,150886,189649
2010-04-01,115440.3789,103405,155845,-39865,-52440,46513,33938,12575,149918,189783
2010-05-01,113133.3427,106546,160141,-40482,-53595,47104,33991,13113,153650,194132
2010-06-01,113472.9857,105364,164456,-45705,-59092,47775,34388,13387,153138,198843
2010-07-01,118086.0935,108197,161613,-39896,-53416,48413,34893,13520,156610,196506
2010-08-01,117405.6675,108331,166459,-43962,-58128,49258,35093,14166,157589,201551
2010-09-01,122057.9965,108638,165935,-42687,-57297,49786,35176,14610,158424,201111
2010-10-01,124350.6767,113684,167399,-38883,-53715,50334,35502,14832,164019,202901
2010-11-01,119241.17,114639,167024,-36974,-52385,50773,35362,15410,165412,202386
2010-12-01,121391.8062,117196,173155,-39984,-55958,51094,35119,15974,168290,208274
2011-01-01,122902.1055,118562,181172,-46290,-62609,51182,34862,16319,169744,216034
