date,Primary Investment Income payments,Current Account Balance,Net International Investment Position Quarterly
2006-01-01,142014,-801.755,-1655616
2006-04-01,156769,-828.77,-1678770
2006-07-01,166695,-875.813,-2005759
2006-10-01,171821,-770.888,-1807819
2007-01-01,179301,-805.547,-1654166
2007-04-01,190898,-778.679,-1421382
2007-07-01,187435,-708.957,-1231443
2007-10-01,178839,-670.257,-1278830
2008-01-01,184801,-735.552,-1849030
2008-04-01,180808,-731.276,-1834418
2008-07-01,168604,-719.025,-3309018
2008-10-01,156797,-631.079,-3994625
2009-01-01,132698,-403.189,-3856030
2009-04-01,130478,-354.508,-3199376
2009-07-01,125770,-366.635,-2669479
2009-10-01,134830,-408.097,-2626940
2010-01-01,130619,-421.555,-2769046
2010-04-01,132797,-444.135,-3180635
2010-07-01,136227,-472.695,-2746288
2010-10-01,140140,-420.758,-2511072
2011-01-01,141615,-476.625,-2638416
2011-04-01,148165,-477.942,-2785304
2011-07-01,146075,-436.398,-4134034
2011-10-01,139244,-450.378,-4454616
2012-01-01,144567,-467.257,-4604772
2012-04-01,143007,-445.744,-5259919
2012-07-01,145517,-397.94,-5000197
2012-10-01,146355,-385.07,-4569528
2013-01-01,150693,-381.192,-5094143
2013-04-01,150184,-376.726,-5527281
2013-07-01,148457,-352.464,-4994325
2013-10-01,151497,-294.365,-5443587
2014-01-01,153493,-371.64,-5503555
2014-04-01,157370,-345.269,-5490052
2014-07-01,157735,-356.02,-6206947
2014-10-01,161077,-427.466,-7021188
2015-01-01,153374,-418.937,-6960663
2015-04-01,160869,-405.373,-6874739
2015-07-01,161519,-454.184,-7427021
2015-10-01,147269,-413.806,-7590470
2016-01-01,156600,-428.143,-7886675
2016-04-01,161881,-397.207,-8340977
2016-07-01,163687,-392.808,-8104523
2016-10-01,161314,-387.256,-8258387
2017-01-01,168684,-359.156,-8091781
2017-04-01,176335,-428.217,-7959439
2017-07-01,183301,-349.685,-7743743
2017-10-01,192228,-374.924,-7830723
2018-01-01,194629,-391.861,-7944390
2018-04-01,207476,-376.66,-8915229
2018-07-01,211375,-484.545,-9668234
2018-10-01,216985,-511.567,-9795821
2019-01-01,216009,-463.237,-10349908
2019-04-01,221472,-477.302,-10738701
2019-07-01,218492,-446.485,-11520386
2019-10-01,217029,-402.02,-11666440
2020-01-01,195674,-379.273,-12608703
2020-04-01,172481,-509.309,-13599447
2020-07-01,190744,-648.043,-14460621
2020-10-01,202959,-721.855,-14721004
2021-01-01,212999,-773.733,-15050086
2021-04-01,227791,-854.084,-16098813
2021-07-01,237161,-934.369,-16448862
2021-10-01,234944,-914.795,-18832520
2022-01-01,246027,-1101.415,-18333493
2022-04-01,250650,-1031.357,-16650078
2022-07-01,263683,-938.398,-16868546
2022-10-01,279409,-933.614,-16161430
2023-01-01,300898,-917.492,-16775718
2023-04-01,310211,-926.664,-18309236
2023-07-01,327591,-916.758,-18289983
2023-10-01,342531,-990.439,-20416524
2024-01-01,357168,-1065.578,-22017009
2024-04-01,369595,-1152.789,-23206115
2024-07-01,366053,-1318.433,-24510534
2024-10-01,368516,-1182.609,-26539470
2025-01-01,353029,-1502.616,-24652929
2025-04-01,376738,-1167.159,-26158000
2025-07-01,384492,-979.092,-27551087
2025-10-01,373903,-890.031,-27537021
