date,DXY,EUR/USD,USD/JPY,GBP/USD,USD/CHF,AUD/USD,NZD/USD,USD/CAD,USD/NOK,USD/CNY,USD/HKD,USD/SGD,USD/INR,USD/BRL,USD/MXN,USD/ZAR,EUR/GBP,EUR/JPY,AUD/JPY
2015-01-01,94.8,1.1286,117.44,1.5066,0.9206,0.7766,0.7258,1.273,7.7239,6.2495,7.7517,1.353,62.01,2.6814,14.984,11.6435,0.7489,132.54,91.2
2015-01-02,95.32,1.1193,119.51,1.5432,0.953,0.7809,0.756,1.2506,7.6618,6.2695,7.7557,1.3627,61.649,2.838,14.946,11.663,0.7251,133.77,93.33
2015-01-03,98.36,1.073,120.12,1.4816,0.9725,0.7605,0.7468,1.2686,8.0587,6.199,7.7523,1.3716,62.281,3.1947,15.2588,12.1255,0.724,128.89,91.35
2015-01-04,94.6,1.1222,119.34,1.5349,0.9323,0.7897,0.7614,1.2075,7.5302,6.2018,7.75,1.323,63.52,3.014,15.3433,11.909,0.7309,133.92,94.31
2015-01-05,96.91,1.0987,124.11,1.5288,0.9402,0.7636,0.71,1.2445,7.7684,6.198,7.7529,1.3475,63.733,3.1788,15.374,12.1531,0.7184,136.36,94.77
2015-01-06,95.48,1.1135,122.49,1.5705,0.9353,0.7704,0.6762,1.2491,7.8419,6.2,7.7509,1.3471,63.594,3.102,15.7374,12.1649,0.7086,136.39,94.37
2015-01-07,97.34,1.0987,123.92,1.5622,0.9655,0.7302,0.6582,1.3086,8.1722,6.2097,7.7528,1.3716,63.978,3.4204,16.1077,12.671,0.7031,136.15,90.49
2015-01-08,95.82,1.1211,121.22,1.5342,0.9669,0.711,0.6334,1.3135,8.2771,6.376,7.7495,1.411,66.402,3.6187,16.7502,13.261,0.7306,135.89,86.18
2015-01-09,96.35,1.1176,119.84,1.5127,0.9727,0.7017,0.6393,1.3312,8.5135,6.3556,7.7499,1.422,65.507,3.9478,16.9173,13.8406,0.7386,133.93,84.09
2015-01-10,96.95,1.1005,120.61,1.5428,0.9875,0.7137,0.6771,1.3076,8.482,6.318,7.7505,1.4005,65.413,3.8562,16.492,13.8185,0.7132,132.73,86.08
2015-01-11,100.17,1.0563,123.08,1.5054,1.0286,0.7226,0.658,1.3362,8.6952,6.3981,7.7523,1.4102,66.452,3.8675,16.5715,14.4479,0.7014,130.01,88.94
2015-01-12,98.63,1.086,120.3,1.4738,1.0018,0.7275,0.6825,1.3839,8.8398,6.4921,7.7501,1.4175,66.198,3.9593,17.17,15.4615,0.7368,130.65,87.52
2016-01-01,99.61,1.0834,121.03,1.4245,1.0227,0.7082,0.6469,1.3971,8.6742,6.5752,7.7801,1.4239,67.868,3.9973,18.1,15.871,0.7603,131.12,85.71
2016-01-02,98.21,1.0871,112.66,1.3915,0.998,0.7138,0.6588,1.3538,8.6859,6.5525,7.777,1.4064,68.198,4.0156,18.125,15.8565,0.7811,122.47,80.42
2016-01-03,94.59,1.1378,112.56,1.4358,0.9611,0.7654,0.6903,1.3004,8.2599,6.448,7.7565,1.348,66.25,3.5925,17.2786,14.7637,0.7921,128.07,86.15
2016-01-04,93.08,1.1454,106.35,1.4611,0.9595,0.7602,0.6973,1.2551,8.0399,6.4738,7.7568,1.3436,66.415,3.4352,17.17,14.2295,0.7837,121.81,80.85
2016-01-05,95.89,1.1129,110.68,1.4477,0.9934,0.7229,0.6757,1.3092,8.3779,6.5798,7.7708,1.3772,67.199,3.6105,18.4664,15.7081,0.7686,123.18,80.01
2016-01-06,96.14,1.1104,103.25,1.3306,0.9759,0.745,0.713,1.2923,8.3611,6.6459,7.759,1.3468,67.493,3.2126,18.268,14.68,0.8341,114.65,76.89
2016-01-07,95.53,1.117,102.05,1.3226,0.9688,0.7595,0.7202,1.3028,8.4471,6.6371,7.7571,1.3393,66.63,3.2471,18.7465,13.875,0.8447,114.03,77.51
2016-01-08,96.02,1.1156,103.42,1.3137,0.9836,0.7514,0.7248,1.3104,8.3227,6.6776,7.7565,1.3622,66.963,3.2266,18.7801,14.73,0.8491,115.38,77.71
2016-01-09,95.46,1.1238,101.33,1.2975,0.9714,0.7654,0.7281,1.3127,7.9838,6.6685,7.7556,1.3623,66.546,3.2589,19.375,13.71,0.8659,113.87,77.56
2016-01-10,98.44,1.0979,104.81,1.2242,0.9889,0.7609,0.7148,1.3408,8.2556,6.7735,7.7549,1.3905,66.675,3.1878,18.859,13.46,0.8965,115.07,79.74
2016-01-11,101.5,1.0585,114.44,1.2504,1.0172,0.7382,0.7081,1.3433,8.5185,6.8837,7.7563,1.4332,68.588,3.3827,20.567,14.08,0.8463,121.15,84.48
2016-01-12,102.21,1.0513,116.87,1.2336,1.0178,0.7215,0.6941,1.343,8.637,6.943,7.7541,1.4478,67.945,3.2532,20.715,13.7311,0.8519,122.87,84.32
2017-01-01,99.51,1.0795,112.78,1.2577,0.9892,0.7583,0.7306,1.3028,8.241,6.8768,7.7588,1.4097,67.49,3.1507,20.832,13.4601,0.8581,121.77,85.53
2017-01-02,101.12,1.0575,112.75,1.238,1.0056,0.7657,0.719,1.3299,8.3922,6.8665,7.7621,1.4029,66.7,3.1086,20.1,13.1149,0.8541,119.23,86.33
2017-01-03,100.35,1.0649,111.38,1.2545,1.0029,0.7628,0.7005,1.3311,8.5949,6.8832,7.7708,1.3967,64.85,3.123,18.72,13.4197,0.8483,118.63,84.96
2017-01-04,99.05,1.0895,111.53,1.2946,0.995,0.7484,0.6866,1.365,8.5816,6.89,7.7778,1.3965,64.27,3.1758,18.81,13.3618,0.841,121.51,83.47
2017-01-05,96.92,1.1241,110.75,1.2888,0.9676,0.7429,0.7082,1.3499,8.4338,6.8098,7.7915,1.3831,64.505,3.2262,18.6192,13.1015,0.8719,124.51,82.28
2017-01-06,95.63,1.1423,112.35,1.3025,0.9581,0.7686,0.7332,1.2962,8.3454,6.7793,7.8068,1.376,64.615,3.3063,18.1228,13.0476,0.8767,128.34,86.35
2017-01-07,92.86,1.184,110.25,1.3212,0.9664,0.8002,0.7513,1.2477,7.8616,6.724,7.81,1.3545,64.17,3.1259,17.7917,13.1653,0.8959,130.52,88.21
