date,MSCI World
2015-01-01,"1,677.54"
2015-01-02,"1,772.86"
2015-01-03,"1,740.81"
2015-01-04,"1,778.40"
2015-01-05,"1,779.31"
2015-01-06,"1,735.61"
2015-01-07,"1,765.60"
2015-01-08,"1,645.43"
2015-01-09,"1,581.92"
2015-01-10,"1,705.80"
2015-01-11,"1,694.40"
2015-01-12,"1,662.79"
2016-01-01,"1,562.18"
2016-01-02,"1,547.17"
2016-01-03,"1,648.12"
2016-01-04,"1,670.80"
2016-01-05,"1,674.61"
2016-01-06,"1,653.23"
2016-01-07,"1,721.79"
2016-01-08,"1,719.52"
2016-01-09,"1,725.67"
2016-01-10,"1,690.92"
2016-01-11,"1,712.09"
2016-01-12,"1,751.22"
2017-01-01,"1,792.40"
2017-01-02,"1,838.70"
2017-01-03,"1,853.69"
2017-01-04,"1,878.28"
2017-01-05,"1,911.74"
2017-01-06,"1,916.43"
2017-01-07,"1,961.10"
2017-01-08,"1,959.74"
2017-01-09,"2,000.55"
2017-01-10,"2,036.80"
2017-01-11,"2,077.36"
2017-01-12,"2,103.45"
2018-01-01,"2,213.24"
2018-01-02,"2,117.99"
2018-01-03,"2,066.85"
2018-01-04,"2,086.51"
2018-01-05,"2,092.92"
2018-01-06,"2,089.30"
2018-01-07,"2,153.10"
2018-01-08,"2,175.50"
2018-01-09,"2,184.01"
2018-01-10,"2,021.98"
2018-01-11,"2,041.36"
2018-01-12,"1,883.90"
2019-01-01,"2,028.49"
2019-01-02,"2,085.84"
2019-01-03,"2,107.74"
2019-01-04,"2,178.67"
2019-01-05,"2,046.25"
2019-01-06,"2,178.35"
2019-01-07,"2,187.56"
2019-01-08,"2,138.52"
2019-01-09,"2,180.02"
2019-01-10,"2,233.53"
2019-01-11,"2,292.26"
2019-01-12,"2,358.47"
2020-01-01,"2,342.41"
2020-01-02,"2,141.12"
2020-01-03,"1,852.73"
2020-01-04,"2,052.85"
2020-01-05,"2,147.88"
2020-01-06,"2,201.79"
2020-01-07,"2,304.98"
2020-01-08,"2,455.51"
2020-01-09,"2,367.27"
2020-01-10,"2,292.93"
2020-01-11,"2,583.14"
2020-01-12,"2,690.04"
2021-01-01,"2,661.69"
2021-01-02,"2,726.91"
2021-01-03,"2,811.70"
2021-01-04,"2,938.76"
2021-01-05,"2,975.70"
2021-01-06,"3,017.23"
2021-01-07,"3,069.25"
2021-01-08,"3,141.35"
2021-01-09,"3,006.60"
2021-01-10,"3,174.73"
2021-01-11,"3,101.80"
2021-01-12,"3,231.73"
2022-01-01,"3,059.05"
2022-01-02,"2,977.95"
2022-01-03,"3,053.07"
2022-01-04,"2,795.62"
2022-01-05,"2,791.01"
2022-01-06,"2,546.19"
2022-01-07,"2,746.36"
2022-01-08,"2,627.32"
2022-01-09,"2,378.65"
2022-01-10,"2,547.72"
2022-01-11,"2,720.89"
2022-01-12,"2,602.69"
2023-01-01,"2,785.00"
2023-01-02,"2,714.57"
2023-01-03,"2,791.44"
2023-01-04,"2,835.93"
2023-01-05,"2,800.56"
2023-01-06,"2,966.72"
2023-01-07,"3,064.30"
2023-01-08,"2,986.02"
2023-01-09,"2,853.24"
2023-01-10,"2,768.62"
2023-01-11,"3,023.63"
2023-01-12,"3,169.18"
2024-01-01,"3,205.32"
2024-01-02,"3,337.20"
2024-01-03,"3,437.76"
2024-01-04,"3,305.30"
2024-01-05,"3,445.17"
2024-01-06,"3,511.78"
2024-01-07,"3,571.57"
2024-01-08,"3,661.24"
2024-01-09,"3,723.03"
2024-01-10,"3,647.14"
2024-01-11,"3,810.14"
2024-01-12,"3,707.84"
2025-01-01,"3,836.58"
2025-01-02,"3,805.33"
2025-01-03,"3,628.64"
2025-01-04,"3,655.52"
2025-01-05,"3,863.48"
2025-01-06,"4,026.44"
2025-01-07,"4,076.04"
2025-01-08,"4,177.72"
2025-01-09,"4,306.70"
2025-01-10,"4,390.42"
2025-01-11,"4,398.44"
2025-01-12,"4,430.38"
2026-01-01,"4,527.59"
2026-01-02,"4,556.79"
2026-01-03,"4,258.31"
2026-01-04,"4,545.78"
