"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2026","119.54","125.37","125.67","119.34","18.57M","-6.59%"
"06/18/2026","127.98","126.50","134.70","125.60","41.74M","-17.97%"
"06/17/2026","156.01","164.90","166.87","155.91","7.56M","-5.75%"
"06/16/2026","165.52","165.63","169.79","165.03","4.42M","0.10%"
"06/15/2026","165.36","167.60","172.59","165.05","6.03M","-2.89%"
"06/12/2026","170.28","168.43","171.77","164.65","4.04M","1.65%"
"06/11/2026","167.52","167.10","170.84","163.58","5.26M","-1.75%"
"06/10/2026","170.50","170.10","173.53","167.85","3.32M","-1.71%"
"06/09/2026","173.47","173.46","176.36","170.33","4.43M","-0.55%"
"06/08/2026","174.43","176.95","180.18","174.37","3.80M","-2.14%"
"06/05/2026","178.25","180.91","183.18","176.33","3.75M","-0.34%"
"06/04/2026","178.86","183.68","185.00","177.59","4.40M","0.81%"
"06/03/2026","177.43","183.16","183.99","176.37","4.96M","-4.72%"
"06/02/2026","186.22","190.69","191.90","183.41","5.28M","-5.27%"
"06/01/2026","196.59","193.44","198.00","188.99","7.18M","5.09%"
"05/29/2026","187.07","178.63","188.24","175.44","10.78M","4.86%"
"05/28/2026","178.40","178.14","179.84","175.33","4.11M","1.16%"
"05/27/2026","176.36","177.00","179.61","176.04","5.27M","-0.36%"
"05/26/2026","177.00","178.00","178.65","173.84","3.82M","-1.25%"
"05/22/2026","179.24","179.01","182.70","177.17","3.45M","0.77%"
"05/21/2026","177.87","176.82","178.47","173.13","3.51M","-0.75%"
"05/20/2026","179.22","175.00","180.51","170.28","4.24M","1.37%"
"05/19/2026","176.80","180.00","184.79","176.17","7.19M","-0.42%"
"05/18/2026","177.55","167.75","177.55","165.87","5.37M","5.17%"
"05/15/2026","168.82","167.47","169.60","164.93","5.00M","2.95%"
"05/14/2026","163.99","162.00","166.07","160.50","8.72M","2.72%"
"05/13/2026","159.64","167.52","168.15","155.82","13.90M","-5.97%"
"05/12/2026","169.77","174.00","175.00","169.76","5.45M","-1.50%"
"05/11/2026","172.35","180.49","181.29","172.22","4.62M","-4.47%"
"05/08/2026","180.42","178.03","181.14","172.52","5.70M","0.13%"
"05/07/2026","180.19","176.07","180.74","175.63","6.33M","3.22%"
"05/06/2026","174.57","179.50","179.50","173.52","6.81M","-2.48%"
"05/05/2026","179.01","180.43","180.43","173.56","5.13M","-0.62%"
"05/04/2026","180.12","179.98","182.34","177.76","6.09M","0.16%"
"05/01/2026","179.83","181.30","183.90","177.01","3.71M","0.63%"
"04/30/2026","178.71","178.32","178.99","173.65","6.03M","-0.86%"
"04/29/2026","180.26","176.57","180.48","175.57","5.17M","1.41%"
"04/28/2026","177.75","178.60","181.34","176.99","4.43M","0.44%"
"04/27/2026","176.97","178.00","181.94","176.63","4.41M","-0.78%"
"04/24/2026","178.36","178.75","179.95","173.84","4.57M","0.04%"
"04/23/2026","178.28","181.00","181.39","174.87","7.39M","-6.22%"
"04/22/2026","190.10","193.13","194.76","188.19","4.08M","-2.22%"
"04/21/2026","194.42","195.15","199.53","193.78","4.20M","-0.33%"
"04/20/2026","195.06","197.23","199.58","193.98","4.63M","-1.31%"
"04/17/2026","197.65","195.86","199.65","195.81","4.50M","1.88%"
"04/16/2026","194.00","196.24","196.69","191.29","4.85M","0.00%"
"04/15/2026","194.00","193.01","196.45","191.51","4.43M","1.91%"
"04/14/2026","190.37","192.72","194.30","189.51","4.63M","-0.82%"
"04/13/2026","191.95","180.98","192.04","180.37","6.68M","6.92%"
"04/10/2026","179.53","185.83","185.98","177.50","7.26M","-3.49%"
"04/09/2026","186.03","190.74","190.74","182.38","6.06M","-4.03%"
"04/08/2026","193.84","200.94","202.16","193.53","4.95M","-1.75%"
"04/07/2026","197.30","198.98","200.27","196.51","3.80M","-0.83%"
"04/06/2026","198.95","200.96","201.71","195.34","5.50M","-1.18%"
"04/02/2026","201.33","197.62","201.33","195.29","5.52M","2.17%"
"04/01/2026","197.06","197.14","198.50","192.00","4.81M","-0.62%"
"03/31/2026","198.29","200.00","201.50","195.93","6.91M","0.37%"
"03/30/2026","197.55","195.00","198.57","194.21","4.64M","2.57%"
"03/27/2026","192.60","195.00","195.54","190.27","4.89M","-1.94%"
"03/26/2026","196.42","191.47","197.60","190.96","4.92M","2.15%"
"03/25/2026","192.29","195.49","197.24","188.67","4.37M","-0.65%"
"03/24/2026","193.54","197.57","198.48","190.65","5.11M","-3.24%"
"03/23/2026","200.02","203.63","204.45","198.72","4.83M","0.02%"
"03/20/2026","199.99","203.50","207.42","198.49","44.34M","-1.75%"
"03/19/2026","203.55","187.00","207.98","187.00","10.61M","4.30%"
"03/18/2026","195.15","198.75","199.80","194.26","8.07M","-1.77%"
"03/17/2026","198.66","200.25","204.94","198.07","5.73M","-0.33%"
"03/16/2026","199.31","197.49","200.47","195.64","7.83M","1.35%"
"03/13/2026","196.65","197.34","200.41","195.07","4.22M","0.31%"
"03/12/2026","196.05","201.00","205.00","195.48","7.05M","-2.70%"
"03/11/2026","201.48","203.45","206.68","197.66","5.13M","-0.07%"
"03/10/2026","201.63","208.60","208.60","199.74","5.16M","-3.69%"
"03/09/2026","209.36","212.84","215.65","205.83","7.85M","-2.62%"
"03/06/2026","215.00","215.21","218.60","212.00","6.50M","0.47%"
"03/05/2026","214.00","209.80","216.65","209.30","7.44M","1.90%"
"03/04/2026","210.00","211.80","215.54","208.61","5.55M","0.05%"
"03/03/2026","209.89","203.00","213.24","203.00","5.82M","1.92%"
"03/02/2026","205.93","205.24","209.15","204.32","7.26M","-1.34%"
"02/27/2026","208.72","204.17","208.86","199.26","7.93M","0.65%"
"02/26/2026","207.38","194.00","207.49","193.99","10.83M","8.29%"
"02/25/2026","191.50","196.36","196.82","188.73","14.16M","-2.66%"
"02/24/2026","196.73","200.54","204.30","196.09","11.12M","-2.21%"
"02/23/2026","201.18","212.12","214.02","199.10","10.01M","-6.58%"
"02/20/2026","215.35","213.54","218.47","211.93","5.93M","0.19%"
"02/19/2026","214.95","215.00","216.28","211.06","8.04M","-3.87%"
"02/18/2026","223.61","219.42","224.26","217.16","4.97M","1.69%"
"02/17/2026","219.89","225.62","229.11","217.33","7.43M","-1.94%"
"02/13/2026","224.23","223.21","227.31","220.91","7.64M","0.98%"
"02/12/2026","222.05","230.25","230.25","215.16","9.72M","-3.64%"
"02/11/2026","230.43","241.92","242.31","228.83","6.08M","-4.33%"
"02/10/2026","240.86","237.47","243.60","235.00","5.67M","1.73%"
"02/09/2026","236.76","235.59","239.00","231.86","4.77M","-1.60%"
"02/06/2026","240.62","232.30","241.09","232.00","5.03M","3.01%"
"02/05/2026","233.58","240.47","244.73","232.73","6.11M","-3.34%"
"02/04/2026","241.65","237.84","245.07","231.85","7.63M","0.18%"
"02/03/2026","241.21","249.44","251.55","238.14","9.12M","-9.59%"
"02/02/2026","266.79","263.54","269.15","262.15","3.43M","1.19%"
"01/30/2026","263.64","261.22","264.54","259.90","5.46M","0.93%"
"01/29/2026","261.22","269.47","271.20","257.36","8.23M","-3.41%"
"01/28/2026","270.43","275.82","278.66","267.86","3.74M","-1.95%"
"01/27/2026","275.80","280.00","280.00","274.16","2.94M","-1.75%"
"01/26/2026","280.71","283.25","284.59","276.14","3.17M","-0.13%"
"01/23/2026","281.07","284.34","285.94","279.68","2.57M","-1.41%"
"01/22/2026","285.09","283.83","289.00","283.39","4.38M","1.56%"
"01/21/2026","280.72","275.00","285.54","274.95","4.23M","2.94%"
"01/20/2026","272.71","282.44","287.27","272.22","5.66M","-4.72%"
"01/16/2026","286.21","285.43","289.16","280.74","5.70M","-0.54%"
"01/15/2026","287.77","287.93","290.67","285.21","5.74M","-0.27%"
"01/14/2026","288.54","276.61","291.09","276.17","6.42M","4.24%"
"01/13/2026","276.80","278.90","280.50","273.00","3.62M","-1.48%"
"01/12/2026","280.96","279.54","281.39","276.61","4.09M","0.10%"
"01/09/2026","280.67","281.96","284.40","277.33","3.14M","-0.41%"
"01/08/2026","281.82","272.25","286.57","272.11","5.27M","2.86%"
"01/07/2026","273.98","276.01","281.87","271.89","4.30M","-0.71%"
"01/06/2026","275.93","263.03","275.99","262.09","4.08M","4.53%"
"01/05/2026","263.98","260.83","266.75","259.48","3.54M","1.55%"
"01/02/2026","259.95","268.79","269.84","258.00","4.90M","-3.11%"
"12/31/2025","268.30","269.74","270.93","268.30","1.97M","-0.63%"
"12/30/2025","270.00","270.43","272.42","269.52","1.79M","-0.49%"
"12/29/2025","271.34","270.98","273.27","269.95","2.75M","0.09%"
"12/26/2025","271.09","269.90","271.75","269.50","1.41M","0.41%"
"12/24/2025","269.98","270.03","271.92","269.74","1.06M","-0.29%"
"12/23/2025","270.77","269.82","271.67","268.78","2.60M","0.04%"
"12/22/2025","270.67","271.61","272.80","267.85","3.29M","-0.58%"
"12/19/2025","272.25","270.00","276.81","270.00","8.38M","0.85%"
"12/18/2025","269.96","265.00","272.37","261.50","6.92M","-1.38%"
"12/17/2025","273.74","272.65","279.38","272.00","5.59M","0.62%"
"12/16/2025","272.04","281.13","281.13","270.83","5.50M","-0.95%"
"12/15/2025","274.66","276.00","276.40","271.02","4.04M","1.14%"
"12/12/2025","271.56","271.96","273.44","270.30","2.98M","0.44%"
"12/11/2025","270.37","273.17","277.65","269.71","4.06M","-0.68%"
"12/10/2025","272.22","268.38","273.64","268.05","3.58M","1.00%"
"12/09/2025","269.53","267.93","272.40","267.25","3.52M","1.14%"
"12/08/2025","266.50","265.73","268.63","265.01","3.22M","-0.03%"
"12/05/2025","266.59","268.10","271.00","266.07","3.79M","-1.02%"
"12/04/2025","269.34","276.30","280.71","269.17","4.12M","-1.29%"
"12/03/2025","272.85","261.98","274.06","261.74","6.96M","4.53%"
"12/02/2025","261.02","257.80","262.96","257.00","4.97M","1.39%"
"12/01/2025","257.43","253.13","258.89","251.02","5.03M","2.97%"
"11/28/2025","250.00","247.49","251.45","245.13","1.49M","0.87%"
"11/26/2025","247.85","250.28","251.94","246.89","2.39M","-0.55%"
"11/25/2025","249.23","245.00","251.68","245.00","3.66M","2.30%"
"11/24/2025","243.62","250.99","251.33","243.24","5.60M","-3.27%"
"11/21/2025","251.85","241.88","253.97","241.29","5.96M","4.59%"
"11/20/2025","240.79","242.79","244.75","239.54","2.91M","-0.12%"
"11/19/2025","241.08","240.00","244.38","240.00","2.55M","0.45%"
"11/18/2025","240.00","241.06","241.75","237.43","3.38M","-0.55%"
"11/17/2025","241.33","243.93","244.98","240.59","3.19M","-1.58%"
"11/14/2025","245.21","245.77","249.15","244.09","2.85M","-0.95%"
"11/13/2025","247.57","245.43","248.58","244.32","3.70M","0.42%"
"11/12/2025","246.53","244.00","246.97","242.31","3.23M","1.64%"
"11/11/2025","242.56","244.89","244.89","238.53","3.77M","-0.81%"
"11/10/2025","244.55","247.34","248.26","240.40","2.82M","-0.49%"
"11/07/2025","245.76","240.00","246.55","239.44","4.05M","1.83%"
"11/06/2025","241.34","247.73","248.67","240.18","3.51M","-2.61%"
"11/05/2025","247.82","243.38","248.99","242.76","3.63M","2.03%"
"11/04/2025","242.90","246.97","248.57","241.07","3.69M","-2.23%"
"11/03/2025","248.44","249.53","249.53","242.94","4.20M","-0.66%"
"10/31/2025","250.10","249.66","250.88","248.06","3.85M","0.34%"
"10/30/2025","249.25","245.81","251.88","245.48","3.98M","0.61%"
"10/29/2025","247.75","253.15","255.44","247.50","5.78M","-2.21%"
"10/28/2025","253.35","250.00","254.68","249.19","3.43M","1.03%"
"10/27/2025","250.77","249.44","252.25","247.19","3.03M","1.26%"
"10/24/2025","247.65","250.01","251.09","247.11","2.79M","-0.86%"
"10/23/2025","249.81","246.06","250.09","245.44","2.89M","0.27%"
"10/22/2025","249.14","248.61","251.05","247.17","3.90M","-0.55%"
"10/21/2025","250.51","242.52","252.09","242.52","4.48M","3.44%"
"10/20/2025","242.18","240.10","244.19","239.74","3.50M","1.59%"
"10/17/2025","238.39","234.35","239.12","233.60","4.44M","1.87%"
"10/16/2025","234.02","239.81","240.09","233.74","4.80M","-2.37%"
"10/15/2025","239.71","243.91","247.31","239.06","4.12M","-1.84%"
"10/14/2025","244.20","242.06","246.07","239.55","3.79M","0.26%"
"10/13/2025","243.56","242.23","243.96","239.87","3.57M","1.09%"
"10/10/2025","240.94","251.65","252.95","240.71","4.55M","-4.40%"
"10/09/2025","252.04","253.51","254.17","249.61","4.43M","-0.37%"
"10/08/2025","252.98","251.71","253.67","247.65","5.67M","0.70%"
"10/07/2025","251.23","249.13","252.83","248.21","5.93M","1.23%"
"10/06/2025","248.17","246.00","248.40","242.05","3.40M","1.16%"
"10/03/2025","245.32","244.88","246.46","242.66","3.38M","0.40%"
"10/02/2025","244.34","244.91","248.18","243.25","4.32M","0.26%"
"10/01/2025","243.71","245.26","248.99","239.71","6.55M","-1.17%"
"09/30/2025","246.60","246.59","252.10","245.38","8.97M","-0.16%"
"09/29/2025","247.00","240.50","249.13","237.25","7.84M","3.36%"
"09/26/2025","238.97","232.60","241.30","231.05","8.16M","2.76%"
"09/25/2025","232.56","238.49","242.00","229.40","10.40M","-2.73%"
"09/24/2025","239.08","236.67","240.07","235.75","6.86M","1.52%"
"09/23/2025","235.50","240.51","241.20","234.10","6.78M","-1.87%"
"09/22/2025","239.99","239.86","242.49","238.59","6.07M","0.12%"
"09/19/2025","239.70","239.52","240.97","234.18","11.52M","0.06%"
"09/18/2025","239.55","241.98","243.34","237.93","5.70M","-0.70%"
