"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2026","315.28","337.24","358.49","309.74","7.58M","-6.58%"
"07/01/2026","337.47","341.24","346.67","332.00","5.06M","-4.82%"
"06/30/2026","354.57","349.77","361.95","342.07","6.27M","3.20%"
"06/29/2026","343.58","336.25","346.15","303.67","8.39M","2.79%"
"06/26/2026","334.27","335.07","339.90","326.80","7.72M","-3.87%"
"06/25/2026","347.71","379.77","379.97","339.52","8.38M","-3.17%"
"06/24/2026","359.08","373.33","374.56","344.12","8.66M","-2.00%"
"06/23/2026","366.39","370.00","389.80","362.90","11.08M","-10.14%"
"06/22/2026","407.72","440.03","444.95","401.95","9.42M","-7.22%"
"06/18/2026","439.46","440.24","452.70","423.62","34.22M","4.91%"
"06/17/2026","418.88","411.98","444.80","400.14","11.69M","5.69%"
"06/16/2026","396.34","401.00","428.60","395.88","12.40M","-3.93%"
"06/15/2026","412.55","390.50","416.17","369.25","14.04M","8.33%"
"06/12/2026","380.81","353.12","385.80","350.04","16.53M","11.27%"
"06/11/2026","342.23","314.42","344.68","310.18","8.84M","11.32%"
"06/10/2026","307.43","314.47","332.10","304.11","8.04M","-5.37%"
"06/09/2026","324.86","362.26","362.58","298.38","13.40M","-6.22%"
"06/08/2026","346.39","354.00","364.35","339.01","9.06M","1.01%"
"06/05/2026","342.93","369.75","373.74","337.55","14.89M","-12.84%"
"06/04/2026","393.44","380.41","397.45","367.52","10.92M","-4.47%"
"06/03/2026","411.83","407.54","417.50","373.89","11.94M","2.26%"
"06/02/2026","402.71","401.13","427.99","387.90","15.45M","-1.50%"
"06/01/2026","408.85","389.95","421.69","381.25","20.74M","15.73%"
"05/29/2026","353.29","339.25","356.45","337.00","10.45M","5.37%"
"05/28/2026","335.27","309.98","349.42","308.62","14.39M","10.76%"
"05/27/2026","302.71","320.54","323.77","300.88","9.36M","-5.76%"
"05/26/2026","321.22","315.71","325.00","300.00","10.90M","4.80%"
"05/22/2026","306.51","290.08","315.00","288.21","13.96M","2.78%"
"05/21/2026","298.23","266.89","298.70","266.00","21.80M","16.16%"
"05/20/2026","256.73","226.54","259.44","226.09","18.30M","15.05%"
"05/19/2026","223.15","209.75","226.95","206.38","11.23M","3.73%"
"05/18/2026","215.12","209.81","215.50","203.00","8.61M","2.85%"
"05/15/2026","209.16","214.79","216.70","208.50","10.19M","-8.46%"
"05/14/2026","228.50","217.84","228.68","213.23","8.46M","3.30%"
"05/13/2026","221.21","212.00","222.47","207.87","8.70M","6.39%"
"05/12/2026","207.92","204.77","216.50","200.89","7.84M","-2.22%"
"05/11/2026","212.65","206.54","215.50","206.08","10.55M","-0.29%"
"05/08/2026","213.27","216.96","222.00","211.00","11.61M","-0.02%"
"05/07/2026","213.31","222.40","232.23","210.23","22.38M","-10.11%"
