"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2026","83.39","82.89","87.19","82.48","14.74M","7.13%"
"06/12/2026","77.84","82.01","82.05","77.61","12.39M","-5.80%"
"06/11/2026","82.63","79.50","83.91","78.61","8.86M","4.69%"
"06/10/2026","78.93","78.93","84.30","78.60","8.42M","-2.68%"
"06/09/2026","81.10","81.17","87.38","77.87","13.53M","-1.73%"
"06/08/2026","82.53","84.01","84.13","81.40","10.61M","2.80%"
"06/05/2026","80.28","88.11","88.11","78.41","24.73M","-11.33%"
"06/04/2026","90.54","90.89","95.18","89.20","12.23M","0.45%"
"06/03/2026","90.13","99.18","99.18","90.13","16.37M","-10.63%"
"06/02/2026","100.85","101.88","103.77","98.55","14.60M","-3.92%"
"06/01/2026","104.97","108.72","109.50","104.26","14.31M","-7.11%"
"05/29/2026","113.00","108.03","114.44","106.75","24.74M","4.40%"
"05/28/2026","108.24","101.44","108.38","97.69","11.84M","5.46%"
"05/27/2026","102.64","103.00","106.60","102.33","8.30M","-1.47%"
"05/26/2026","104.17","112.22","113.04","104.14","15.86M","-7.91%"
"05/22/2026","113.12","116.12","118.85","112.20","9.80M","-1.53%"
"05/21/2026","114.88","111.00","117.93","110.43","10.86M","2.92%"
"05/20/2026","111.62","111.37","113.48","109.06","7.01M","0.53%"
"05/19/2026","111.03","109.20","115.36","108.67","10.70M","-0.32%"
"05/18/2026","111.39","112.10","114.78","107.21","12.56M","-2.29%"
"05/15/2026","114.00","117.47","118.26","111.39","17.96M","-7.98%"
"05/14/2026","123.88","123.60","132.44","118.36","23.59M","-2.13%"
"05/13/2026","126.57","125.73","130.73","118.20","19.43M","2.36%"
"05/12/2026","123.65","129.99","140.00","120.50","29.50M","-6.16%"
"05/11/2026","131.76","118.85","134.80","105.36","49.79M","15.91%"
"05/08/2026","113.67","114.26","115.00","108.91","16.76M","0.37%"
"05/07/2026","113.25","118.26","120.48","109.60","21.48M","-7.02%"
"05/06/2026","121.80","115.00","122.86","113.20","19.29M","6.66%"
"05/05/2026","114.19","121.40","121.40","112.45","22.58M","-4.47%"
"05/04/2026","119.53","107.13","119.99","106.90","32.61M","19.89%"
"05/01/2026","99.70","92.77","100.01","92.21","10.13M","9.71%"
"04/30/2026","90.88","95.29","95.29","89.90","9.23M","-4.90%"
