"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2026","169.65","170.00","174.44","168.82","7.70M","6.18%"
"06/12/2026","159.78","160.43","165.49","155.42","6.51M","-0.41%"
"06/11/2026","160.43","154.70","161.74","152.38","6.93M","4.20%"
"06/10/2026","153.97","152.82","161.71","152.19","6.41M","-0.98%"
"06/09/2026","155.50","157.24","164.98","149.90","8.90M","-4.08%"
"06/08/2026","162.11","156.60","164.28","154.98","8.83M","6.37%"
"06/05/2026","152.40","158.70","158.70","147.88","16.72M","-7.15%"
"06/04/2026","164.13","164.19","166.50","161.89","8.50M","0.56%"
"06/03/2026","163.22","171.54","172.00","162.75","9.54M","-6.19%"
"06/02/2026","173.99","177.17","178.55","171.67","9.23M","-4.72%"
"06/01/2026","182.61","179.21","186.60","176.18","9.06M","-3.40%"
"05/29/2026","189.03","180.23","191.83","178.85","10.25M","3.72%"
"05/28/2026","182.25","170.49","182.65","169.17","9.04M","4.87%"
"05/27/2026","173.78","176.38","179.85","173.71","8.20M","-3.46%"
"05/26/2026","180.01","186.07","187.80","179.11","7.75M","-2.69%"
"05/22/2026","184.99","194.02","195.59","184.60","7.93M","-4.43%"
"05/21/2026","193.56","189.80","195.70","187.67","5.67M","1.19%"
"05/20/2026","191.29","193.75","196.62","189.73","7.04M","-1.12%"
"05/19/2026","193.45","188.38","195.53","185.53","7.09M","2.12%"
"05/18/2026","189.44","190.25","194.20","184.15","10.40M","-3.07%"
"05/15/2026","195.43","205.64","206.00","192.30","14.43M","-7.82%"
"05/14/2026","212.01","201.25","222.35","195.10","16.58M","5.06%"
"05/13/2026","201.80","204.20","204.20","197.50","8.37M","-2.81%"
"05/12/2026","207.64","211.90","218.46","200.20","9.51M","-4.14%"
"05/11/2026","216.60","200.38","217.85","192.81","13.66M","7.68%"
"05/08/2026","201.16","186.04","201.37","182.80","12.91M","4.25%"
"05/07/2026","192.96","196.03","198.15","190.32","9.16M","-2.53%"
"05/06/2026","197.96","195.77","198.50","193.25","7.76M","0.11%"
"05/05/2026","197.75","208.88","208.88","194.40","10.07M","-2.58%"
"05/04/2026","202.99","199.40","206.71","197.85","11.24M","6.14%"
"05/01/2026","191.25","191.88","194.51","189.86","6.77M","1.85%"
"04/30/2026","187.77","181.60","189.56","179.89","7.79M","3.32%"
"04/29/2026","181.73","187.27","187.27","177.62","12.61M","-6.37%"
"04/28/2026","194.10","190.20","195.94","188.75","6.32M","-1.31%"
"04/27/2026","196.68","199.10","204.49","195.25","7.86M","-1.55%"
"04/24/2026","199.77","202.08","202.54","196.53","5.80M","0.93%"
"04/23/2026","197.93","202.27","205.78","193.91","8.78M","-4.03%"
"04/22/2026","206.24","204.18","211.97","202.34","12.10M","5.25%"
"04/21/2026","195.95","211.20","211.23","194.60","15.12M","-7.41%"
"04/20/2026","211.63","201.04","212.30","200.02","9.97M","2.57%"
"04/17/2026","206.33","205.20","216.05","202.95","15.67M","3.26%"
"04/16/2026","199.82","197.50","200.58","188.50","11.24M","2.00%"
"04/15/2026","195.90","185.66","196.46","183.52","11.82M","6.23%"
"04/14/2026","184.41","180.03","187.14","180.00","10.88M","5.66%"
"04/13/2026","174.53","164.83","175.01","164.33","7.48M","3.98%"
"04/10/2026","167.85","169.35","170.48","163.13","7.92M","-0.69%"
"04/09/2026","169.02","175.83","177.14","166.40","10.75M","-3.47%"
"04/08/2026","175.09","187.89","189.57","172.96","9.80M","-0.05%"
"04/07/2026","175.18","172.12","175.26","166.05","7.65M","0.22%"
"04/06/2026","174.79","175.10","177.90","173.47","7.13M","1.94%"
"04/02/2026","171.46","167.63","173.03","163.56","8.87M","-0.88%"
"04/01/2026","172.99","179.00","179.30","171.72","8.83M","-0.93%"
"03/31/2026","174.61","163.80","175.84","162.18","12.67M","8.60%"
"03/30/2026","160.79","164.53","166.50","158.46","11.78M","-0.22%"
"03/27/2026","161.14","168.05","168.74","159.83","12.29M","-7.06%"
"03/26/2026","173.38","177.00","179.75","171.93","9.40M","-4.26%"
"03/25/2026","181.10","184.58","190.71","180.06","10.43M","0.03%"
"03/24/2026","181.04","199.10","201.76","177.60","20.89M","-9.76%"
"03/23/2026","200.62","198.60","203.95","196.11","12.47M","1.58%"
"03/20/2026","197.50","202.50","203.30","194.79","13.31M","-2.67%"
"03/19/2026","202.91","195.34","205.50","191.87","9.27M","0.31%"
"03/18/2026","202.29","206.77","209.00","201.14","12.60M","-3.78%"
"03/17/2026","210.23","202.27","213.47","202.13","11.95M","3.40%"
"03/16/2026","203.32","201.81","206.44","198.62","13.05M","3.98%"
"03/13/2026","195.53","203.76","207.13","193.84","12.14M","1.19%"
"03/12/2026","193.23","196.13","198.00","192.46","7.97M","-2.72%"
"03/11/2026","198.63","197.51","203.10","192.52","9.53M","1.07%"
"03/10/2026","196.52","204.43","206.01","194.75","10.85M","-1.64%"
"03/09/2026","199.79","198.00","203.49","192.63","12.06M","1.30%"
"03/06/2026","197.22","197.76","202.74","194.66","11.50M","-4.13%"
"03/05/2026","205.71","205.75","213.50","201.50","15.04M","-1.54%"
"03/04/2026","208.93","195.91","212.07","195.40","27.20M","14.57%"
"03/03/2026","182.36","177.18","186.30","172.05","12.83M","-1.55%"
"03/02/2026","185.24","172.49","186.35","172.22","12.31M","5.34%"
"02/27/2026","175.85","175.35","179.06","171.81","11.43M","-2.88%"
"02/26/2026","181.06","181.44","186.39","176.75","12.75M","-1.57%"
"02/25/2026","183.94","171.78","185.82","169.75","23.79M","13.52%"
"02/24/2026","162.03","155.84","162.28","152.70","10.44M","1.12%"
"02/23/2026","160.24","166.16","168.10","158.66","12.69M","-6.48%"
"02/20/2026","171.35","164.88","175.54","164.12","13.69M","3.26%"
"02/19/2026","165.94","162.42","167.58","161.12","8.00M","1.15%"
"02/18/2026","164.05","165.40","173.88","163.15","13.79M","-1.19%"
"02/17/2026","166.02","162.48","170.54","158.40","16.77M","1.03%"
"02/13/2026","164.32","153.70","167.65","146.16","32.41M","16.46%"
"02/12/2026","141.09","153.10","153.20","139.36","19.99M","-7.90%"
"02/11/2026","153.20","157.70","158.10","148.85","13.92M","-5.73%"
"02/10/2026","162.51","162.56","167.92","161.86","8.84M","-2.83%"
"02/09/2026","167.25","160.10","167.57","159.01","10.62M","1.29%"
"02/06/2026","165.12","154.55","165.52","151.57","19.78M","13.00%"
"02/05/2026","146.12","160.43","165.00","145.16","29.61M","-13.34%"
"02/04/2026","168.62","176.11","176.75","164.42","16.63M","-6.14%"
"02/03/2026","179.66","188.68","188.68","174.05","12.61M","-4.36%"
"02/02/2026","187.86","189.80","190.94","185.08","12.29M","-3.53%"
"01/30/2026","194.74","198.70","198.96","190.96","9.64M","-2.23%"
"01/29/2026","199.18","206.82","207.00","194.21","14.60M","-4.89%"
"01/28/2026","209.43","213.28","214.39","206.80","9.05M","-0.66%"
"01/27/2026","210.83","213.48","213.55","207.77","7.47M","-1.24%"
"01/26/2026","213.48","212.18","215.64","210.89","7.08M","-1.60%"
"01/23/2026","216.95","222.74","222.74","215.72","12.98M","-2.77%"
"01/22/2026","223.14","228.52","230.75","223.02","7.09M","-1.67%"
"01/21/2026","226.93","228.76","231.45","222.40","8.48M","-0.35%"
"01/20/2026","227.73","232.64","234.90","225.96","9.76M","-5.57%"
"01/16/2026","241.15","239.49","243.19","236.14","7.62M","0.78%"
"01/15/2026","239.28","250.59","251.20","237.43","12.10M","-6.48%"
"01/14/2026","255.86","256.92","263.07","253.00","10.80M","1.25%"
"01/13/2026","252.69","245.50","255.51","244.65","9.03M","4.00%"
"01/12/2026","242.98","239.63","248.00","238.04","5.96M","0.91%"
"01/09/2026","240.78","246.07","246.90","237.15","8.10M","-1.96%"
"01/08/2026","245.59","244.62","250.38","242.25","6.90M","-0.14%"
"01/07/2026","245.93","248.28","248.94","240.25","7.49M","-1.85%"
"01/06/2026","250.56","255.21","258.35","245.72","8.67M","-1.71%"
"01/05/2026","254.92","247.10","258.88","246.53","13.70M","7.77%"
"01/02/2026","236.53","230.60","238.49","225.91","8.76M","4.59%"
"12/31/2025","226.14","231.22","232.39","225.47","6.68M","-2.36%"
"12/30/2025","231.60","233.65","236.06","231.50","5.65M","-0.93%"
"12/29/2025","233.77","234.36","239.89","232.78","6.36M","-1.32%"
"12/26/2025","236.90","240.40","240.49","232.81","5.93M","-1.18%"
"12/24/2025","239.73","240.28","241.00","237.14","3.87M","-1.06%"
"12/23/2025","242.30","243.25","245.20","238.80","7.00M","-2.26%"
