"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2026","16.68","17.03","17.09","16.55","19.82M","-0.48%"
"06/12/2026","16.76","15.68","16.77","15.44","31.87M","7.85%"
"06/11/2026","15.54","14.73","15.64","14.48","29.01M","5.28%"
"06/10/2026","14.76","15.67","15.80","14.65","25.07M","-6.17%"
"06/09/2026","15.73","16.86","16.92","15.24","39.84M","-6.59%"
"06/08/2026","16.84","16.71","17.60","16.37","22.63M","3.00%"
"06/05/2026","16.35","17.96","18.00","16.24","35.95M","-9.77%"
"06/04/2026","18.12","17.97","18.55","17.75","35.16M","-0.82%"
"06/03/2026","18.27","17.06","18.43","16.92","51.86M","5.67%"
"06/02/2026","17.29","16.99","17.69","16.67","39.25M","2.01%"
"06/01/2026","16.95","16.14","17.20","15.90","43.48M","3.99%"
"05/29/2026","16.30","15.23","16.60","15.11","59.45M","7.24%"
"05/28/2026","15.20","14.61","15.27","14.49","23.15M","3.40%"
"05/27/2026","14.70","14.45","14.86","14.45","23.27M","2.15%"
"05/26/2026","14.39","14.35","14.70","14.15","22.92M","1.20%"
"05/22/2026","14.22","14.16","14.40","14.07","27.07M","0.49%"
"05/21/2026","14.15","13.63","14.25","13.56","25.00M","3.06%"
"05/20/2026","13.73","13.07","13.78","12.77","44.63M","6.43%"
"05/19/2026","12.90","13.23","13.26","12.65","41.23M","-3.37%"
"05/18/2026","13.35","13.77","13.79","13.14","29.54M","-3.19%"
"05/15/2026","13.79","14.05","14.15","13.66","42.20M","-5.03%"
"05/14/2026","14.52","14.25","14.83","14.19","21.30M","1.75%"
"05/13/2026","14.27","13.91","14.68","13.87","29.26M","2.29%"
"05/12/2026","13.95","14.01","14.19","13.64","22.25M","-0.92%"
"05/11/2026","14.08","14.12","14.35","14.00","26.22M","-0.98%"
"05/08/2026","14.22","14.27","14.35","13.84","31.62M","0.28%"
"05/07/2026","14.18","14.58","14.64","14.11","26.13M","-2.07%"
"05/06/2026","14.48","14.68","14.78","14.42","24.74M","-0.82%"
"05/05/2026","14.60","14.65","15.07","14.48","28.21M","0.62%"
"05/04/2026","14.51","15.16","15.16","14.39","48.84M","-3.40%"
"05/01/2026","15.02","15.57","16.02","15.01","53.43M","-8.41%"
"04/30/2026","16.40","16.22","16.68","15.88","31.19M","2.12%"
"04/29/2026","16.06","16.00","16.14","15.88","16.22M","-0.50%"
"04/28/2026","16.14","16.49","16.53","15.96","16.29M","-3.47%"
"04/27/2026","16.72","16.52","17.00","16.50","21.18M","1.21%"
"04/24/2026","16.52","16.95","17.07","16.26","23.80M","-2.54%"
"04/23/2026","16.95","17.51","17.78","16.72","24.27M","-4.45%"
"04/22/2026","17.74","17.40","18.07","17.25","26.16M","3.44%"
"04/21/2026","17.15","17.07","17.49","16.84","21.36M","1.36%"
"04/20/2026","16.92","17.03","17.15","16.76","19.62M","-1.80%"
"04/17/2026","17.23","17.11","17.77","17.09","32.23M","2.01%"
"04/16/2026","16.89","16.64","17.03","16.37","29.13M","2.93%"
"04/15/2026","16.41","16.01","16.49","15.90","23.48M","2.63%"
"04/14/2026","15.99","16.32","16.71","15.80","29.18M","0.57%"
"04/13/2026","15.90","15.40","15.99","15.25","22.42M","3.05%"
"04/10/2026","15.43","15.37","15.87","15.30","19.33M","1.25%"
"04/09/2026","15.24","15.04","15.43","14.86","16.63M","0.66%"
"04/08/2026","15.14","15.49","15.62","14.86","31.90M","3.06%"
"04/07/2026","14.69","15.10","15.20","14.43","27.78M","-3.92%"
"04/06/2026","15.29","15.39","15.69","14.90","22.77M","-0.71%"
"04/02/2026","15.40","14.94","15.48","14.62","20.72M","3.08%"
"04/01/2026","14.94","15.53","15.82","14.87","22.18M","-0.73%"
"03/31/2026","15.05","14.56","15.16","14.43","24.09M","3.86%"
"03/30/2026","14.49","14.90","14.99","14.24","19.72M","-1.90%"
"03/27/2026","14.77","15.18","15.24","14.70","22.35M","-2.89%"
"03/26/2026","15.21","15.42","15.70","15.13","16.86M","-2.62%"
"03/25/2026","15.62","16.26","16.52","15.55","20.33M","-2.98%"
"03/24/2026","16.10","15.47","16.13","15.36","19.52M","2.09%"
"03/23/2026","15.77","15.35","16.32","15.31","37.35M","5.77%"
"03/20/2026","14.91","15.96","16.05","14.81","51.02M","-7.51%"
"03/19/2026","16.12","16.56","17.12","15.55","78.93M","3.80%"
"03/18/2026","15.53","15.65","16.04","15.50","19.14M","-1.83%"
"03/17/2026","15.82","15.31","16.07","15.29","22.54M","3.20%"
"03/16/2026","15.33","15.03","15.45","14.85","25.04M","3.16%"
"03/13/2026","14.86","15.27","15.56","14.81","30.98M","-2.88%"
"03/12/2026","15.30","16.60","16.79","15.24","37.37M","-8.11%"
"03/11/2026","16.65","16.55","16.87","16.14","21.36M","0.67%"
"03/10/2026","16.54","16.70","17.56","16.50","51.14M","4.22%"
"03/09/2026","15.87","15.11","15.97","15.05","25.67M","3.25%"
"03/06/2026","15.37","14.82","15.62","14.80","24.93M","1.18%"
"03/05/2026","15.19","14.61","15.28","14.55","27.70M","1.81%"
"03/04/2026","14.92","14.98","15.34","14.84","23.85M","-1.19%"
"03/03/2026","15.10","14.73","15.60","14.56","25.28M","0.60%"
"03/02/2026","15.01","15.00","15.22","14.70","20.19M","-2.09%"
"02/27/2026","15.33","15.34","15.54","14.91","34.21M","-1.79%"
"02/26/2026","15.61","15.18","15.77","15.13","23.47M","2.36%"
"02/25/2026","15.25","15.30","15.70","15.18","19.28M","0.86%"
"02/24/2026","15.12","15.10","15.35","14.73","21.03M","1.07%"
"02/23/2026","14.96","15.09","15.35","14.69","17.46M","-2.03%"
"02/20/2026","15.27","15.34","15.42","15.01","20.86M","-2.05%"
"02/19/2026","15.59","15.93","15.96","15.07","28.70M","-3.47%"
"02/18/2026","16.15","16.50","17.09","16.07","30.10M","-1.94%"
"02/17/2026","16.47","17.39","17.66","16.38","55.97M","-7.11%"
"02/13/2026","17.73","17.77","18.48","16.40","127.93M","26.64%"
"02/12/2026","14.00","14.76","14.83","13.94","38.02M","-5.15%"
"02/11/2026","14.76","15.16","15.24","14.31","27.14M","-1.34%"
"02/10/2026","14.96","14.93","15.60","14.84","37.62M","1.84%"
"02/09/2026","14.69","14.82","15.10","14.33","31.86M","-0.74%"
"02/06/2026","14.80","13.84","14.99","13.82","31.31M","7.79%"
"02/05/2026","13.73","14.11","14.34","13.58","29.47M","-4.45%"
"02/04/2026","14.37","14.56","14.63","14.10","23.37M","-0.28%"
"02/03/2026","14.41","14.45","14.80","13.92","25.67M","-0.21%"
"02/02/2026","14.44","14.69","14.75","14.39","19.27M","-2.10%"
"01/30/2026","14.75","15.10","15.27","14.50","25.35M","-2.77%"
"01/29/2026","15.17","15.34","15.56","14.86","23.47M","-0.20%"
"01/28/2026","15.20","15.43","15.49","15.13","19.04M","-0.46%"
"01/27/2026","15.27","15.81","15.81","15.11","21.22M","-3.05%"
"01/26/2026","15.75","15.82","15.88","15.56","17.86M","-1.25%"
"01/23/2026","15.95","16.33","16.35","15.77","20.44M","-2.27%"
"01/22/2026","16.32","16.53","16.98","16.22","20.35M","-0.91%"
"01/21/2026","16.47","16.42","16.66","16.10","23.60M","1.92%"
"01/20/2026","16.16","16.23","16.30","15.86","29.81M","-3.06%"
"01/16/2026","16.67","17.19","17.24","16.58","26.92M","-2.29%"
"01/15/2026","17.06","17.48","17.57","16.88","29.25M","-2.51%"
"01/14/2026","17.50","18.25","18.25","17.07","53.01M","-7.16%"
"01/13/2026","18.85","19.10","19.15","18.65","24.79M","-1.57%"
"01/12/2026","19.15","18.73","19.44","18.53","29.28M","-0.36%"
"01/09/2026","19.22","19.94","20.17","19.03","32.47M","-3.37%"
"01/08/2026","19.89","19.91","20.95","19.70","36.67M","-0.85%"
"01/07/2026","20.06","19.46","20.58","18.69","42.14M","2.71%"
"01/06/2026","19.53","19.64","20.10","18.88","34.69M","-0.31%"
"01/05/2026","19.59","19.47","20.00","19.16","31.07M","0.93%"
"01/02/2026","19.41","19.78","20.71","18.90","42.74M","-1.52%"
"12/31/2025","19.71","19.62","19.92","19.30","21.57M","0.61%"
"12/30/2025","19.59","20.68","20.68","19.28","38.61M","-5.22%"
"12/29/2025","20.67","20.64","21.04","20.33","20.71M","-1.10%"
"12/26/2025","20.90","21.22","21.55","20.77","20.50M","-1.09%"
"12/24/2025","21.13","21.11","21.49","20.83","10.63M","-0.24%"
"12/23/2025","21.18","21.69","21.70","20.69","38.76M","-2.62%"
"12/22/2025","21.75","22.47","22.69","21.63","38.45M","-3.12%"
"12/19/2025","22.45","20.31","22.64","20.31","106.17M","10.70%"
"12/18/2025","20.28","18.26","20.33","18.26","67.25M","15.03%"
"12/17/2025","17.63","18.10","18.41","17.60","32.17M","-1.51%"
"12/16/2025","17.90","18.63","18.97","17.64","46.21M","-4.28%"
"12/15/2025","18.70","18.61","19.58","18.37","64.34M","1.52%"
"12/12/2025","18.42","16.82","19.60","16.73","103.73M","12.11%"
"12/11/2025","16.43","17.42","17.42","15.73","97.13M","-6.11%"
"12/10/2025","17.50","17.63","18.41","17.45","48.02M","-1.19%"
"12/09/2025","17.71","17.47","17.80","17.37","21.45M","0.57%"
"12/08/2025","17.61","17.57","17.71","17.04","41.83M","-1.89%"
"12/05/2025","17.95","18.08","18.60","17.91","40.57M","-0.61%"
"12/04/2025","18.06","17.61","18.17","17.37","39.17M","3.02%"
"12/03/2025","17.53","17.20","17.90","16.90","31.99M","1.74%"
"12/02/2025","17.23","17.23","17.67","17.04","34.44M","0.41%"
"12/01/2025","17.16","16.55","17.79","16.51","43.38M","1.78%"
"11/28/2025","16.86","16.39","17.06","16.26","18.54M","4.20%"
"11/26/2025","16.18","15.61","16.48","15.51","35.45M","3.98%"
"11/25/2025","15.56","15.11","15.66","14.90","30.09M","2.57%"
"11/24/2025","15.17","15.03","15.25","14.68","42.35M","2.09%"
"11/21/2025","14.86","14.73","15.12","13.95","40.50M","1.36%"
"11/20/2025","14.66","14.94","15.63","14.59","45.54M","-0.41%"
"11/19/2025","14.72","14.83","14.93","14.33","51.91M","-1.80%"
"11/18/2025","14.99","14.68","15.33","14.40","40.76M","0.81%"
"11/17/2025","14.87","15.01","15.24","14.53","58.30M","-1.59%"
"11/14/2025","15.11","15.70","15.87","15.07","60.07M","-7.81%"
"11/13/2025","16.39","17.24","17.71","16.21","58.78M","-6.45%"
"11/12/2025","17.52","17.56","17.71","16.40","72.37M","-2.77%"
"11/11/2025","18.02","16.38","18.13","16.20","109.22M","9.81%"
"11/10/2025","16.41","15.54","16.75","15.01","104.37M","7.75%"
"11/07/2025","15.23","15.06","15.38","14.25","65.78M","0.07%"
"11/06/2025","15.22","15.26","15.61","14.48","88.74M","-1.30%"
"11/05/2025","15.42","13.34","15.85","13.26","197.65M","23.36%"
"11/04/2025","12.50","12.96","12.98","12.39","55.21M","-5.23%"
"11/03/2025","13.19","13.55","13.59","13.15","38.77M","-2.80%"
"10/31/2025","13.57","13.08","13.59","12.90","44.82M","4.46%"
"10/30/2025","12.99","13.55","13.58","12.99","39.85M","-5.25%"
"10/29/2025","13.71","13.50","13.88","13.45","34.92M","1.56%"
"10/28/2025","13.50","13.41","13.63","13.21","41.87M","0.67%"
"10/27/2025","13.41","13.17","13.66","12.97","48.28M","3.31%"
"10/24/2025","12.98","13.22","13.27","12.94","28.32M","-0.84%"
"10/23/2025","13.09","12.77","13.19","12.71","26.00M","1.32%"
"10/22/2025","12.92","13.09","13.25","12.72","41.85M","-2.12%"
"10/21/2025","13.20","13.07","13.56","12.90","27.96M","0.92%"
"10/20/2025","13.08","12.80","13.15","12.66","35.63M","0.38%"
"10/17/2025","13.03","12.90","13.22","12.87","24.00M","0.93%"
"10/16/2025","12.91","13.42","13.42","12.81","28.33M","-3.73%"
"10/15/2025","13.41","13.25","13.64","13.19","36.08M","2.21%"
"10/14/2025","13.12","12.86","13.27","12.61","25.30M","0.46%"
"10/13/2025","13.06","12.99","13.12","12.80","21.99M","2.03%"
"10/10/2025","12.80","13.12","13.20","12.67","25.83M","-2.22%"
"10/09/2025","13.09","13.08","13.17","12.86","27.78M","-0.30%"
"10/08/2025","13.13","13.28","13.40","13.05","26.80M","-0.98%"
"10/07/2025","13.26","13.53","13.72","13.23","31.71M","-1.78%"
"10/06/2025","13.50","13.73","13.90","13.46","29.51M","-1.10%"
"10/03/2025","13.65","13.52","13.73","13.22","45.88M","0.89%"
"10/02/2025","13.53","14.13","14.15","13.21","75.95M","-7.39%"
"10/01/2025","14.61","14.78","15.06","14.59","27.35M","-0.48%"
"09/30/2025","14.68","15.25","15.51","14.55","48.57M","-3.74%"
"09/29/2025","15.25","15.75","15.79","15.00","46.01M","-2.18%"
"09/26/2025","15.59","15.81","16.17","15.57","36.80M","-0.95%"
"09/25/2025","15.74","15.50","16.05","15.14","44.79M","-0.32%"
"09/24/2025","15.79","15.51","15.95","15.06","50.64M","1.67%"
"09/23/2025","15.53","15.24","15.70","14.99","53.83M","1.90%"
"09/22/2025","15.24","14.31","15.43","14.11","74.24M","5.98%"
"09/19/2025","14.38","14.72","14.77","14.02","68.67M","-2.04%"
"09/18/2025","14.68","14.29","14.94","14.07","48.67M","4.04%"
"09/17/2025","14.11","14.39","14.63","13.96","47.87M","-1.47%"
"09/16/2025","14.32","13.77","14.65","13.73","62.42M","5.29%"
"09/15/2025","13.60","13.63","13.77","13.38","30.82M","1.04%"
"09/12/2025","13.46","14.00","14.04","12.57","67.20M","-3.65%"
"09/11/2025","13.97","13.97","14.63","13.95","40.47M","0.43%"
"09/10/2025","13.91","13.94","14.27","13.73","32.45M","-0.22%"
"09/09/2025","13.94","14.00","14.20","13.69","30.60M","-0.36%"
"09/08/2025","13.99","14.23","14.32","13.82","54.56M","-1.55%"
"09/05/2025","14.21","13.74","14.57","13.66","87.14M","3.72%"
"09/04/2025","13.70","14.36","14.37","13.38","82.73M","-5.12%"
"09/03/2025","14.44","13.90","15.03","13.85","77.65M","4.11%"
"09/02/2025","13.87","13.30","13.95","12.98","51.26M","2.21%"
