"Date","Price","Open","High","Low","Vol.","Change %"
"08/07/2026","133.11","114.96","133.48","114.53","242.13M","15.83%"
"08/06/2026","114.92","107.08","115.75","105.11","255.18M","6.14%"
"08/05/2026","108.27","112.37","117.50","106.66","208.49M","-13.61%"
"08/04/2026","125.33","117.33","126.71","115.72","144.13M","9.43%"
"08/03/2026","114.53","106.40","114.92","104.83","70.52M","5.68%"
"07/31/2026","108.37","113.10","113.64","107.57","58.84M","-3.41%"
"07/30/2026","112.20","115.14","118.93","111.35","56.01M","-0.31%"
"07/29/2026","112.55","114.39","117.59","110.35","54.00M","-3.32%"
"07/28/2026","116.41","109.32","118.13","107.01","81.71M","2.56%"
"07/27/2026","113.50","113.50","114.85","108.66","64.54M","-1.36%"
"07/24/2026","115.07","116.00","117.00","111.40","56.79M","-2.68%"
"07/23/2026","118.24","115.21","118.55","110.85","75.25M","2.59%"
"07/22/2026","115.26","123.29","124.77","115.19","92.73M","-6.70%"
"07/21/2026","123.54","122.11","129.88","120.36","79.72M","3.08%"
"07/20/2026","119.85","125.29","125.70","119.68","57.34M","-3.34%"
"07/17/2026","123.99","127.43","130.33","122.12","83.71M","-5.43%"
"07/16/2026","131.11","135.01","137.76","130.74","58.73M","-3.08%"
"07/15/2026","135.27","137.51","139.34","132.15","58.04M","-0.60%"
"07/14/2026","136.08","140.95","143.33","135.52","46.69M","-2.20%"
"07/13/2026","139.14","144.70","144.92","136.78","71.46M","-4.24%"
"07/10/2026","145.30","150.13","150.57","145.07","46.83M","-4.51%"
"07/09/2026","152.16","150.45","153.50","147.59","46.47M","2.60%"
"07/08/2026","148.30","152.55","152.93","145.20","60.95M","-0.78%"
"07/07/2026","149.47","158.92","159.30","148.86","83.78M","-6.83%"
"07/06/2026","160.42","165.95","167.90","155.04","188.83M","-0.98%"
"07/02/2026","162.00","159.73","162.16","155.88","61.26M","2.83%"
"07/01/2026","157.54","171.57","171.74","155.00","109.32M","-7.80%"
"06/30/2026","170.86","163.38","172.40","161.64","82.05M","4.06%"
"06/29/2026","164.19","157.35","166.17","151.74","81.44M","7.15%"
"06/26/2026","153.23","150.62","158.40","148.51","126.93M","0.15%"
"06/25/2026","153.00","156.63","160.65","150.00","62.21M","-1.00%"
"06/24/2026","154.54","154.20","159.86","150.72","76.10M","-1.01%"
"06/23/2026","156.11","151.06","165.50","147.11","155.85M","0.98%"
"06/22/2026","154.60","176.04","176.75","154.00","169.18M","-16.43%"
"06/18/2026","185.00","188.39","190.00","172.11","272.13M","-3.56%"
"06/17/2026","191.82","209.84","213.80","187.01","201.72M","-4.95%"
"06/16/2026","201.80","200.51","225.64","195.13","322.15M","4.83%"
"06/15/2026","192.50","171.74","193.00","168.35","256.23M","19.60%"
"06/12/2026","160.95","150.00","176.52","149.34","522.13M","19.22%"
