"Date","Price","Open","High","Low","Vol.","Change %"
"05/29/2026","55.10","55.03","55.42","54.90","3.80M","0.20%"
"05/28/2026","54.99","54.53","55.08","54.46","3.96M","-0.85%"
"05/27/2026","55.46","55.16","55.55","55.10","3.01M","-1.14%"
"05/26/2026","56.10","55.85","56.10","55.85","3.23M","1.01%"
"05/22/2026","55.54","54.93","55.64","54.86","3.01M","-0.75%"
"05/21/2026","55.96","55.53","56.07","55.26","1.52M","-1.17%"
"05/20/2026","56.62","56.54","56.72","56.10","1.75M","0.07%"
"05/19/2026","56.58","56.41","56.71","56.35","2.40M","0.39%"
"05/18/2026","56.36","56.63","56.67","56.20","2.39M","-0.49%"
"05/15/2026","56.64","57.06","57.13","56.62","3.88M","-2.51%"
"05/14/2026","58.10","58.19","58.36","57.79","3.78M","-2.83%"
"05/13/2026","59.79","58.07","59.93","58.04","5.58M","2.71%"
"05/12/2026","58.21","58.42","58.52","57.87","2.13M","-0.83%"
"05/11/2026","58.70","58.73","58.90","58.65","2.94M","0.65%"
"05/08/2026","58.32","58.69","58.89","58.19","3.61M","-0.02%"
"05/07/2026","58.33","59.00","59.05","58.28","3.93M","-0.65%"
"05/06/2026","58.71","57.87","58.83","57.78","5.77M","2.60%"
"05/05/2026","57.22","57.51","57.54","57.22","1.19M","-0.14%"
"05/04/2026","57.30","57.37","57.69","57.17","1.25M","-0.73%"
"05/01/2026","57.72","57.57","58.01","57.55","1.56M","0.26%"
"04/30/2026","57.57","56.86","57.69","56.79","1.10M","1.30%"
"04/29/2026","56.83","57.11","57.18","56.72","1.85M","0.12%"
"04/28/2026","56.76","56.56","56.83","56.51","2.24M","-0.63%"
"04/27/2026","57.12","57.18","57.29","57.01","1.87M","-1.19%"
"04/24/2026","57.81","57.54","57.85","57.35","2.78M","0.94%"
"04/23/2026","57.27","57.64","57.72","56.83","2.48M","-1.77%"
"04/22/2026","58.30","58.40","58.51","58.17","1.70M","0.24%"
"04/21/2026","58.16","58.97","59.02","58.06","2.05M","-1.92%"
"04/20/2026","59.30","59.16","59.40","58.98","1.30M","0.02%"
"04/17/2026","59.29","59.29","59.72","59.09","2.25M","1.02%"
"04/16/2026","58.69","58.78","59.03","58.48","2.98M","1.14%"
"04/15/2026","58.03","57.71","58.06","57.60","1.58M","0.02%"
"04/14/2026","58.02","57.55","58.12","57.53","3.90M","1.17%"
"04/13/2026","57.35","56.68","57.38","56.65","2.23M","0.30%"
"04/10/2026","57.18","57.44","57.56","57.10","1.56M","-0.05%"
"04/09/2026","57.21","56.92","57.23","56.56","1.93M","-0.16%"
"04/08/2026","57.30","57.61","57.73","57.13","2.69M","3.04%"
"04/07/2026","55.61","55.51","55.69","55.02","4.72M","-0.39%"
"04/06/2026","55.83","55.53","56.12","55.53","1.81M","-0.02%"
"04/02/2026","55.84","55.28","56.06","55.20","2.05M","-0.29%"
"04/01/2026","56.00","56.10","56.50","55.90","9.77M","-0.32%"
"03/31/2026","56.18","55.00","56.25","54.92","5.78M","2.24%"
"03/30/2026","54.95","55.22","55.33","54.78","2.79M","0.24%"
"03/27/2026","54.82","55.23","55.26","54.76","2.99M","-0.40%"
"03/26/2026","55.04","55.28","55.69","55.00","4.26M","-2.84%"
"03/25/2026","56.65","56.51","56.82","56.35","3.53M","1.82%"
"03/24/2026","55.64","55.39","55.83","55.26","3.77M","0.09%"
"03/23/2026","55.59","55.50","56.17","55.31","5.94M","0.69%"
"03/20/2026","55.21","56.00","56.04","55.10","3.87M","-2.82%"
"03/19/2026","56.81","56.20","57.09","55.99","8.39M","-0.73%"
"03/18/2026","57.23","57.95","58.10","57.21","2.64M","-2.07%"
"03/17/2026","58.44","58.71","58.78","58.37","4.37M","-0.44%"
"03/16/2026","58.70","58.59","58.85","58.54","5.55M","1.59%"
"03/13/2026","57.78","58.14","58.44","57.67","4.26M","0.17%"
"03/12/2026","57.68","57.95","58.12","57.52","3.95M","-1.08%"
"03/11/2026","58.31","58.35","58.47","58.01","5.54M","-0.66%"
"03/10/2026","58.70","58.29","59.40","58.16","5.58M","1.79%"
"03/09/2026","57.67","56.74","57.78","56.47","6.79M","1.67%"
"03/06/2026","56.72","56.40","56.95","56.21","5.02M","0.96%"
"03/05/2026","56.18","56.18","56.56","55.83","10.53M","-1.66%"
"03/04/2026","57.13","57.00","57.24","56.66","4.00M","0.40%"
