"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2026","72.40","70.29","72.46","69.86","6.01M","2.83%"
"02/06/2026","70.41","68.12","70.53","67.95","11.26M","6.15%"
"02/05/2026","66.33","68.42","69.57","65.98","16.04M","-5.23%"
"02/04/2026","69.99","72.55","72.60","68.54","14.44M","-4.70%"
"02/03/2026","73.44","75.07","75.34","71.76","9.93M","-1.24%"
"02/02/2026","74.36","74.14","75.27","73.79","8.30M","-0.68%"
"01/30/2026","74.87","76.94","77.49","74.47","9.95M","-3.57%"
"01/29/2026","77.64","78.99","79.05","76.25","7.52M","-1.65%"
"01/28/2026","78.94","80.38","80.42","78.67","4.39M","-1.04%"
"01/27/2026","79.77","80.62","80.69","79.44","3.58M","-0.19%"
"01/26/2026","79.92","80.30","80.77","79.67","3.63M","-0.97%"
"01/23/2026","80.70","82.05","82.20","80.46","3.98M","-1.86%"
"01/22/2026","82.23","81.27","82.46","80.63","6.31M","2.42%"
"01/21/2026","80.29","79.64","80.91","78.35","9.37M","1.34%"
"01/20/2026","79.23","79.20","80.60","79.07","7.48M","-3.00%"
"01/16/2026","81.68","82.36","82.64","81.35","5.63M","-0.31%"
"01/15/2026","81.93","83.59","83.75","81.74","6.39M","-1.53%"
"01/14/2026","83.20","83.03","83.33","82.12","7.37M","-0.01%"
"01/13/2026","83.21","82.94","83.62","81.87","6.28M","0.81%"
"01/12/2026","82.54","80.90","82.83","80.85","8.23M","2.80%"
"01/09/2026","80.29","81.19","81.34","79.65","6.78M","-0.32%"
"01/08/2026","80.55","81.11","81.16","79.96","6.79M","-0.73%"
"01/07/2026","81.14","81.74","81.99","81.04","6.15M","-0.88%"
"01/06/2026","81.86","81.43","82.10","80.76","6.88M","0.64%"
"01/05/2026","81.34","79.54","81.66","79.54","9.68M","3.87%"
"01/02/2026","78.31","78.14","78.61","77.26","7.91M","1.81%"
"12/31/2025","76.92","78.02","78.09","76.92","4.98M","-1.22%"
"12/30/2025","77.87","78.85","78.88","77.85","3.02M","-0.94%"
"12/29/2025","78.61","78.78","79.67","78.43","4.64M","-1.37%"
"12/26/2025","79.70","80.51","80.54","79.10","4.06M","-1.18%"
"12/24/2025","80.65","80.54","80.66","79.85","2.77M","0.17%"
"12/23/2025","80.51","80.71","80.99","79.65","5.60M","-1.20%"
"12/22/2025","81.49","81.34","82.34","81.14","5.66M","1.48%"
"12/19/2025","80.30","79.48","80.65","79.33","6.76M","2.05%"
"12/18/2025","78.69","79.50","80.56","78.44","11.32M","1.27%"
"12/17/2025","77.70","80.36","81.42","77.66","11.10M","-3.04%"
"12/16/2025","80.14","79.15","80.29","78.80","8.67M","1.17%"
"12/15/2025","79.21","81.01","81.46","79.12","9.29M","-1.47%"
"12/12/2025","80.39","82.03","82.58","79.42","11.38M","-2.04%"
"12/11/2025","82.06","82.01","82.54","80.94","9.00M","-1.32%"
"12/10/2025","83.16","82.45","84.02","81.55","8.81M","0.76%"
"12/09/2025","82.53","81.43","83.07","81.10","6.39M","0.70%"
"12/08/2025","81.96","82.42","82.84","81.27","5.77M","0.06%"
"12/05/2025","81.91","82.21","82.81","81.67","8.04M","-0.90%"
"12/04/2025","82.65","80.70","82.80","80.07","9.32M","2.35%"
"12/03/2025","80.75","78.35","80.94","77.90","8.22M","3.23%"
"12/02/2025","78.22","78.52","79.48","78.02","5.92M","0.89%"
"12/01/2025","77.53","77.90","78.58","77.12","8.17M","-2.70%"
"11/28/2025","79.68","79.04","79.81","78.63","3.35M","1.54%"
"11/26/2025","78.47","78.00","78.75","77.45","5.54M","1.51%"
"11/25/2025","77.30","75.96","77.43","74.74","7.24M","0.66%"
"11/24/2025","76.79","74.03","76.94","73.85","8.09M","4.69%"
"11/21/2025","73.35","72.09","74.34","70.44","22.93M","2.23%"
"11/20/2025","71.75","76.33","77.14","71.53","19.14M","-3.55%"
"11/19/2025","74.39","74.97","75.74","73.28","9.43M","-0.77%"
"11/18/2025","74.97","74.44","75.93","73.54","11.77M","-0.69%"
"11/17/2025","75.49","76.09","77.04","74.45","11.30M","-1.86%"
"11/14/2025","76.92","74.52","78.21","74.22","13.46M","-0.22%"
"11/13/2025","77.09","80.41","80.49","76.62","17.94M","-5.25%"
"11/12/2025","81.36","82.75","82.87","80.76","7.51M","-0.84%"
"11/11/2025","82.05","82.05","82.54","81.35","5.37M","-0.95%"
"11/10/2025","82.84","83.51","83.55","82.20","7.64M","2.59%"
"11/07/2025","80.75","79.06","80.87","77.39","15.21M","-0.21%"
"11/06/2025","80.92","84.69","84.70","80.54","11.14M","-4.79%"
"11/05/2025","84.99","84.09","85.56","83.04","7.78M","1.78%"
"11/04/2025","83.50","85.19","86.69","83.50","11.27M","-5.32%"
"11/03/2025","88.19","89.41","89.43","86.85","8.16M","-0.89%"
"10/31/2025","88.98","87.21","89.95","87.21","7.77M","3.85%"
"10/30/2025","85.68","87.46","88.10","85.68","8.37M","-3.98%"
"10/29/2025","89.23","89.95","90.35","88.07","8.30M","-0.06%"
"10/28/2025","89.28","90.25","90.33","89.28","5.16M","-1.07%"
"10/27/2025","90.25","89.92","90.78","89.10","6.80M","1.03%"
"10/24/2025","89.33","89.46","89.90","88.94","5.73M","1.59%"
"10/23/2025","87.93","85.78","88.05","85.34","6.51M","3.02%"
"10/22/2025","85.35","88.26","88.29","83.57","16.20M","-3.72%"
"10/21/2025","88.65","89.69","89.96","88.50","7.32M","-1.51%"
"10/20/2025","90.01","88.02","90.46","87.86","9.36M","4.37%"
"10/17/2025","86.24","85.76","87.07","84.78","10.41M","-0.51%"
"10/16/2025","86.68","89.46","90.01","86.31","10.49M","-2.93%"
"10/15/2025","89.30","88.71","90.10","86.94","9.64M","2.81%"
"10/14/2025","86.86","85.68","88.51","83.86","7.73M","-1.04%"
"10/13/2025","87.77","88.46","88.72","86.63","6.63M","1.44%"
"10/10/2025","86.52","92.23","92.45","86.21","12.33M","-5.61%"
"10/09/2025","91.66","92.44","92.44","90.78","7.28M","-0.94%"
"10/08/2025","92.53","89.84","92.65","88.82","7.33M","3.84%"
"10/07/2025","89.11","91.56","91.76","88.49","6.55M","-2.71%"
"10/06/2025","91.59","91.09","91.76","89.70","7.08M","3.70%"
"10/03/2025","88.32","89.49","89.62","87.19","7.98M","-1.01%"
"10/02/2025","89.22","88.55","89.33","87.26","7.89M","2.65%"
"10/01/2025","86.92","85.64","87.67","85.49","8.57M","0.72%"
"09/30/2025","86.30","85.30","86.98","84.88","13.66M","0.15%"
"09/29/2025","86.17","84.21","86.17","83.80","12.27M","3.69%"
"09/26/2025","83.10","82.55","83.16","81.11","6.45M","1.80%"
"09/25/2025","81.63","81.46","82.49","80.01","12.22M","-2.19%"
"09/24/2025","83.46","84.36","84.68","82.95","10.47M","-0.14%"
"09/23/2025","83.58","85.17","85.33","83.18","10.01M","-1.31%"
"09/22/2025","84.69","84.49","85.41","84.07","9.44M","-0.32%"
"09/19/2025","84.96","84.66","85.55","84.18","23.13M","2.16%"
"09/18/2025","83.16","81.77","83.35","81.61","11.34M","3.09%"
"09/17/2025","80.67","80.91","81.61","78.87","12.96M","-0.44%"
"09/16/2025","81.03","80.19","81.10","79.27","9.06M","1.64%"
"09/15/2025","79.72","79.65","79.98","79.01","9.86M","1.46%"
"09/12/2025","78.57","78.50","78.68","77.83","8.48M","0.34%"
"09/11/2025","78.30","75.96","78.31","75.86","13.32M","3.63%"
"09/10/2025","75.56","77.35","77.49","75.30","9.74M","-1.34%"
"09/09/2025","76.59","76.24","76.84","75.39","9.77M","0.60%"
"09/08/2025","76.13","76.07","76.63","75.72","7.67M","1.01%"
"09/05/2025","75.37","75.86","76.17","73.64","14.69M","0.47%"
"09/04/2025","75.02","74.70","75.06","73.73","6.57M","0.31%"
"09/03/2025","74.79","74.97","75.63","74.29","5.97M","0.51%"
"09/02/2025","74.41","73.21","74.85","72.43","10.67M","-0.73%"
"08/29/2025","74.96","75.92","76.08","74.50","10.81M","-1.46%"
"08/28/2025","76.07","75.96","76.60","75.65","6.11M","0.73%"
"08/27/2025","75.52","76.05","76.34","75.19","6.00M","-0.98%"
"08/26/2025","76.27","75.69","76.33","75.40","5.63M","0.81%"
"08/25/2025","75.66","76.24","76.63","75.29","9.62M","-1.12%"
"08/22/2025","76.52","73.74","77.33","73.20","16.66M","4.09%"
"08/21/2025","73.51","73.05","74.02","72.77","12.05M","-0.37%"
"08/20/2025","73.78","73.52","73.95","71.28","18.24M","-0.34%"
"08/19/2025","74.03","76.98","76.98","73.94","17.10M","-3.99%"
"08/18/2025","77.11","76.57","77.36","75.85","9.54M","0.13%"
"08/15/2025","77.01","76.95","77.19","76.13","12.79M","-0.05%"
"08/14/2025","77.05","76.94","77.88","76.22","19.29M","-1.10%"
"08/13/2025","77.91","77.50","78.76","77.17","25.06M","1.47%"
"08/12/2025","76.78","76.50","76.88","75.33","15.42M","2.06%"
"08/11/2025","75.23","75.46","76.89","75.13","11.20M","0.63%"
"08/08/2025","74.76","74.87","75.09","74.18","6.49M","0.55%"
"08/07/2025","74.35","75.02","75.31","73.26","8.72M","0.26%"
"08/06/2025","74.16","72.88","74.16","72.54","8.21M","2.11%"
"08/05/2025","72.63","73.26","73.59","72.30","9.37M","-1.30%"
"08/04/2025","73.59","71.96","73.63","71.50","9.73M","3.41%"
"08/01/2025","71.16","72.35","72.46","70.39","26.25M","-5.54%"
"07/31/2025","75.33","76.72","77.28","75.01","17.27M","-0.42%"
