Asset Name,Last Close,1M % Chg,YTD % Chg,52w Low,52w High,52w Range,Last 10 Days Return,Category
USD_SEK,9.3012,-0.6313900195506641,0.9529598193934884,8.7619,9.8615,1.0995999999999988,"[0.29, 0.59, -0.02, -0.34, 0.23, -1.65, -0.46, -0.1, 0.77, -0.39]",Currencies
USD_GBP,0.7447,-0.6404269513008707,0.33683643222851767,0.7221,0.7679,0.04580000000000006,"[-0.61, 0.61, 0.24, -0.3, -0.44, -0.76, -0.31, -0.2, 0.51, -0.26]",Currencies
USD_JPY,159.66,0.19454032005020538,1.9084700325525048,140.85,160.32,19.47,"[0.51, -0.02, 0.12, -0.06, -0.04, -0.65, 0.23, 0.21, 0.24, -0.01]",Currencies
USD_CAD,1.3845,1.4880516053364596,0.8596197275442582,1.349,1.4118,0.06279999999999997,"[0.32, 0.2, -0.01, -0.25, -0.16, -0.3, -0.22, 0.18, 0.22, -0.2]",Currencies
EUR_USD,1.1696,1.6071583702545356,-0.425676826153594,1.1088,1.2041,0.09529999999999994,"[-0.44, -0.18, -0.06, 0.28, 0.46, 0.59, 0.32, 0.17, -0.38, 0.18]",Currencies
Apple,260.48,0.23087578882562057,-4.18597807695137,190.42,286.19,95.77000000000001,"[-1.62, -0.87, 2.9, 0.73, 0.11, 1.15, -2.07, 2.13, 0.61, 0.0]",Equities - Magnificent Seven
NVIDIA,188.63,3.274021352313162,1.1420911528150108,96.91,207.04,110.13,"[-2.17, -1.4, 5.59, 0.77, 0.93, 0.14, 0.26, 2.23, 1.01, 2.57]",Equities - Magnificent Seven
Microsoft,370.87,-9.413546322757142,-23.31375873619784,356.77,542.07,185.30000000000007,"[-2.51, 0.61, 3.12, -0.22, 1.11, -0.16, -0.16, 0.55, -0.34, -0.59]",Equities - Magnificent Seven
Alphabet A,317.24,3.5513774644209413,1.3546325878594279,147.67,343.69,196.02,"[-2.34, -0.31, 5.14, 3.42, -0.54, 1.43, 1.82, 3.88, 0.37, -0.39]",Equities - Magnificent Seven
Meta Platforms,629.86,-2.707795918997818,-4.579678528685484,484.66,790.0,305.34,"[-3.99, 2.03, 6.67, 1.24, -0.82, -0.25, 0.35, 6.5, 2.61, 0.23]",Equities - Magnificent Seven
Tesla,348.95,-12.473663088191035,-22.407275638174873,227.5,489.88,262.38,"[-2.76, -1.81, 4.64, 2.56, -5.42, -2.15, -1.75, -0.98, 0.69, 0.96]",Equities - Magnificent Seven
Amazon.com,238.38,11.658625696753939,3.275279438523526,167.32,254.0,86.68,"[-3.95, 0.81, 3.64, 1.1, -0.38, 1.44, 0.46, 3.5, 5.6, 2.02]",Equities - Magnificent Seven
Italy 10-Year Bond Yield,3.853,2.9663281667557513,9.709567198177682,3.279,4.063,0.7839999999999998,"[-1.51, -1.75, 0.12, 0.13, 0.0, 3.2, -6.87, 1.22, 2.57, 0.14]",Long-Term Bonds
United States 10-Year Bond Yield,4.332,1.380762930025747,3.7604790419161684,3.953,4.595,0.6419999999999999,"[0.23, -0.19, 0.77, -0.25, 0.18, -1.2, 0.05, 0.56, 0.97, -0.62]",Long-Term Bonds
Japan 10-Year Bond Yield,2.467,12.90617848970252,19.063706563706564,1.27,2.467,1.197,"[0.13, -2.42, 3.61, -0.17, 1.93, -0.62, -1.7, 1.05, 1.67, 1.27]",Long-Term Bonds
Germany 10-Year Bond Yield,3.0595,4.142555653890656,7.136603985012423,2.439,3.0985,0.6595,"[-1.03, -0.38, -0.02, 0.26, -0.27, 2.93, -4.56, 2.3, 1.26, 0.37]",Long-Term Bonds
United Kingdom 10-Year Bond Yield,4.853,1.399916422900129,8.471166741171201,4.272,4.997,0.7249999999999996,"[-0.16, -1.06, -1.03, -1.0, 0.48, 1.03, -3.88, 0.98, 1.64, 0.37]",Long-Term Bonds
France 10-Year Bond Yield,3.707,2.686980609418282,4.0123456790123395,3.161,3.838,0.677,"[-1.05, -1.1, -0.05, 0.16, -0.11, 2.8, -5.56, 1.44, 2.18, 0.09]",Long-Term Bonds
Canada 10-Year Bond Yield,3.469,3.0906389301634367,0.9898107714701546,3.043,3.611,0.5680000000000001,"[0.67, -2.01, -1.0, 0.83, -0.57, -0.4, 0.52, -0.66, -0.35, 0.49]",Long-Term Bonds
Gold Futures,4761.09,-7.115182020367553,9.16050486638924,3188.3,5354.8,2166.5,"[2.87, -2.77, 0.0, 0.11, 0.0, 1.97, 0.85, -0.64, -1.97, 1.44]",Commodities
Natural Gas Futures,2.673,-17.321373337457473,-27.482365708084643,2.648,7.46,4.811999999999999,"[-2.25, -0.67, 0.0, 0.39, 2.1, -5.09, -1.98, -0.82, 1.93, -0.96]",Commodities
Copper Futures,5.8635,-0.07668711656442008,1.8676164002779696,4.3545,6.2035,1.8490000000000002,"[0.58, -1.12, 0.0, 0.31, -0.68, 3.85, -0.22, 2.11, -1.52, 1.16]",Commodities
Brent Oil Futures,101.88,1.4134979096157692,67.42810188989317,58.92,118.35,59.42999999999999,"[4.94, -14.52, 7.78, 0.68, -0.46, -13.29, 1.23, -0.75, 8.31, -1.19]",Commodities
Silver Futures,74.85,-12.05705423442053,5.400267549109334,32.167,115.148,82.981,"[1.55, -4.15, 0.0, -0.11, -1.18, 4.72, 1.4, 0.05, -3.48, 1.4]",Commodities
Platinum Futures,2058.4,-4.945740013853609,-2.9216874572594063,953.9,2871.2,1917.2999999999997,"[0.99, -0.33, 0.0, -0.29, -1.5, 6.14, 2.16, -2.22, -2.47, 2.2]",Commodities
US Wheat Futures,577.88,-2.426340227944281,13.980276134122288,495.0,618.5,123.5,"[1.52, -3.04, 0.13, 0.0, -0.5, 0.46, -2.97, -0.99, -0.61, 1.2]",Commodities
Crude Oil WTI Futures,103.62,9.732076670549612,80.45977011494253,55.27,112.95,57.68,"[-1.24, 11.41, 0.0, 0.78, 0.48, -16.41, 3.66, -1.33, 8.45, -1.06]",Commodities
US Coffee C Futures,300.1,1.077803974402171,-13.94982078853046,278.05,432.35,154.3,"[-1.93, -3.03, 1.98, -0.18, -0.81, 0.9, -4.01, 2.78, -0.12, 2.18]",Commodities
FTSE 100,10551.41,2.389678946934302,6.243140429628115,8134.34,10910.55,2776.209999999999,"[-0.05, 1.61, 0.48, 1.85, 0.69, -0.84, 2.51, -0.05, -0.03, -0.46]",Market Indices
Nasdaq 100,25116.34,0.5971422563558267,-0.5287556163699919,17808.3,26119.85,8311.55,"[-1.93, -0.78, 3.43, 1.18, 0.11, 0.61, 0.04, 2.9, 0.72, 0.14]",Market Indices
US Dollar Index,98.9,-0.8421896932023153,0.5899104963384993,96.22,101.79,5.570000000000007,"[-0.55, -0.31, 0.38, 0.19, -0.24, -0.12, -0.73, -0.32, -0.17, 0.26]",Market Indices
S&P 500,6816.89,0.3075342959598314,-0.4179387919070875,5158.2,6978.6,1820.4000000000005,"[-1.67, -0.39, 2.91, 0.72, 0.11, 0.44, 0.08, 2.51, 0.62, -0.11]",Market Indices
Euro Stoxx 50,5868.95,2.0884031526085813,1.2547832897992064,4911.39,6173.32,1261.9299999999994,"[-1.08, 0.65, 0.5, 2.93, -0.7, -1.05, 4.97, -0.29, 0.51, -0.96]",Market Indices
MSCI World,4463.26,2.304760114699354,0.7376009461515263,3424.33,4578.08,1153.75,"[2.27, 1.49, -0.19, 0.06, 0.31, -0.04, 3.01, 0.27, 0.08, -0.24]",Market Indices
US Small Cap 2000,2630.59,3.012135475609616,5.99054760245135,1831.39,2718.77,887.3799999999999,"[-1.75, -1.46, 3.41, 0.64, 0.7, 0.42, 0.17, 2.97, 0.6, -0.22]",Market Indices
CBOE Volatility Index,21.15,-22.49908391352144,41.47157190635451,13.47,33.82,20.35,"[-17.51, -2.81, -2.73, 0.0, 1.26, 6.66, -18.39, -7.37, -1.33, 9.98]",Market Indices
Dow Jones Industrial Average,47916.57,0.3681756485019036,-0.305264163148218,38170.41,50188.14,12017.729999999996,"[-1.73, 0.11, 2.49, 0.48, -0.13, 0.36, -0.18, 2.85, 0.58, -0.56]",Market Indices
Bitcoin,70785.3,0.41308421555846103,-20.29768466233768,62857.9,124725.1,61867.200000000004,"[0.51, 2.55, -0.23, 4.48, -1.15, 0.95, 1.64, 0.12, -3.15, 0.06]",Cryptocurrency
Litecoin,53.23,-2.4376832844574876,-33.3958958958959,50.75,130.85,80.1,"[0.67, 0.99, -1.08, 3.45, -2.54, 1.06, 0.77, 0.17, -2.85, -0.48]",Cryptocurrency
Ethereum,2188.26,5.555984332490801,-27.159491109054706,1577.14,4831.21,3254.0699999999997,"[0.57, 2.11, -0.09, 6.41, -2.29, -0.08, 2.56, 1.77, -4.06, -0.17]",Cryptocurrency
XRP,1.328,-4.067037491873149,-29.32034701154931,1.2134,3.5515,2.3381,"[-0.25, 0.82, -0.35, 4.39, -2.63, 0.04, 0.93, -0.1, -2.21, 0.24]",Cryptocurrency
Dogecoin,0.091094,-3.83421658256446,-28.15760625251386,0.088329,0.289322,0.20099300000000003,"[0.54, 0.35, -1.89, 4.81, -2.69, 0.17, 1.19, -0.63, -2.41, 0.27]",Cryptocurrency
