date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,Australian Dollar,42542,65479,6541,-4496,27,41.5
2020-01-14,Australian Dollar,39012,42412,-3530,-23067,27,29.3
2020-01-21,Australian Dollar,37790,34130,-1222,-8282,27.1,24.5
2020-01-28,Australian Dollar,41534,27206,3744,-6924,26.5,17.4
2020-02-04,Australian Dollar,46336,40305,4802,13099,25.6,22.3
2020-02-11,Australian Dollar,45950,33547,-386,-6758,25.9,18.9
2020-02-18,Australian Dollar,46436,36570,486,3023,24.8,19.5
2020-02-25,Australian Dollar,55391,38068,8955,1498,26,17.8
2020-03-03,Australian Dollar,58831,51047,3440,12979,26.4,22.9
2020-03-10,Australian Dollar,39543,40349,-19288,-10698,18.7,19.1
2020-03-17,Australian Dollar,30851,30797,-8692,-9552,20.6,20.5
2020-03-24,Australian Dollar,24807,32697,-6044,1900,18.4,24.2
2020-03-31,Australian Dollar,25285,37447,478,4750,19.3,28.6
2020-04-07,Australian Dollar,24417,35776,-868,-1671,18.8,27.5
2020-04-14,Australian Dollar,19782,35974,-4635,198,15.4,28
2020-04-21,Australian Dollar,20423,35809,641,-165,16.2,28.4
2020-04-28,Australian Dollar,20355,36793,-68,984,15.8,28.5
2020-05-05,Australian Dollar,21862,35326,1507,-1467,16.9,27.3
2020-05-12,Australian Dollar,22806,36976,944,1650,17.6,28.6
2020-05-19,Australian Dollar,24620,36872,1814,-104,18.5,27.8
2020-05-26,Australian Dollar,25027,39299,407,2427,18.3,28.7
2020-06-02,Australian Dollar,23176,44451,-1851,5152,17.1,32.8
2020-06-09,Australian Dollar,25811,44723,2635,272,18.6,32.2
2020-06-16,Australian Dollar,24878,14748,-933,-29975,27.4,16.2
2020-06-23,Australian Dollar,28970,16228,4092,1480,30.9,17.3
2020-06-30,Australian Dollar,34101,18211,5131,1983,33.9,18.1
2020-07-07,Australian Dollar,38745,21087,4644,2876,36.9,20.1
2020-07-14,Australian Dollar,40731,16313,1986,-4774,38,15.2
2020-07-21,Australian Dollar,37413,14748,-3318,-1565,34.3,13.5
2020-07-28,Australian Dollar,37347,18060,-66,3312,32.9,15.9
2020-08-04,Australian Dollar,37710,21129,363,3069,31.4,17.6
2020-08-11,Australian Dollar,38550,24584,840,3455,31.5,20.1
2020-08-18,Australian Dollar,36975,22955,-1575,-1629,29.6,18.4
2020-08-25,Australian Dollar,37348,25788,373,2833,29.3,20.2
2020-09-01,Australian Dollar,39822,29468,2474,3680,29,21.5
2020-09-08,Australian Dollar,39426,28542,-396,-926,27.4,19.8
