date,aud_usd,eur_usd,gbp_usd,usd_jpy,dxy,us2y,us10y,russell2000,sp500,vix,gold,silver
2020-01-05,0.6901,1.112,1.3059,109.46,97.36,1.57,1.82,"1,657.64","3,265.35",12.56,"1,566.50",17.936
2020-01-12,0.6872,1.1088,1.3008,110.14,97.64,1.565,1.825,"1,699.64","3,329.62",12.1,"1,578.20",17.939
2020-01-19,0.6828,1.1023,1.3076,109.27,97.85,1.495,1.686,"1,662.23","3,295.47",14.56,"1,593.80",17.829
2020-01-26,0.6691,1.1093,1.3199,108.38,97.39,1.319,1.505,"1,614.06","3,225.52",18.84,"1,579.20",18.032
2020-02-02,0.6672,1.0943,1.2891,109.72,98.68,1.401,1.582,"1,656.78","3,327.71",15.47,"1,591.90",17.857
2020-02-09,0.6713,1.083,1.3046,109.74,99.12,1.43,1.588,"1,687.58","3,380.16",13.68,"1,654.60",17.66
2020-02-16,0.6627,1.0843,1.2969,111.57,99.26,1.354,1.473,"1,678.61","3,337.75",17.08,"1,571.80",18.367
2020-02-23,0.6509,1.1025,1.282,108.07,98.13,0.931,1.163,"1,476.43","2,954.22",40.11,"1,676.10",17.735
2020-03-01,0.6651,1.1285,1.3047,105.3,95.95,0.51,0.773,"1,449.22","2,972.37",41.94,"1,519.50",17.393
2020-03-08,0.6182,1.1105,1.2276,107.91,98.75,0.508,0.983,"1,209.46","2,711.02",57.83,"1,488.10",16.005
2020-03-15,0.5798,1.0694,1.1641,110.8,102.82,0.325,0.885,"1,013.89","2,304.92",66.04,"1,654.10",12.134
2020-03-22,0.6165,1.114,1.2456,107.89,98.36,0.248,0.676,"1,131.99","2,541.47",65.54,"1,645.50",14.676
2020-03-29,0.5995,1.0808,1.226,108.45,100.58,0.227,0.599,"1,052.05","2,488.65",46.8,"1,752.10",14.678
2020-04-05,0.635,1.0935,1.2452,108.46,99.52,0.231,0.729,"1,246.73","2,789.82",41.67,"1,700.10",15.229
2020-04-12,0.6364,1.0876,1.2499,107.51,99.78,0.202,0.642,"1,229.10","2,874.56",38.15,"1,739.70",15.646
2020-04-19,0.6385,1.082,1.2367,107.5,100.38,0.222,0.605,"1,233.05","2,836.74",35.93,"1,707.20",15.381
2020-04-26,0.6418,1.0983,1.2502,106.93,99.08,0.198,0.618,"1,260.48","2,830.71",37.19,"1,726.60",14.973
2020-05-03,0.6529,1.084,1.2407,106.65,99.73,0.161,0.685,"1,329.64","2,929.80",27.98,"1,768.00",15.59
2020-05-10,0.6414,1.0815,1.2104,107.02,100.4,0.151,0.644,"1,256.99","2,863.70",31.89,"1,753.50",16.156
2020-05-17,0.6535,1.09,1.2164,107.61,99.86,0.17,0.657,"1,355.53","2,955.45",28.16,"1,760.70",17.364
2020-05-24,0.6666,1.1098,1.2344,107.77,98.34,0.164,0.653,"1,394.04","3,044.31",27.51,"1,694.10",18.009
2020-05-31,0.6968,1.1284,1.2663,109.58,96.94,0.21,0.893,"1,507.15","3,193.93",24.52,"1,746.20",18.116
2020-06-07,0.6862,1.1254,1.254,107.34,97.32,0.195,0.71,"1,387.68","3,041.31",36.09,"1,761.00",17.97
2020-06-14,0.6832,1.1175,1.2356,106.87,97.62,0.19,0.694,"1,418.63","3,097.74",35.12,"1,789.80",17.601
2020-06-21,0.686,1.1217,1.2333,107.21,97.43,0.168,0.64,"1,378.78","3,009.05",34.73,"1,801.00",17.968
2020-06-28,0.6937,1.1248,1.2483,107.5,97.17,0.155,0.669,"1,431.86","3,130.01",27.68,"1,801.90",18.322
2020-07-05,0.6948,1.1298,1.262,106.89,96.65,0.157,0.643,"1,422.68","3,185.04",27.29,"1,815.60",18.962
2020-07-12,0.6995,1.1426,1.2565,106.99,95.94,0.143,0.623,"1,473.32","3,224.73",25.68,"1,820.90",19.573
2020-07-19,0.7103,1.1654,1.2789,106.12,94.44,0.149,0.587,"1,467.55","3,215.63",25.84,"1,910.10",22.988
2020-07-26,0.7142,1.1774,1.3088,105.88,93.35,0.109,0.533,"1,480.43","3,271.12",24.46,"1,985.90",23.45
2020-08-02,0.7157,1.1786,1.3051,105.91,93.44,0.129,0.566,"1,569.18","3,351.28",22.21,"2,028.00",28.47
2020-08-09,0.7171,1.1841,1.3084,106.59,93.1,0.147,0.709,"1,577.88","3,372.85",22.05,"1,949.80",27.762
2020-08-16,0.7161,1.1795,1.3087,105.78,93.25,0.147,0.636,"1,552.48","3,397.16",22.54,"1,947.00",27.192
2020-08-23,0.7366,1.1903,1.3349,105.34,92.37,0.133,0.724,"1,578.34","3,508.01",22.96,"1,974.90",27.09
2020-08-30,0.7279,1.1838,1.3282,106.23,92.72,0.147,0.721,"1,535.30","3,426.96",30.75,"1,934.30",26.828
2020-09-06,0.7283,1.1845,1.2793,106.14,93.33,0.129,0.669,"1,497.27","3,340.97",26.87,"1,947.90",27.249
2020-09-13,0.7289,1.1837,1.2915,104.55,92.93,0.141,0.697,"1,536.78","3,319.47",25.83,"1,962.10",27.066
2020-09-20,0.7027,1.163,1.2745,105.6,94.64,0.131,0.656,"1,474.91","3,298.46",26.38,"1,866.30",23.162
2020-09-27,0.7162,1.1713,1.2931,105.33,93.84,0.133,0.704,"1,539.30","3,348.44",27.63,"1,914.70",24.254
2020-10-04,0.7239,1.1824,1.3046,105.59,93.06,0.157,0.779,"1,637.55","3,477.13",25,"1,933.60",23.876
2020-10-11,0.708,1.1718,1.2913,105.4,93.68,0.147,0.749,"1,633.81","3,483.81",27.41,"1,914.00",24.224
2020-10-18,0.7135,1.1859,1.304,104.69,92.77,0.155,0.841,"1,640.50","3,465.39",27.55,"1,912.70",24.709
2020-10-25,0.7026,1.1647,1.2941,104.64,94.04,0.156,0.874,"1,538.48","3,269.96",38.02,"1,887.20",23.408
2020-11-01,0.7255,1.1872,1.3156,103.33,92.23,0.155,0.82,"1,644.16","3,509.44",24.86,"1,959.10",25.232
2020-11-08,0.7268,1.1832,1.3186,104.62,92.75,0.181,0.898,"1,744.04","3,585.15",23.1,"1,893.00",24.35
2020-11-15,0.7302,1.1853,1.3282,103.85,92.39,0.161,0.824,"1,785.34","3,557.54",23.7,"1,878.20",24.085
2020-11-22,0.7386,1.1962,1.3314,104.1,91.79,0.154,0.842,"1,855.27","3,638.35",20.84,"1,792.10",23.387
2020-11-29,0.7421,1.212,1.3437,104.14,90.7,0.153,0.973,"1,892.45","3,699.12",20.79,"1,844.00",24.12
2020-12-06,0.7533,1.2111,1.3223,104.01,90.98,0.121,0.896,"1,911.70","3,663.46",23.31,"1,847.60",24.073
2020-12-13,0.7624,1.2255,1.352,103.31,90.02,0.123,0.945,"1,969.99","3,709.41",21.57,"1,893.00",26.15
2020-12-20,0.7599,1.2204,1.3548,103.48,90.32,0.123,0.926,"2,003.95","3,703.06",21.53,"1,887.40",25.885
2020-12-27,0.7704,1.2212,1.3671,103.2,89.94,0.123,0.916,"1,974.86","3,756.07",22.75,"1,899.60",26.573
2021-01-03,0.7759,1.2218,1.3563,103.93,90.1,0.137,1.119,"2,091.66","3,824.68",21.56,"1,839.70",27.261
2021-01-10,0.7702,1.2078,1.3586,103.87,90.77,0.135,1.087,"2,123.20","3,768.25",24.34,"1,833.70",25.802
2021-01-17,0.7716,1.2167,1.3684,103.77,90.24,0.125,1.086,"2,168.76","3,841.47",21.91,"1,859.90",25.854
2021-01-24,0.7642,1.2136,1.3702,104.68,90.58,0.111,1.071,"2,073.64","3,714.24",33.09,"1,852.70",25.945
2021-01-31,0.7677,1.2042,1.3733,105.36,91.04,0.105,1.169,"2,233.33","3,886.83",20.87,"1,815.60",26.261
2021-02-07,0.7753,1.2118,1.3844,104.93,90.48,0.111,1.21,"2,289.36","3,934.83",19.97,"1,826.00",27.072
2021-02-14,0.7869,1.2117,1.4014,105.43,90.36,0.109,1.34,"2,266.69","3,906.71",22.05,"1,780.30",27.098
2021-02-21,0.7705,1.2074,1.3932,106.58,90.88,0.129,1.407,"2,201.05","3,811.15",27.95,"1,731.60",27.685
2021-02-28,0.7686,1.1917,1.3841,108.34,91.98,0.141,1.577,"2,192.21","3,841.94",24.66,"1,701.60",25.461
2021-03-07,0.7765,1.1952,1.3922,109,91.68,0.149,1.625,"2,352.79","3,943.34",20.69,"1,722.40",26.193
2021-03-14,0.7742,1.1903,1.3868,108.87,91.92,0.153,1.73,"2,287.55","3,913.10",20.95,"1,743.90",26.351
2021-03-21,0.7636,1.1796,1.3787,109.64,92.77,0.141,1.674,"2,221.48","3,974.54",18.86,"1,734.70",25.047
2021-03-28,0.7606,1.1762,1.3829,110.71,93.02,0.162,1.673,"2,253.90","4,019.87",17.33,"1,730.30",24.552
2021-04-04,0.7621,1.1896,1.3708,109.65,92.16,0.159,1.662,"2,243.47","4,128.80",16.69,"1,746.80",25.604
2021-04-11,0.7733,1.1983,1.383,108.77,91.56,0.163,1.59,"2,262.67","4,185.47",16.25,"1,782.20",25.979
2021-04-18,0.7745,1.2099,1.3874,107.91,90.86,0.16,1.559,"2,271.86","4,180.17",17.33,"1,779.90",26.2
2021-04-25,0.7716,1.2018,1.3814,109.27,91.28,0.162,1.626,"2,266.45","4,181.17",18.61,"1,769.80",26.085
2021-05-02,0.7842,1.2163,1.3972,108.6,90.23,0.147,1.579,"2,271.63","4,232.60",16.69,"1,833.50",27.477
2021-05-09,0.7772,1.214,1.4096,109.34,90.32,0.149,1.635,"2,224.63","4,173.85",18.81,"1,840.00",27.059
2021-05-16,0.7731,1.2179,1.4147,108.94,90.02,0.155,1.623,"2,215.27","4,155.86",20.15,"1,878.90",28.067
2021-05-23,0.7713,1.2189,1.4187,109.81,90.03,0.141,1.581,"2,268.97","4,204.11",16.76,"1,906.90",27.955
2021-05-30,0.7737,1.2165,1.4154,109.49,90.14,0.149,1.557,"2,286.41","4,229.89",16.42,"1,893.80",27.492
2021-06-06,0.7706,1.2106,1.4106,109.65,90.56,0.149,1.454,"2,335.81","4,247.44",15.65,"1,881.70",28.047
2021-06-13,0.7477,1.186,1.3809,110.19,92.22,0.252,1.443,"2,237.75","4,166.45",20.7,"1,770.90",25.873
2021-06-20,0.7586,1.1933,1.3877,110.77,91.85,0.268,1.524,"2,334.40","4,280.70",15.62,"1,779.80",26.069
2021-06-27,0.7525,1.1864,1.3821,111.04,92.23,0.238,1.431,"2,305.76","4,352.34",15.07,"1,785.20",26.1
2021-07-04,0.7485,1.1873,1.3899,110.14,92.13,0.215,1.361,"2,280.00","4,369.55",16.18,"1,812.10",25.987
2021-07-11,0.7402,1.1805,1.3772,110.08,92.69,0.228,1.3,"2,163.24","4,327.16",18.45,"1,816.70",26.394
2021-07-18,0.7364,1.1771,1.3745,110.54,92.91,0.2,1.281,"2,209.65","4,411.79",17.2,"1,803.60",25.381
2021-07-25,0.7344,1.187,1.3901,109.7,92.17,0.188,1.226,"2,226.25","4,395.26",18.24,"1,817.20",25.799
2021-08-01,0.7353,1.176,1.3871,110.25,92.8,0.212,1.305,"2,247.76","4,436.52",16.15,"1,763.10",25.303
2021-08-08,0.7369,1.1791,1.3863,109.57,92.52,0.209,1.283,"2,223.11","4,468.00",15.45,"1,778.20",23.122
2021-08-15,0.7134,1.1696,1.3621,109.8,93.5,0.226,1.255,"2,167.60","4,441.67",18.56,"1,784.00",23.239
2021-08-22,0.7311,1.1793,1.3757,109.82,92.69,0.219,1.31,"2,277.15","4,509.37",16.39,"1,819.50",23.567
2021-08-29,0.7458,1.1882,1.3865,109.73,92.03,0.208,1.326,"2,292.05","4,535.43",16.41,"1,833.70",23.9
2021-09-05,0.7355,1.1814,1.3839,109.93,92.58,0.215,1.343,"2,227.55","4,458.58",20.95,"1,792.10",24.156
