date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,Euro Dollar,42151,159703,-2676,-12319,7.6,28.7
2020-01-14,Euro Dollar,41577,150952,-574,-8751,7.3,26.4
2020-01-21,Euro Dollar,46342,147131,4765,-3821,8,25.3
2020-01-28,Euro Dollar,55726,159127,9384,11996,9.3,26.6
2020-02-04,Euro Dollar,46758,163930,-8968,4803,7.9,27.6
2020-02-11,Euro Dollar,44521,178070,-2237,14140,7.3,29.1
2020-02-18,Euro Dollar,48476,186683,3955,8613,7.9,30.2
2020-02-25,Euro Dollar,49751,195284,1275,8601,8,31.2
2020-03-03,Euro Dollar,42754,183133,-6997,-12151,6.7,28.6
2020-03-10,Euro Dollar,38294,145905,-4460,-37228,5.8,22.1
2020-03-17,Euro Dollar,38965,101775,671,-44130,6.6,17.3
2020-03-24,Euro Dollar,43370,85717,4405,-16058,7.6,15
2020-03-31,Euro Dollar,43712,79721,342,-5996,7.9,14.4
2020-04-07,Euro Dollar,48500,76019,4788,-3702,8.7,13.7
2020-04-14,Euro Dollar,51052,72530,2552,-3489,9.4,13.3
2020-04-21,Euro Dollar,53217,72546,2165,16,9.7,13.3
2020-04-28,Euro Dollar,55128,74633,1911,2087,10.1,13.7
2020-05-05,Euro Dollar,54435,78604,-693,3971,10.1,14.5
2020-05-12,Euro Dollar,51313,78126,-3122,-478,9.4,14.3
2020-05-19,Euro Dollar,48455,79962,-2858,1836,8.9,14.6
2020-05-26,Euro Dollar,52480,83302,4025,3340,9.4,15
2020-06-02,Euro Dollar,52066,83119,-414,-183,8.9,14.2
2020-06-09,Euro Dollar,51348,84377,-718,1258,8.7,14.2
2020-06-16,Euro Dollar,47845,66789,-3503,-17588,8.3,11.6
2020-06-23,Euro Dollar,52353,67326,4508,537,8.9,11.5
2020-06-30,Euro Dollar,45082,76489,-7271,9163,7.8,13.2
2020-07-07,Euro Dollar,49579,76501,4497,12,8.4,12.9
2020-07-14,Euro Dollar,53992,79311,4413,2810,8.9,13.1
2020-07-21,Euro Dollar,59583,74578,5591,-4733,9.4,11.7
2020-07-28,Euro Dollar,78712,84562,19129,9984,11.6,12.5
2020-08-04,Euro Dollar,91850,80218,13138,-4344,13,11.4
2020-08-11,Euro Dollar,96780,66321,4930,-13897,13.7,9.4
2020-08-18,Euro Dollar,93893,62324,-2887,-3997,13.3,8.9
2020-08-25,Euro Dollar,89098,52003,-4795,-10321,12.7,7.4
2020-09-01,Euro Dollar,86169,54361,-2929,2358,12.3,7.8
2020-09-08,Euro Dollar,81097,51168,-5072,-3193,11.7,7.4
2020-09-15,Euro Dollar,67043,47965,-14054,-3203,10.2,7.3
2020-09-22,Euro Dollar,74981,51976,7938,4011,11.3,7.8
2020-09-29,Euro Dollar,77163,48037,2182,-3939,11.8,7.3
2020-10-06,Euro Dollar,68151,50728,-9012,2691,10.5,7.8
2020-10-13,Euro Dollar,63825,53514,-4326,2786,9.9,8.3
2020-10-20,Euro Dollar,67693,57879,3868,4365,10.5,9
2020-10-27,Euro Dollar,60841,56428,-6852,-1451,9.6,8.9
2020-11-03,Euro Dollar,49641,59764,-11200,3336,7.9,9.5
2020-11-10,Euro Dollar,56591,59918,6950,154,8.9,9.4
2020-11-17,Euro Dollar,55787,61398,-804,1480,8.7,9.6
2020-11-24,Euro Dollar,57894,59428,2107,-1970,9,9.2
2020-12-01,Euro Dollar,64671,59125,6777,-303,9.9,9
2020-12-08,Euro Dollar,72412,58873,7741,-252,10.6,8.6
2020-12-15,Euro Dollar,66504,48447,-5908,-10426,10.1,7.4
2020-12-21,Euro Dollar,68772,50411,2268,1964,10.4,7.6
2020-12-29,Euro Dollar,68234,51624,-538,1213,10.2,7.7
2021-01-05,Euro Dollar,67843,54977,-391,3353,10.1,8.2
2021-01-12,Euro Dollar,72119,48463,4276,-6514,10.6,7.1
2021-01-19,Euro Dollar,80097,48853,7978,390,11.8,7.2
2021-01-26,Euro Dollar,76457,46921,-3640,-1932,11.3,6.9
2021-02-02,Euro Dollar,73530,51409,-2927,4488,10.9,7.6
2021-02-09,Euro Dollar,70898,48435,-2632,-2974,10.5,7.2
2021-02-16,Euro Dollar,68136,48708,-2762,273,10.1,7.2
2021-02-23,Euro Dollar,72092,54006,3956,5298,10.3,7.7
2021-03-02,Euro Dollar,73422,55194,1330,1188,10.5,7.9
