date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,British Pound,57997,40353,-2937,-2803,29.4,20.4
2020-01-14,British Pound,58730,37522,733,-2831,29.9,19.1
2020-01-21,British Pound,52607,37135,-6123,-387,27,19.1
2020-01-28,British Pound,51068,41828,-1539,4693,25.1,20.6
2020-02-04,British Pound,55342,47159,4274,5331,26.6,22.7
2020-02-11,British Pound,63250,42175,7908,-4984,29.8,19.9
2020-02-18,British Pound,70893,42114,7643,-61,32.7,19.4
2020-02-25,British Pound,71438,39705,545,-2409,33.8,18.8
2020-03-03,British Pound,80489,36804,9051,-2901,37.5,17.1
2020-03-10,British Pound,59969,29981,-20520,-6823,28,14
2020-03-17,British Pound,65369,31843,5400,1862,35.9,17.5
2020-03-24,British Pound,52985,29519,-12384,-2324,29.5,16.4
2020-03-31,British Pound,42679,29439,-10306,-80,25.8,17.8
2020-04-07,British Pound,33761,25145,-8918,-4294,22.5,16.7
2020-04-14,British Pound,33596,26037,-165,892,21.9,17
2020-04-21,British Pound,30806,29627,-2790,3590,19.4,18.7
2020-04-28,British Pound,35302,36339,4496,6712,21.7,22.3
2020-05-05,British Pound,31626,37810,-3676,1471,19.6,23.5
2020-05-12,British Pound,34859,40799,3233,2989,20.9,24.5
2020-05-19,British Pound,38837,45664,3978,4865,21.6,25.4
2020-05-26,British Pound,41783,50775,2946,5111,22.1,26.9
2020-06-02,British Pound,32685,53148,-9098,2373,17.2,28
2020-06-09,British Pound,29691,46678,-2994,-6470,16,25.1
2020-06-16,British Pound,29277,39660,-414,-7018,17.6,23.8
2020-06-23,British Pound,29090,42699,-187,3039,17.1,25.1
2020-06-30,British Pound,35146,49401,6056,6702,18.9,26.5
2020-07-07,British Pound,38060,49395,2914,-6,21.1,27.3
2020-07-14,British Pound,43662,51879,5602,2484,24.3,28.9
2020-07-21,British Pound,42293,55921,-1369,4042,23.5,31
2020-07-28,British Pound,32615,59637,-9678,3716,18.2,33.3
2020-08-04,British Pound,35038,53904,2423,-5733,19.8,30.5
2020-08-11,British Pound,39067,42408,4029,-11496,21.8,23.7
2020-08-18,British Pound,44096,40548,5029,-1860,23.6,21.7
2020-08-25,British Pound,38327,32539,-5769,-8009,21.9,18.6
2020-09-01,British Pound,40281,35674,1954,3135,21.6,19.1
2020-09-08,British Pound,37242,24711,-3039,-10963,18.9,12.5
2020-09-15,British Pound,40859,28052,3617,3341,27.2,18.7
2020-09-22,British Pound,41137,25110,278,-2942,27,16.5
2020-09-29,British Pound,37936,30618,-3201,5508,23.9,19.3
2020-10-06,British Pound,40530,31490,2594,872,25.9,20.1
2020-10-13,British Pound,37686,28781,-2844,-2709,25.4,19.4
2020-10-20,British Pound,40082,23650,2396,-5131,27.4,16.2
2020-10-27,British Pound,32381,27888,-7701,4238,23.1,19.9
2020-11-03,British Pound,31120,26652,-1261,-1236,22.2,19
2020-11-10,British Pound,31009,35828,-111,9176,21.9,25.3
2020-11-17,British Pound,29424,39361,-1585,3533,21.2,28.3
2020-11-24,British Pound,28774,40266,-650,905,20.1,28.2
2020-12-01,British Pound,30859,38517,2085,-1749,21,26.2
2020-12-08,British Pound,27354,28520,-3505,-9997,16.7,17.4
2020-12-15,British Pound,26836,27093,-518,-1427,18.9,19
2020-12-21,British Pound,28446,27132,1610,39,19.7,18.8
2020-12-29,British Pound,28594,25292,148,-1840,20.4,18.1
2021-01-05,British Pound,27946,26937,-648,1645,19.5,18.8
2021-01-12,British Pound,35963,28109,8017,1172,23.5,18.4
2021-01-19,British Pound,31050,25242,-4913,-2867,21.1,17.2
2021-01-26,British Pound,33797,31563,2747,6321,21.9,20.4
2021-02-02,British Pound,39479,37839,5682,6276,24.5,23.5
2021-02-09,British Pound,47393,33385,7914,-4454,27.9,19.6
2021-02-16,British Pound,46204,31744,-1189,-1641,27,18.5
2021-02-23,British Pound,50662,34912,4458,3168,28.7,19.8
2021-03-02,British Pound,52516,25879,1854,-9033,31,15.3
2021-03-09,British Pound,47340,23890,-5176,-1989,26.1,13.2
2021-03-16,British Pound,40822,24110,-6518,220,27.6,16.3
2021-03-23,British Pound,40724,27597,-98,3487,27.9,18.9
2021-03-30,British Pound,41021,19298,297,-8299,29.3,13.8
2021-04-06,British Pound,40482,21823,-539,2525,28.8,15.5
2021-04-13,British Pound,46871,23079,6389,1256,31.5,15.5
2021-04-20,British Pound,55380,31119,8509,8040,33.7,18.9
2021-04-27,British Pound,51675,27143,-3705,-3976,32,16.8
2021-05-04,British Pound,46251,28725,-5424,1582,30.3,18.8
2021-05-11,British Pound,52151,32235,5900,3510,30,18.5
2021-05-18,British Pound,49591,34113,-2560,1878,28.6,19.7
2021-05-25,British Pound,48903,29876,-688,-4237,28.9,17.6
2021-06-01,British Pound,45973,35668,-2930,5792,26.3,20.4
2021-06-08,British Pound,43079,28024,-2894,-7644,25.1,16.3
2021-06-15,British Pound,44132,19069,1053,-8955,28.3,12.2
2021-06-22,British Pound,48628,24161,4496,5092,28.4,14.1
2021-06-29,British Pound,48548,26797,-80,2636,28.7,15.8
2021-07-06,British Pound,55336,25501,6788,-1296,31,14.3
2021-07-13,British Pound,44513,25567,-10823,66,25.8,14.8
2021-07-20,British Pound,43207,30515,-1306,4948,22.9,16.2
2021-07-27,British Pound,41636,31899,-1571,1384,22.5,17.2
2021-08-03,British Pound,42949,31674,1313,-225,23.7,17.5
2021-08-10,British Pound,42683,25128,-266,-6546,23.9,14
2021-08-17,British Pound,40837,22658,-1846,-2470,22.9,12.7
2021-08-24,British Pound,40108,33102,-729,10444,20.4,16.9
2021-08-31,British Pound,36864,26987,-3244,-6115,19,13.9
2021-09-07,British Pound,29549,31768,-7315,4781,14.7,15.8
2021-09-14,British Pound,36127,21349,6578,-10419,25.3,15
2021-09-21,British Pound,45460,23967,9333,2618,28.4,15
2021-09-28,British Pound,51399,29618,5939,5651,29.9,17.2
2021-10-05,British Pound,45195,30675,-6204,1057,24.8,16.8
2021-10-12,British Pound,42275,30139,-2920,-536,24.5,17.4
2021-10-19,British Pound,41964,35782,-311,5643,26.4,22.5
2021-10-26,British Pound,43047,35660,1083,-122,27.5,22.8
2021-11-02,British Pound,49567,33952,6520,-1708,29.7,20.4
2021-11-09,British Pound,46819,40372,-2748,6420,25.1,21.6
2021-11-16,British Pound,43760,45717,-3059,5345,21.1,22.1
2021-11-23,British Pound,45082,46712,1322,995,21.1,21.9
2021-11-30,British Pound,47223,50978,2141,4266,20.5,22.1
2021-12-07,British Pound,42212,46994,-5011,-3984,17.7,19.7
2021-12-14,British Pound,30781,31726,-11431,-15268,14.4,14.9
2021-12-21,British Pound,22969,33801,-7812,2075,11.1,16.3
2021-12-28,British Pound,25821,39881,2852,6080,12.6,19.4
2022-02-08,British Pound,35402,33498,3069,5497,17.9,16.9
2022-02-15,British Pound,38309,28936,2907,-4562,19.6,14.8
2022-02-22,British Pound,32818,29511,-5491,575,17.4,15.7
2022-03-01,British Pound,49643,30314,16825,803,23.4,14.3
2022-03-08,British Pound,52074,33812,2431,3498,21.1,13.7
2022-03-15,British Pound,31843,28629,-20231,-5183,16.9,15.2
2022-03-22,British Pound,40366,34503,8523,5874,20.6,17.6
2022-03-29,British Pound,60877,34125,20511,-378,27.1,15.2
2022-04-05,British Pound,64401,33667,3524,-458,27,14.1
2022-04-12,British Pound,61921,33379,-2480,-288,25.2,13.6
2022-04-19,British Pound,62372,39240,451,5861,25,15.7
2022-04-26,British Pound,68538,53115,6166,13875,25.1,19.5
2022-05-03,British Pound,64400,50903,-4138,-2212,24,19
2022-05-10,British Pound,57370,48177,-7030,-2726,21.7,18.2
2022-05-17,British Pound,48435,42711,-8935,-5466,19.1,16.8
2022-05-24,British Pound,48901,43751,466,1040,19.3,17.2
2022-05-31,British Pound,56237,44647,7336,896,22.2,17.7
2022-06-07,British Pound,59013,47500,2776,2853,22.8,18.4
2022-06-14,British Pound,53674,41970,-5339,-5530,22.5,17.6
2022-06-21,British Pound,54632,40097,958,-1873,23.9,17.6
2022-06-28,British Pound,59266,35300,4634,-4797,25.9,15.4
2022-07-05,British Pound,62120,40833,2854,5533,25.8,16.9
2022-07-12,British Pound,56072,38924,-6048,-1909,24.2,16.8
2022-07-19,British Pound,55659,34245,-413,-4679,24.4,15
2022-07-26,British Pound,56892,35035,1233,790,25.2,15.5
2022-08-02,British Pound,54856,36026,-2036,991,24.2,15.9
2022-08-09,British Pound,62952,30444,8096,-5582,28,13.6
2022-08-16,British Pound,68302,30233,5350,-211,30,13.3
2022-08-23,British Pound,79104,34908,10802,4675,31.9,14.1
2022-08-30,British Pound,78967,33482,-137,-1426,30.1,12.8
2022-09-06,British Pound,72659,43824,-6308,10342,25.9,15.6
2022-09-13,British Pound,58401,52123,-14258,8299,19.2,17.1
2022-09-20,British Pound,63810,44053,5409,-8070,24,16.5
2022-09-27,British Pound,82200,70569,18390,26516,29.2,25
2022-10-04,British Pound,68994,49615,-13206,-20954,26.9,19.3
2022-10-11,British Pound,74168,56394,5174,6779,29,22.1
2022-10-18,British Pound,71520,60352,-2648,3958,27.6,23.3
2022-10-25,British Pound,73010,65358,1490,5006,28.2,25.2
2022-11-01,British Pound,64702,61888,-8308,-3470,26.6,25.4
2022-11-08,British Pound,65610,58267,908,-3621,27.6,24.6
2022-11-15,British Pound,64269,51857,-1341,-6410,27.9,22.5
2022-11-22,British Pound,59202,52331,-5067,474,26.6,23.5
2022-11-29,British Pound,54861,50822,-4341,-1509,24.3,22.5
2022-12-06,British Pound,55649,52473,788,1651,24.2,22.8
2022-12-13,British Pound,55236,57169,-413,4696,23,23.8
2022-12-20,British Pound,51110,41252,-4126,-15917,27.2,22
2022-12-27,British Pound,57734,50503,6624,9251,29.5,25.8
2023-01-03,British Pound,66614,60209,8880,9706,32.4,29.3
2023-01-10,British Pound,57690,53851,-8924,-6358,28.5,26.6
2023-01-17,British Pound,61449,50950,3759,-2901,30.4,25.2
2023-01-24,British Pound,53299,48116,-8150,-2834,27.5,24.8
2023-01-31,British Pound,55827,43861,2528,-4255,28.5,22.4
2023-02-07,British Pound,74244,45540,18417,1679,36.4,22.4
2023-02-14,British Pound,71042,42087,-3202,-3453,34.6,20.5
2023-02-21,British Pound,72880,44655,1838,2568,34.1,20.9
2023-02-28,British Pound,70536,46714,-2344,2059,33.3,22
2023-03-07,British Pound,77238,50659,6702,3945,34.7,22.8
2023-03-14,British Pound,48727,34931,-28511,-15728,25.2,18.1
2023-03-21,British Pound,44689,35921,-4038,990,23.4,18.8
2023-03-28,British Pound,44539,38219,-150,2298,22.3,19.1
2023-04-04,British Pound,54677,53028,10138,14809,24.3,23.6
2023-04-11,British Pound,54061,53517,-616,489,24,23.8
2023-04-18,British Pound,52218,47665,-1843,-5852,23.3,21.2
2023-04-25,British Pound,57163,47200,4945,-465,24.7,20.4
2023-05-02,British Pound,53504,48832,-3659,1632,23.1,21.1
2023-05-09,British Pound,52697,61136,-807,12304,21.7,25.2
2023-05-16,British Pound,56611,58929,3914,-2207,22.9,23.8
2023-05-23,British Pound,53878,53052,-2733,-5877,22.7,22.3
2023-05-30,British Pound,62504,51466,8626,-1586,26,21.4
2023-06-06,British Pound,58577,41788,-3927,-9678,24.2,17.3
2023-06-13,British Pound,61463,61295,2886,19507,21.2,21.1
2023-06-20,British Pound,77032,39918,15569,-21377,34,17.6
2023-06-27,British Pound,76413,43612,-619,3694,33.2,19
2023-07-03,British Pound,68992,37432,-7421,-6180,31.2,16.9
2023-07-11,British Pound,70931,45841,1939,8409,29.7,19.2
2023-07-18,British Pound,87837,61746,16906,15905,33.1,23.2
2023-07-25,British Pound,75093,41917,-12744,-19829,31.6,17.7
2023-08-01,British Pound,69165,35566,-5928,-6351,31.3,16.1
2023-08-08,British Pound,66207,30035,-2958,-5531,32,14.5
2023-08-15,British Pound,75113,32996,8906,2961,34.9,15.3
2023-08-22,British Pound,75594,33336,481,340,33.1,14.6
2023-08-29,British Pound,79582,39052,3988,5716,34.8,17.1
2023-09-05,British Pound,75835,33187,-3747,-5865,33.6,14.7
2023-09-12,British Pound,78429,37539,2594,4352,34.5,16.5
2023-09-19,British Pound,84793,35063,6364,-2476,44.4,18.3
2023-09-26,British Pound,95373,41292,10580,6229,41.9,18.1
2023-10-03,British Pound,90486,40916,-4887,-376,37.5,17
2023-10-10,British Pound,80387,43834,-10099,2918,34.7,18.9
2023-10-17,British Pound,75265,40841,-5122,-2993,33.8,18.3
2023-10-24,British Pound,72274,45518,-2991,4677,31,19.5
2023-10-31,British Pound,71263,45030,-1011,-488,31,19.6
2023-11-07,British Pound,65345,43084,-5918,-1946,30.7,20.3
2023-11-14,British Pound,60379,46640,-4966,3556,27.9,21.6
2023-11-21,British Pound,46570,40235,-13809,-6405,22.3,19.3
2023-11-28,British Pound,53346,50194,6776,9959,24.5,23.1
2023-12-05,British Pound,51948,37143,-1398,-13051,23.7,17
2023-12-12,British Pound,53463,33414,1515,-3729,21.9,13.7
2023-12-19,British Pound,58262,25020,4799,-8394,32.7,14.1
2023-12-26,British Pound,53880,25137,-4382,117,30.8,14.4
2024-01-02,British Pound,57837,26583,3957,1446,32.5,15
2024-01-09,British Pound,53828,25180,-4009,-1403,31.2,14.6
2024-01-16,British Pound,56280,28398,2452,3218,31.3,15.8
2024-01-23,British Pound,55160,26296,-1120,-2102,29.7,14.2
2024-01-30,British Pound,57108,29603,1948,3307,29.7,15.4
2024-02-06,British Pound,70327,38615,13219,9012,35.3,19.4
2024-02-13,British Pound,65293,29875,-5034,-8740,32.8,15
2024-02-20,British Pound,61267,31441,-4026,1566,30.7,15.8
2024-02-27,British Pound,60272,33697,-995,2256,28.6,16
2024-03-05,British Pound,60276,28889,4,-4808,27.2,13
2024-03-12,British Pound,68943,46175,8667,17286,24.8,16.6
2024-03-19,British Pound,68305,36291,-638,-9884,34.6,18.4
2024-03-26,British Pound,76518,44242,8213,7951,37.7,21.8
2024-04-02,British Pound,94085,46598,17567,2356,42.9,21.3
2024-04-09,British Pound,69493,42822,-24592,-3776,32.9,20.3
2024-04-16,British Pound,75606,56629,6113,13807,33,24.7
2024-04-23,British Pound,66355,59453,-9251,2824,27.3,24.5
2024-04-30,British Pound,52548,55392,-13807,-4061,22.3,23.5
2024-05-07,British Pound,51484,63547,-1064,8155,23,28.4
2024-05-14,British Pound,46261,56755,-5223,-6792,20.7,25.4
2024-05-21,British Pound,49955,52535,3694,-4220,22.3,23.5
2024-05-28,British Pound,57756,54530,7801,1995,21.5,20.3
2024-06-04,British Pound,57082,44132,-674,-10398,21.3,16.5
2024-06-11,British Pound,62078,43804,4996,-328,22.5,15.9
2024-06-18,British Pound,69585,30619,7507,-13185,33.6,14.8
2024-06-25,British Pound,71065,32385,1480,1766,34.2,15.6
2024-07-02,British Pound,79931,29649,8866,-2736,40.3,15
2024-07-09,British Pound,88548,34320,8617,4671,39.5,15.3
2024-07-16,British Pound,108801,39140,20253,4820,38.8,13.9
2024-07-23,British Pound,118233,35065,9432,-4075,40.9,12.1
2024-07-30,British Pound,108579,36908,-9654,1843,40.4,13.7
2024-08-06,British Pound,90924,33436,-17655,-3472,40.6,14.9
2024-08-13,British Pound,77421,31908,-13503,-1528,37.7,15.5
2024-08-20,British Pound,83572,39807,6151,7899,36.1,17.2
2024-08-27,British Pound,96550,41947,12978,2140,35.2,15.3
2024-09-03,British Pound,101930,36587,5380,-5360,35.7,12.8
2024-09-10,British Pound,91103,34479,-10827,-2108,33.5,12.7
2024-09-17,British Pound,82612,36953,-8491,2474,38.9,17.4
2024-09-24,British Pound,100193,38500,17581,1547,39.8,15.3
2024-10-01,British Pound,98373,35033,-1820,-3467,38.2,13.6
2024-10-08,British Pound,96094,30234,-2279,-4799,37.6,11.8
2024-10-15,British Pound,86670,27892,-9424,-2342,34.6,11.2
2024-10-22,British Pound,81133,25283,-5537,-2609,35.3,11
2024-10-29,British Pound,82549,25828,1416,545,37.3,11.7
2024-11-05,British Pound,77495,35216,-5054,9388,35.2,16
2024-11-12,British Pound,79544,31007,2049,-4209,37.5,14.6
2024-11-19,British Pound,75875,25164,-3669,-5843,34.3,11.4
2024-11-26,British Pound,77371,21429,1496,-3735,32.4,9
2024-12-03,British Pound,73882,21642,-3489,213,30.3,8.9
2024-12-10,British Pound,73060,31598,-822,9956,23.4,10.1
2024-12-17,British Pound,80780,26239,7720,-5359,43.2,14
2024-12-24,British Pound,79351,26677,-1429,438,42,14.1
2024-12-31,British Pound,78757,29649,-594,2972,41.7,15.7
2025-01-07,British Pound,72934,25621,-5823,-4028,38.6,13.6
2025-01-14,British Pound,67791,32917,-5143,7296,33.8,16.4
2025-01-21,British Pound,63658,30610,-4133,-2307,29.9,14.4
2025-01-28,British Pound,52427,32499,-11231,1889,25.3,15.7
2025-02-04,British Pound,56170,33271,3743,772,27.4,16.3
2025-02-11,British Pound,58540,26918,2370,-6353,28.1,12.9
2025-02-18,British Pound,63543,28739,5003,1821,31.2,14.1
2025-02-25,British Pound,60643,28575,-2900,-164,30.3,14.3
2025-03-04,British Pound,62241,28491,1598,-84,31,14.2
2025-03-11,British Pound,61074,33141,-1167,4650,24.6,13.3
2025-03-18,British Pound,67268,35312,6194,2171,37.2,19.5
2025-03-25,British Pound,71377,30671,4109,-4641,37.3,16
2025-04-01,British Pound,76484,28234,5107,-2437,40.9,15.1
2025-04-08,British Pound,72555,28147,-3929,-87,41,15.9
2025-04-15,British Pound,70443,36385,-2112,8238,39.8,20.6
2025-04-22,British Pound,67488,37721,-2955,1336,37.6,21
2025-04-29,British Pound,62771,35223,-4717,-2498,32.6,18.3
2025-05-06,British Pound,66229,35698,3458,475,33.1,17.8
2025-05-13,British Pound,65307,32921,-922,-2777,33.5,16.9
2025-05-20,British Pound,64799,32603,-508,-318,33.2,16.7
2025-05-27,British Pound,71735,33001,6936,398,35.3,16.3
2025-06-03,British Pound,73098,33699,1363,698,31.3,14.4
2025-06-10,British Pound,65686,24156,-7412,-9543,30.7,11.3
2025-06-17,British Pound,64649,28801,-1037,4645,36.5,16.3
2025-06-24,British Pound,63501,21817,-1148,-6984,35.3,12.1
2025-07-01,British Pound,64702,34596,1201,12779,34.3,18.3
2025-07-08,British Pound,69294,32645,4592,-1951,36.2,17
2025-07-15,British Pound,72514,24991,3220,-7654,38.7,13.3
2025-07-22,British Pound,72364,20847,-150,-4144,37,10.7
2025-07-29,British Pound,73071,25370,707,4523,35.2,12.2
2025-08-05,British Pound,64904,24932,-8167,-438,31.5,12.1
2025-08-12,British Pound,63204,35835,-1700,10903,29.3,16.6
2025-08-19,British Pound,64243,41789,1039,5954,29.2,19
2025-08-26,British Pound,64127,40473,-116,-1316,29.2,18.4
2025-09-02,British Pound,65228,43549,1101,3076,28.8,19.2
2025-09-09,British Pound,57669,40714,-7559,-2835,17.9,12.6
2025-09-16,British Pound,60280,38667,2611,-2047,25.7,16.5
2025-09-23,British Pound,61382,33720,1102,-4947,26.3,14.5
2025-09-30,British Pound,61279,29168,-103,-4552,27.1,12.9
2025-10-07,British Pound,73987,39125,12708,9957,29.9,15.8
2025-10-14,British Pound,72347,33253,-1640,-5872,30.5,14
2025-10-21,British Pound,69452,29795,-2895,-3458,29.7,12.8
2025-10-28,British Pound,80902,40509,11450,10714,32.6,16.3
2025-11-04,British Pound,67560,41637,-13342,1128,24.9,15.4
2025-11-10,British Pound,55627,43073,-11933,1436,20.4,15.8
2025-11-18,British Pound,57629,48904,2002,5831,20.6,17.5
2025-11-25,British Pound,51338,52667,-6291,3763,16.3,16.7
2025-12-02,British Pound,52318,47453,980,-5214,17.5,15.8
2025-12-09,British Pound,54229,47761,1911,308,16.3,14.4
2025-12-16,British Pound,51009,36461,-3220,-11300,18.1,12.9
2025-12-23,British Pound,52895,34060,1886,-2401,26.7,17.2
2025-12-30,British Pound,56342,30651,3447,-3409,28.7,15.6
2026-01-06,British Pound,60134,31187,3792,536,29.1,15.1
2026-01-13,British Pound,66540,28450,6406,-2737,32,13.7
2026-01-20,British Pound,66435,25657,-105,-2793,32,12.4
2026-01-27,British Pound,72408,35265,5973,9608,32.3,15.7
2026-02-03,British Pound,73446,38035,1038,2770,32.2,16.7
2026-02-10,British Pound,73525,30046,79,-7989,32.3,13.2
2026-02-17,British Pound,74888,32522,1363,2476,31.4,13.6
2026-02-24,British Pound,69164,29013,-5724,-3509,28.1,11.8
2026-03-03,British Pound,68080,33574,-1084,4561,25.2,12.4
2026-03-10,British Pound,48818,28716,-19262,-4858,12.4,7.3
2026-03-17,British Pound,46706,34938,-2112,6222,19.2,14.4
2026-03-24,British Pound,47450,31734,744,-3204,19.9,13.3
2026-03-31,British Pound,58402,28470,10952,-3264,24,11.7
2026-04-07,British Pound,55779,29246,-2623,776,22.8,12
2026-04-14,British Pound,54047,31716,-1732,2470,21.6,12.7
2026-04-21,British Pound,60536,31399,6489,-317,23,11.9
