date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,Gold,261083,31326,2726,5701,33.2,4
2020-01-14,Gold,262402,31943,1319,617,32.9,4
2020-01-21,Gold,258269,34437,-4133,2494,32.5,4.3
2020-01-28,Gold,254259,34321,-4010,-116,35.5,4.8
2020-02-04,Gold,223762,42152,-30497,7831,34.2,6.4
2020-02-11,Gold,231499,35828,7737,-6324,35.2,5.4
2020-02-18,Gold,278286,39740,46787,3912,38.9,5.6
2020-02-25,Gold,263218,32372,-15068,-7368,35.9,4.4
2020-03-03,Gold,242921,27560,-20297,-4812,35.1,4
2020-03-10,Gold,220642,10457,-22279,-17103,34.8,1.7
2020-03-17,Gold,164979,10900,-55663,443,28.7,1.9
2020-03-24,Gold,158965,1556,-6014,-9344,29,0.3
2020-03-31,Gold,156820,4222,-2145,2666,31.6,0.9
2020-04-07,Gold,157005,4523,185,301,32.7,0.9
2020-04-14,Gold,162412,7168,5407,2645,33.1,1.5
2020-04-21,Gold,155492,9221,-6920,2053,31.5,1.9
2020-04-28,Gold,154025,7619,-1467,-1602,30.8,1.5
2020-05-05,Gold,142326,9085,-11699,1466,29,1.9
2020-05-12,Gold,144015,21798,1689,12713,29,4.4
2020-05-19,Gold,153961,26897,9946,5099,29.1,5.1
2020-05-26,Gold,145566,32485,-8395,5588,28,6.3
2020-06-02,Gold,133655,33300,-11911,815,28.1,7
2020-06-09,Gold,126407,35230,-7248,1930,26.6,7.4
2020-06-16,Gold,135945,31257,9538,-3973,27.8,6.4
2020-06-23,Gold,161593,32078,25648,821,30.4,6
2020-06-30,Gold,173526,34971,11933,2893,30.9,6.2
2020-07-07,Gold,179810,40467,6284,5496,31.4,7.1
2020-07-14,Gold,177400,42427,-2410,1960,30.6,7.3
2020-07-21,Gold,181256,40987,3856,-1440,30.1,6.8
2020-07-28,Gold,159894,42758,-21362,1771,26.7,7.1
2020-08-04,Gold,165357,51885,5463,9127,29.4,9.2
2020-08-11,Gold,155418,57726,-9939,5841,28.1,10.4
2020-08-18,Gold,151016,55578,-4402,-2148,27.8,10.2
2020-08-25,Gold,145055,58206,-5961,2628,26.4,10.6
2020-09-01,Gold,147175,49433,2120,-8773,26.9,9
