date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,Japanese Yen,35369,43313,2682,-375,21.8,26.7
2020-01-14,Japanese Yen,37940,53619,2571,10306,20.6,29.2
2020-01-21,Japanese Yen,37383,61592,-557,7973,18.4,30.3
2020-01-28,Japanese Yen,32378,47689,-5005,-13903,17.5,25.8
2020-02-04,Japanese Yen,42149,44275,9771,-3414,22.2,23.3
2020-02-11,Japanese Yen,36627,40000,-5522,-4275,18.9,20.6
2020-02-18,Japanese Yen,41471,45153,4844,5153,20.4,22.2
2020-02-25,Japanese Yen,38795,68379,-2676,23226,17.3,30.5
2020-03-03,Japanese Yen,35012,76283,-3783,7904,17.6,38.4
2020-03-10,Japanese Yen,42591,48693,7579,-27590,26.8,30.6
2020-03-17,Japanese Yen,36209,31286,-6382,-17407,28.8,24.9
2020-03-24,Japanese Yen,39271,32971,3062,1685,31.3,26.3
2020-03-31,Japanese Yen,22311,33230,-16960,259,18.6,27.6
2020-04-07,Japanese Yen,22961,28679,650,-4551,19.4,24.2
2020-04-14,Japanese Yen,21367,30209,-1594,1530,17.4,24.6
2020-04-21,Japanese Yen,25617,32530,4250,2321,20,25.4
2020-04-28,Japanese Yen,30480,32368,4863,-162,21.2,22.5
2020-05-05,Japanese Yen,33055,31856,2575,-512,21.7,21
2020-05-12,Japanese Yen,31770,31054,-1285,-802,20.7,20.2
2020-05-19,Japanese Yen,32609,25502,839,-5552,22,17.2
2020-05-26,Japanese Yen,38968,25605,6359,103,24.8,16.3
2020-06-02,Japanese Yen,41929,31779,2961,6174,26.4,20
2020-06-09,Japanese Yen,28049,30670,-13880,-1109,18.1,19.8
2020-06-16,Japanese Yen,20213,21112,-7836,-9558,15.9,16.6
2020-06-23,Japanese Yen,25682,23972,5469,2860,17.8,16.6
2020-06-30,Japanese Yen,19963,19211,-5719,-4761,14.5,14
2020-07-07,Japanese Yen,17899,26095,-2064,6884,12.9,18.9
2020-07-14,Japanese Yen,18119,26274,220,179,13.4,19.4
2020-07-21,Japanese Yen,22763,32414,4644,6140,16,22.7
2020-07-28,Japanese Yen,35723,36795,12960,4381,21,21.6
2020-08-04,Japanese Yen,31502,23149,-4221,-13646,19.9,14.7
2020-08-11,Japanese Yen,29027,23982,-2475,833,19.3,16
2020-08-18,Japanese Yen,23500,23674,-5527,-308,16,16.1
2020-08-25,Japanese Yen,23483,24678,-17,1004,15.9,16.7
2020-09-01,Japanese Yen,21823,21154,-1660,-3524,15,14.5
2020-09-08,Japanese Yen,22918,27401,1095,6247,15.1,18.1
2020-09-15,Japanese Yen,25525,34056,2607,6655,17.1,22.9
2020-09-22,Japanese Yen,31667,34141,6142,85,18.7,20.2
2020-09-29,Japanese Yen,26702,27971,-4965,-6170,16.9,17.7
2020-10-06,Japanese Yen,25909,30013,-793,2042,15.9,18.4
2020-10-13,Japanese Yen,27822,32390,1913,2377,16.8,19.6
2020-10-20,Japanese Yen,28306,36443,484,4053,17,21.9
2020-10-27,Japanese Yen,30008,32513,1702,-3930,16.9,18.3
2020-11-03,Japanese Yen,35077,26321,5069,-6192,19,14.2
2020-11-10,Japanese Yen,38172,18762,3095,-7559,20.8,10.2
2020-11-17,Japanese Yen,24391,14892,-13781,-3870,14.8,9
2020-11-24,Japanese Yen,27685,18739,3294,3847,15.4,10.4
2020-12-01,Japanese Yen,28197,19310,512,571,15.2,10.4
2020-12-08,Japanese Yen,31321,18203,3124,-1107,16.2,9.4
2020-12-15,Japanese Yen,33998,23561,2677,5358,17.6,12.2
2020-12-21,Japanese Yen,31937,23404,-2061,-157,16.2,11.9
2020-12-29,Japanese Yen,27662,19082,-4275,-4322,14.2,9.8
2021-01-05,Japanese Yen,35351,21955,7689,2873,17.1,10.6
2021-01-12,Japanese Yen,27744,15493,-7607,-6462,14.5,8.1
2021-01-19,Japanese Yen,28011,16899,267,1406,14.6,8.8
2021-01-26,Japanese Yen,28334,20911,323,4012,14.6,10.8
2021-02-02,Japanese Yen,38181,27924,9847,7013,20,14.6
2021-02-09,Japanese Yen,34758,28508,-3423,584,18.9,15.5
2021-02-16,Japanese Yen,39232,30856,4474,2348,20.9,16.4
2021-02-23,Japanese Yen,39084,38915,-148,8059,21.3,21.2
2021-03-02,Japanese Yen,35924,42452,-3160,3537,19,22.4
2021-03-09,Japanese Yen,43612,50648,7688,8196,20.6,24
2021-03-16,Japanese Yen,21051,54898,-22561,4250,14.4,37.6
2021-03-23,Japanese Yen,23035,66682,1984,11784,14.3,41.5
2021-03-30,Japanese Yen,22715,65897,-320,-785,13.7,39.7
2021-04-06,Japanese Yen,26100,62386,3385,-3511,15.9,38
2021-04-13,Japanese Yen,28458,63748,2358,1362,17.2,38.5
2021-04-20,Japanese Yen,27869,72414,-589,8666,17.1,44.5
2021-04-27,Japanese Yen,28779,71140,910,-1274,18.6,45.9
2021-05-04,Japanese Yen,27394,65632,-1385,-5508,17.9,43
2021-05-11,Japanese Yen,25983,66036,-1411,404,17,43.3
2021-05-18,Japanese Yen,21343,69183,-4640,3147,13.8,44.7
2021-05-25,Japanese Yen,20897,68564,-446,-619,13.6,44.8
2021-06-01,Japanese Yen,25947,70002,5050,1438,16,43.2
2021-06-08,Japanese Yen,24831,57822,-1116,-12180,15.4,35.8
2021-06-15,Japanese Yen,20987,64417,-3844,6595,13.5,41.5
2021-06-22,Japanese Yen,32954,75791,11967,11374,17.3,39.8
2021-06-29,Japanese Yen,26020,76282,-6934,491,13.3,39
