date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-02-11,Russell 2000,78724,82144,2706,11696,16.2,16.9
2020-02-18,Russell 2000,81433,90930,2709,8786,16.4,18.4
2020-02-25,Russell 2000,88115,93604,6682,2674,17.4,18.5
2020-03-03,Russell 2000,81936,84830,-6179,-8774,16.3,16.9
2020-03-10,Russell 2000,68541,83008,-13395,-1822,13.8,16.7
2020-03-17,Russell 2000,68673,82654,132,-354,14.1,17
2020-03-24,Russell 2000,72156,81926,3483,-728,14.8,16.8
2020-03-31,Russell 2000,79647,73106,7491,-8820,16.6,15.2
2020-04-07,Russell 2000,87815,73944,8168,838,18.8,15.8
2020-04-14,Russell 2000,112176,79475,24361,5531,22.3,15.8
2020-04-21,Russell 2000,122638,97746,10462,18271,19.8,15.8
2020-04-28,Russell 2000,111447,89091,-11191,-8655,20.7,16.6
2020-05-05,Russell 2000,89688,93630,-21759,4539,16.7,17.4
2020-05-12,Russell 2000,89288,89611,-400,-4019,15.9,16
2020-05-19,Russell 2000,62618,84782,-26670,-4829,11.8,15.9
2020-05-26,Russell 2000,72745,104404,10127,19622,13.1,18.8
2020-06-02,Russell 2000,61639,105700,-11106,1296,11.5,19.8
2020-06-09,Russell 2000,66780,92002,5141,-13698,12.8,17.7
2020-06-16,Russell 2000,67558,106679,778,14677,12.8,20.2
2020-06-23,Russell 2000,83254,122387,15696,15708,15.1,22.1
2020-06-30,Russell 2000,96813,134932,13559,12545,17.2,23.9
2020-07-07,Russell 2000,86838,145129,-9975,10197,15.2,25.4
2020-07-14,Russell 2000,87842,157772,1004,12643,15.2,27.3
2020-07-21,Russell 2000,83299,134141,-4543,-23631,13.5,21.8
2020-07-28,Russell 2000,98981,110247,15682,-23894,19,21.2
2020-08-04,Russell 2000,87775,113935,-11206,3688,16.4,21.2
2020-08-11,Russell 2000,79241,115809,-8534,1874,15,21.9
2020-08-18,Russell 2000,75093,99701,-4148,-16108,14.7,19.5
2020-08-25,Russell 2000,69959,87840,-5134,-11861,13.8,17.3
2020-09-01,Russell 2000,73991,80495,4032,-7345,14.9,16.2
2020-09-08,Russell 2000,76471,100322,2480,19827,15,19.7
2020-09-15,Russell 2000,73873,96454,-2598,-3868,14.7,19.2
2020-09-22,Russell 2000,73198,95878,-675,-576,14.6,19.1
2020-09-29,Russell 2000,78160,98933,4962,3055,15.4,19.5
2020-10-06,Russell 2000,80464,108712,2304,9779,16,21.7
2020-10-13,Russell 2000,79566,99125,-898,-9587,15.8,19.7
2020-10-20,Russell 2000,73660,87269,-5906,-11856,12.9,15.3
2020-10-27,Russell 2000,67842,79652,-5818,-7617,13.4,15.7
2020-11-03,Russell 2000,66401,84817,-1441,5165,13.3,17
2020-11-10,Russell 2000,64598,91597,-1803,6780,12.6,17.8
2020-11-17,Russell 2000,77105,105843,12507,14246,14.3,19.6
2020-11-24,Russell 2000,76252,106845,-853,1002,14,19.6
2020-12-01,Russell 2000,68532,108218,-7720,1373,12.7,20
2020-12-08,Russell 2000,77401,107010,8869,-1208,14.6,20.2
2020-12-15,Russell 2000,70793,95297,-6608,-11713,13.4,18
2020-12-22,Russell 2000,76513,123905,5720,28608,13.9,22.5
2020-12-29,Russell 2000,78368,135977,1855,12072,14,24.3
2021-01-05,Russell 2000,81540,126920,3172,-9057,14.7,22.9
2021-01-12,Russell 2000,73444,139670,-8096,12750,13.1,25
