date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,Silver,87915,30901,2099,3953,37.5,13.2
2020-01-14,Silver,90678,33499,2763,2598,38.6,14.3
2020-01-21,Silver,88457,31899,-2221,-1600,37.8,13.6
2020-01-28,Silver,82822,34855,-5635,2956,35.7,15
2020-02-04,Silver,78635,23417,-4187,-11438,35,10.4
2020-02-11,Silver,77942,23235,-693,-182,35.1,10.5
2020-02-18,Silver,89145,23193,11203,-42,37.4,9.7
2020-02-25,Silver,86886,25197,-2259,2004,36.4,10.5
2020-03-03,Silver,57906,28935,-28980,3738,29.4,14.7
2020-03-10,Silver,52958,26212,-4948,-2723,28.3,14
2020-03-17,Silver,37409,15471,-15549,-10741,22.4,9.3
2020-03-24,Silver,30238,16227,-7171,756,20.1,10.8
2020-03-31,Silver,30406,12432,168,-3795,21.8,8.9
2020-04-07,Silver,30348,13726,-58,1294,21.8,9.9
2020-04-14,Silver,29960,14512,-388,786,20.9,10.1
2020-04-21,Silver,29186,15395,-774,883,20.9,11
2020-04-28,Silver,30971,16482,1785,1087,22.4,11.9
2020-05-05,Silver,28398,17931,-2573,1449,21.4,13.5
2020-05-12,Silver,29123,15180,725,-2751,21.4,11.2
2020-05-19,Silver,37565,16099,8442,919,24.7,10.6
2020-05-26,Silver,40777,14670,3212,-1429,25.8,9.3
2020-06-02,Silver,43751,17033,2974,2363,25.8,10
2020-06-09,Silver,44266,21244,515,4211,25.3,12.1
2020-06-16,Silver,47457,20219,3191,-1025,27.2,11.6
2020-06-23,Silver,51295,22552,3838,2333,28,12.3
2020-06-30,Silver,59931,24781,8636,2229,35.4,14.6
2020-07-07,Silver,62211,26195,2280,1414,36.7,15.5
2020-07-14,Silver,65615,22988,3404,-3207,36.8,12.9
2020-07-21,Silver,71496,22840,5881,-148,38.5,12.3
2020-07-28,Silver,57957,25182,-13539,2342,31.5,13.7
2020-08-04,Silver,57977,25850,20,668,28.2,12.6
2020-08-11,Silver,51351,27373,-6626,1523,25.9,13.8
2020-08-18,Silver,58680,26423,7329,-950,30.1,13.6
2020-08-25,Silver,61800,23720,3120,-2703,32.9,12.6
2020-09-01,Silver,61853,24266,53,546,37.2,14.6
2020-09-08,Silver,59951,24127,-1902,-139,37.7,15.2
2020-09-15,Silver,63247,23982,3296,-145,38.9,14.8
2020-09-22,Silver,61547,25052,-1700,1070,39,15.9
2020-09-29,Silver,59160,23489,-2387,-1563,37.6,14.9
2020-10-06,Silver,59688,24420,528,931,38.4,15.7
2020-10-13,Silver,59942,25808,254,1388,37.9,16.3
2020-10-20,Silver,61839,21864,1897,-3944,39.2,13.9
2020-10-27,Silver,63091,21459,1252,-405,39.3,13.4
2020-11-03,Silver,59694,19011,-3397,-2448,38.9,12.4
2020-11-10,Silver,59526,18849,-168,-162,38.4,12.2
2020-11-17,Silver,63981,20772,4455,1923,39.7,12.9
2020-11-24,Silver,62795,21138,-1186,366,38.7,13
2020-12-01,Silver,64370,21664,1575,526,42.2,14.2
2020-12-08,Silver,66057,23275,1687,1611,42.7,15
2020-12-15,Silver,66679,23499,622,224,42.1,14.8
2020-12-21,Silver,71548,24304,4869,805,41.7,14.2
2020-12-29,Silver,72144,26138,596,1834,42.4,15.4
2021-01-05,Silver,73290,27400,1146,1262,41.6,15.6
2021-01-12,Silver,69805,27861,-3485,461,41.1,16.4
2021-01-19,Silver,65788,25626,-4017,-2235,39.4,15.4
2021-01-26,Silver,66111,23113,323,-2513,39.4,13.8
2021-02-02,Silver,61069,22431,-5042,-682,34,12.5
2021-02-09,Silver,61284,23839,215,1408,34.2,13.3
2021-02-16,Silver,63102,24338,1818,499,34.4,13.3
2021-02-23,Silver,62102,24600,-1000,262,36,14.3
2021-03-02,Silver,58364,28839,-3738,4239,36.9,18.2
2021-03-09,Silver,55268,28942,-3096,103,35.6,18.6
2021-03-16,Silver,55219,30625,-49,1683,34.7,19.2
2021-03-23,Silver,54438,32569,-781,1944,33.9,20.3
2021-03-30,Silver,51964,31128,-2474,-1441,33.5,20.1
2021-04-06,Silver,53877,29439,1913,-1689,34.9,19
2021-04-13,Silver,55910,27343,2033,-2096,34.1,16.7
2021-04-20,Silver,61979,27992,6069,649,36.6,16.5
2021-04-27,Silver,64769,28213,2790,221,37.6,16.4
2021-05-04,Silver,66702,24148,1933,-4065,39.9,14.5
2021-05-11,Silver,73342,26851,6640,2703,41.1,15.1
2021-05-18,Silver,73685,28674,343,1823,40.6,15.8
2021-05-25,Silver,72629,28963,-1056,289,40.2,16
2021-06-01,Silver,70120,29441,-2509,478,38.5,16.1
2021-06-08,Silver,68150,25766,-1970,-3675,36.9,13.9
2021-06-15,Silver,72624,28359,4474,2593,37.4,14.6
2021-06-22,Silver,56371,26839,-16253,-1520,32.1,15.3
2021-06-29,Silver,56930,24076,559,-2763,36.2,15.3
2021-07-06,Silver,60782,25783,3852,1707,38.7,16.4
2021-07-13,Silver,59448,25293,-1334,-490,38.4,16.3
2021-07-20,Silver,53215,27133,-6233,1840,35.1,17.9
2021-07-27,Silver,50846,29920,-2369,2787,33.7,19.8
2021-08-03,Silver,50878,25468,32,-4452,34.8,17.4
2021-08-10,Silver,46631,34891,-4247,9423,30.2,22.6
2021-08-17,Silver,48227,38472,1596,3581,31.4,25
2021-08-24,Silver,48094,37470,-133,-1002,32.1,25
2021-08-31,Silver,49008,36735,914,-735,34.8,26.1
2021-09-07,Silver,49406,31630,398,-5105,35.5,22.7
2021-09-14,Silver,48598,34512,-808,2882,34.6,24.6
2021-09-21,Silver,48233,46923,-365,12411,33.1,32.2
2021-09-28,Silver,47442,43918,-791,-3005,33.4,30.9
2021-10-05,Silver,47463,42819,21,-1099,34,30.6
2021-10-12,Silver,47447,42391,-16,-428,34,30.4
2021-10-19,Silver,50040,30603,2593,-11788,34.8,21.3
2021-10-26,Silver,52646,23514,2606,-7089,37.2,16.6
2021-11-02,Silver,50391,26422,-2255,2908,35.6,18.7
