date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,S&P 500,57404,98263,1922,2377,10.1,17.3
2020-01-14,S&P 500,51551,97232,-5853,-1031,9.1,17.1
2020-01-21,S&P 500,54282,102683,2731,5450,9.2,17.5
2020-01-28,S&P 500,54451,97347,169,-5335,9.3,16.7
2020-02-04,S&P 500,49548,92616,-4903,-4731,8.6,16.1
2020-02-11,S&P 500,50960,105232,1412,12616,8.5,17.6
2020-02-18,S&P 500,54175,97899,3215,-7333,8.9,16.1
2020-02-25,S&P 500,55864,75412,1689,-22488,9,12.2
2020-03-03,S&P 500,72181,82368,16317,6956,10.5,12
2020-03-10,S&P 500,67424,88067,-4757,5699,8.6,11.2
2020-03-17,S&P 500,88854,80491,21430,-7576,8.7,7.9
2020-03-24,S&P 500,70469,71229,-18385,-9262,10.1,10.2
2020-03-31,S&P 500,65520,89838,-4949,18609,8.7,11.9
2020-04-07,S&P 500,63826,90294,-1694,456,8.3,11.7
2020-04-14,S&P 500,58684,105318,-5142,15024,7.5,13.5
2020-04-21,S&P 500,57822,94421,-863,-10898,7.5,12.2
2020-04-28,S&P 500,50890,103132,-6932,8711,6.7,13.5
2020-05-05,S&P 500,50548,103256,-342,124,6.7,13.8
2020-05-12,S&P 500,49388,104721,-1160,1465,6.6,13.9
2020-05-19,S&P 500,45888,108373,-3500,3652,6.1,14.5
2020-05-26,S&P 500,44608,119725,-1280,11352,6,16
2020-06-02,S&P 500,51056,126505,6448,6780,6.8,16.8
2020-06-09,S&P 500,52545,129179,1489,2674,6.9,16.8
2020-06-16,S&P 500,49237,128691,-3309,-488,6.1,15.8
2020-06-23,S&P 500,32108,102448,-17129,-26243,6.2,19.7
2020-06-30,S&P 500,43770,100943,11663,-1505,8.1,18.7
2020-07-07,S&P 500,41251,99656,-2519,-1288,7.7,18.7
2020-07-14,S&P 500,41022,104395,-229,4739,7.6,19.4
2020-07-21,S&P 500,42500,104915,1478,520,7.8,19.4
2020-07-28,S&P 500,45328,94506,2828,-10409,8.2,17.1
2020-08-04,S&P 500,40527,107626,-4801,13120,7.2,19.2
2020-08-11,S&P 500,41183,108063,656,436,7.3,19.1
2020-08-18,S&P 500,42721,105636,1538,-2427,7.4,18.4
2020-08-25,S&P 500,43407,109481,686,3845,7.5,18.9
2020-09-01,S&P 500,49210,109687,5804,206,8.3,18.6
2020-09-08,S&P 500,50542,91183,1332,-18503,8.7,15.8
2020-09-15,S&P 500,43571,87713,-6971,-3470,7,14.1
2020-09-22,S&P 500,32640,68828,-10931,-18885,6.5,13.7
2020-09-29,S&P 500,35931,71744,3291,2917,7.2,14.3
2020-10-06,S&P 500,39917,73153,3987,1408,7.9,14.4
2020-10-13,S&P 500,36754,82869,-3163,9717,7.2,16.3
2020-10-20,S&P 500,38790,76558,2036,-6312,7.7,15.2
2020-10-27,S&P 500,42273,75535,3483,-1023,8.5,15.1
2020-11-03,S&P 500,39401,73837,-2872,-1699,7.9,14.9
2020-11-10,S&P 500,41048,72080,1647,-1757,7.9,13.9
2020-11-17,S&P 500,46973,78661,5926,6581,8.8,14.7
2020-11-24,S&P 500,46513,83420,-460,4760,8.6,15.5
2020-12-01,S&P 500,51026,82621,4513,-799,9.2,14.9
2020-12-08,S&P 500,52685,87183,1659,4562,9.1,15.1
2020-12-15,S&P 500,56567,82802,3882,-4381,8.9,13
2020-12-21,S&P 500,47491,77313,-9076,-5489,9.6,15.6
2020-12-29,S&P 500,47031,82871,-461,5558,9.3,16.4
2021-01-05,S&P 500,47873,86240,842,3369,9.2,16.5
2021-01-12,S&P 500,51701,88097,3829,1857,9.7,16.6
2021-01-19,S&P 500,49107,85998,-2594,-2098,9.2,16.1
2021-01-26,S&P 500,49127,93002,20,7003,9.1,17.2
2021-02-02,S&P 500,56663,95534,7536,2532,10.3,17.4
2021-02-09,S&P 500,54127,96342,-2537,808,9.9,17.6
2021-02-16,S&P 500,52968,106373,-1158,10031,9.6,19.3
2021-02-23,S&P 500,58935,98835,5966,-7538,10.6,17.8
2021-03-02,S&P 500,66317,91712,7382,-7123,11.3,15.7
2021-03-09,S&P 500,68960,84172,2643,-7539,11.8,14.4
2021-03-16,S&P 500,64436,86564,-4524,2392,10,13.4
2021-03-23,S&P 500,38561,78863,-25875,-7701,7.6,15.5
2021-03-30,S&P 500,43483,83091,4922,4228,8.2,15.7
2021-04-06,S&P 500,43224,92984,-259,9893,7.9,16.9
2021-04-13,S&P 500,44285,95476,1061,2492,7.9,17
2021-04-20,S&P 500,46890,92983,2605,-2493,8.2,16.3
2021-04-27,S&P 500,47186,92213,296,-770,8.1,15.9
2021-05-04,S&P 500,46043,92785,-1143,572,8,16
2021-05-11,S&P 500,47990,84587,1947,-8198,8.4,14.9
2021-05-18,S&P 500,48639,81625,650,-2963,8.7,14.5
2021-05-25,S&P 500,52153,77542,3513,-4083,8.9,13.2
2021-06-01,S&P 500,54469,80319,2316,2777,9.2,13.5
2021-06-08,S&P 500,53357,73031,-1112,-7288,8.8,12
2021-06-15,S&P 500,50233,78015,-3123,4984,7.5,11.7
2021-06-22,S&P 500,34461,72349,-15773,-5666,6.6,13.9
2021-06-29,S&P 500,38980,79068,4520,6719,7.4,15
2021-07-06,S&P 500,41976,82568,2996,3500,7.8,15.4
2021-07-13,S&P 500,41983,80703,6,-1866,7.7,14.9
2021-07-20,S&P 500,43957,78160,1975,-2543,8,14.2
2021-07-27,S&P 500,40035,77958,-3923,-202,7.1,13.9
2021-08-03,S&P 500,44114,79855,4079,1897,7.8,14
2021-08-10,S&P 500,43976,80546,-137,691,7.7,14.1
2021-08-17,S&P 500,41888,74035,-2088,-6511,7.2,12.7
2021-08-24,S&P 500,44917,74999,3029,964,7.6,12.7
2021-08-31,S&P 500,41349,73297,-3568,-1702,6.9,12.2
2021-09-07,S&P 500,43905,72058,2556,-1239,7.2,11.8
2021-09-14,S&P 500,45253,64125,1348,-7934,6.9,9.8
2021-09-21,S&P 500,38940,64109,-6313,-16,7.9,13.1
2021-09-28,S&P 500,49440,58186,10501,-5923,10.1,11.8
2021-10-05,S&P 500,50199,58640,759,454,10.3,12
2021-10-12,S&P 500,51414,55755,1214,-2885,10.7,11.6
2021-10-19,S&P 500,45642,64503,-5772,8748,9.6,13.5
2021-10-26,S&P 500,46794,60969,1152,-3535,9.7,12.7
2021-11-02,S&P 500,51865,59437,5072,-1532,10.7,12.2
2021-11-09,S&P 500,53345,60741,1480,1304,10.9,12.5
2021-11-16,S&P 500,49759,58411,-3586,-2329,10.1,11.9
2021-11-23,S&P 500,51654,52161,1895,-6250,10.5,10.6
2021-11-30,S&P 500,63614,51990,11960,-171,12.7,10.4
2021-12-07,S&P 500,57513,54131,-6101,2141,11.4,10.8
2021-12-14,S&P 500,62081,53143,4567,-988,11.3,9.6
2021-12-21,S&P 500,52426,54519,-9654,1376,11.6,12.1
2021-12-28,S&P 500,51013,70467,-1413,15948,11.1,15.4
2022-01-04,S&P 500,53291,73066,2277,2599,11.6,15.9
2022-01-11,S&P 500,50815,62368,-2476,-10697,11.1,13.7
2022-01-18,S&P 500,54528,57126,3713,-5242,11.8,12.4
2022-01-25,S&P 500,70782,49352,16254,-7774,14.9,10.4
2022-02-01,S&P 500,59711,49945,-11071,593,13.1,10.9
2022-02-08,S&P 500,56432,44724,-3279,-5221,12.7,10
2022-02-15,S&P 500,58480,52374,2048,7651,12.9,11.5
2022-02-22,S&P 500,64825,50142,6346,-2232,13.7,10.6
2022-03-01,S&P 500,59847,64617,-4978,14475,12.5,13.5
2022-03-08,S&P 500,60534,57346,687,-7271,12.4,11.8
2022-03-15,S&P 500,57171,66555,-3363,9209,11.1,12.9
2022-03-22,S&P 500,22370,76429,-34801,9874,5.3,18.1
