date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,USD DXY,22182,7087,-558,-1644,63.1,20.1
2020-01-14,USD DXY,19859,8186,-2323,1099,54.9,22.6
2020-01-21,USD DXY,18165,8560,-1694,374,50.6,23.9
2020-01-28,USD DXY,12803,10050,-5362,1490,35.6,27.9
2020-02-04,USD DXY,13950,12827,1147,2777,37.8,34.8
2020-02-11,USD DXY,22692,22766,8742,9939,45.7,45.9
2020-02-18,USD DXY,22744,16359,52,-6407,46.9,33.8
2020-02-25,USD DXY,21164,15277,-1580,-1082,44.2,31.9
2020-03-03,USD DXY,14300,7123,-6864,-8154,35.9,17.9
2020-03-10,USD DXY,28243,10451,13943,3328,62.8,23.2
2020-03-17,USD DXY,10935,14668,-17308,4217,43.2,57.9
2020-03-24,USD DXY,11044,14605,109,-63,39,51.5
2020-03-31,USD DXY,9065,14057,-1979,-548,31.3,48.5
2020-04-07,USD DXY,9109,12936,44,-1121,31.7,45.1
2020-04-14,USD DXY,10812,12923,1703,-13,36.4,43.6
2020-04-21,USD DXY,11848,14451,1036,1528,37.7,46
2020-04-28,USD DXY,12290,15706,442,1255,37.7,48.1
2020-05-05,USD DXY,11003,14714,-1287,-992,34.9,46.6
2020-05-12,USD DXY,11754,13757,751,-957,37.8,44.2
2020-05-19,USD DXY,12008,13180,254,-577,38.1,41.9
2020-05-26,USD DXY,9831,10229,-2177,-2951,34.7,36.1
2020-06-02,USD DXY,8704,6532,-1127,-3697,33.5,25.1
2020-06-09,USD DXY,18938,11361,10234,4829,55.8,33.5
2020-06-16,USD DXY,6739,12116,-12199,755,33.9,61
2020-06-23,USD DXY,9074,13935,2335,1819,42,64.5
2020-06-30,USD DXY,7146,12028,-1928,-1907,36.8,61.9
2020-07-07,USD DXY,9576,14180,2430,2152,41.9,62
2020-07-14,USD DXY,10332,13940,756,-240,44,59.3
2020-07-21,USD DXY,17878,19680,7546,5740,56.9,62.7
2020-07-28,USD DXY,24212,22346,6334,2666,64.9,59.9
2020-08-04,USD DXY,21271,19797,-2941,-2549,59.9,55.8
2020-08-11,USD DXY,19784,19620,-1487,-177,57.4,56.9
2020-08-18,USD DXY,18612,18810,-1172,-810,53.3,53.9
2020-08-25,USD DXY,12130,13404,-6482,-5406,39.5,43.6
2020-09-01,USD DXY,12990,11888,860,-1516,42.8,39.2
2020-09-08,USD DXY,12747,11785,-243,-103,42.8,39.6
2020-09-15,USD DXY,6687,14247,-6060,2462,23.5,50
2020-09-22,USD DXY,7060,13819,373,-428,24.5,48
2020-09-29,USD DXY,5337,13888,-1723,69,18.7,48.5
2020-10-06,USD DXY,6044,15483,707,1595,19.2,49.2
2020-10-13,USD DXY,8598,9496,2554,-5987,29.4,32.5
2020-10-20,USD DXY,9774,9985,1176,489,33.3,34
2020-10-27,USD DXY,11920,8990,2146,-995,40.2,30.3
2020-11-03,USD DXY,11721,6370,-199,-2620,44,23.9
2020-11-10,USD DXY,10272,8302,-1449,1932,35.3,28.6
2020-11-17,USD DXY,9509,8709,-763,407,32.3,29.6
2020-11-24,USD DXY,9882,10521,373,1812,31,33
2020-12-01,USD DXY,16063,14782,6181,4261,43.2,39.7
2020-12-08,USD DXY,21787,17246,5724,2464,44.9,35.5
2020-12-15,USD DXY,12942,15604,-8845,-1642,36.1,43.5
2020-12-21,USD DXY,13452,14127,510,-1477,38.7,40.7
2020-12-29,USD DXY,14397,14003,945,-124,40,38.9
2021-01-05,USD DXY,14708,14904,311,901,39.1,39.7
2021-01-12,USD DXY,10345,14024,-4363,-880,29.7,40.2
