date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,US 2Y NOTE,853143,1863594,-56503,28243,24.1,52.7
2020-01-14,US 2Y NOTE,908199,1863191,55056,-403,25.3,51.8
2020-01-21,US 2Y NOTE,919607,1819409,11408,-43782,25.2,49.8
2020-01-28,US 2Y NOTE,917542,1856923,-2065,37514,24.7,49.9
2020-02-04,US 2Y NOTE,977444,1834189,59902,-22734,25.2,47.2
2020-02-11,US 2Y NOTE,908901,1871261,-68543,37072,22.7,46.8
2020-02-18,US 2Y NOTE,868185,1855024,-40716,-16237,22,46.9
2020-02-25,US 2Y NOTE,818497,1625266,-49688,-229758,22.7,45.2
2020-03-03,US 2Y NOTE,828850,1577296,10353,-47970,25.2,48
2020-03-10,US 2Y NOTE,862394,1522929,33544,-54367,25.9,45.7
2020-03-17,US 2Y NOTE,832994,1497909,-29400,-25020,25.8,46.5
2020-03-24,US 2Y NOTE,863759,1465743,30765,-32166,28,47.5
2020-03-31,US 2Y NOTE,756757,1343738,-107002,-122005,26.5,47.1
2020-04-07,US 2Y NOTE,704869,1189401,-51888,-154337,26.4,44.5
2020-04-14,US 2Y NOTE,687691,1174849,-17178,-14552,25.9,44.3
2020-04-21,US 2Y NOTE,592661,1142411,-95030,-32438,23.1,44.6
2020-04-28,US 2Y NOTE,571007,1120420,-21654,-21991,22.8,44.8
2020-05-05,US 2Y NOTE,524200,1000028,-46807,-120392,21.8,41.5
2020-05-12,US 2Y NOTE,523276,1021437,-924,21409,21.6,42.1
2020-05-19,US 2Y NOTE,549994,965624,26718,-55813,22.7,39.8
2020-05-26,US 2Y NOTE,475267,857929,-74727,-107695,19.9,35.9
2020-06-02,US 2Y NOTE,474693,863819,-574,5890,21.3,38.8
2020-06-09,US 2Y NOTE,382974,807811,-91719,-56008,18,38.1
2020-06-16,US 2Y NOTE,366933,869910,-16041,62099,17.1,40.6
2020-06-23,US 2Y NOTE,352162,889624,-14771,19714,16.8,42.3
2020-06-30,US 2Y NOTE,378474,936402,26312,46778,17.9,44.2
2020-07-07,US 2Y NOTE,356152,903229,-22322,-33173,17.1,43.3
2020-07-14,US 2Y NOTE,360453,927464,4301,24235,17.2,44.2
2020-07-21,US 2Y NOTE,360943,933158,490,5694,17,44
2020-07-28,US 2Y NOTE,347440,939423,-13503,6265,16.4,44.4
2020-08-04,US 2Y NOTE,388362,1032745,40922,93322,17.6,46.7
2020-08-11,US 2Y NOTE,356868,973429,-31494,-59316,16.5,44.9
2020-08-18,US 2Y NOTE,343743,918945,-13125,-54484,16.4,43.7
2020-08-25,US 2Y NOTE,363391,933735,19648,14790,17,43.8
2020-09-01,US 2Y NOTE,362469,883291,-922,-50444,17.7,43.1
2020-09-08,US 2Y NOTE,326977,873450,-35492,-9841,16.4,43.9
2020-09-15,US 2Y NOTE,311981,874149,-14996,699,15.7,43.9
2020-09-22,US 2Y NOTE,357185,915541,45204,41392,17.6,45.2
2020-09-29,US 2Y NOTE,396754,888325,39569,-27216,19.7,44
2020-10-06,US 2Y NOTE,411447,929800,14693,41475,20.7,46.8
2020-10-13,US 2Y NOTE,396648,891307,-14799,-38493,20,44.9
2020-10-20,US 2Y NOTE,376034,866167,-20614,-25140,19.2,44.1
2020-10-27,US 2Y NOTE,421993,891456,45959,25289,21.2,44.7
2020-11-03,US 2Y NOTE,348699,855657,-73294,-35799,17.7,43.5
2020-11-10,US 2Y NOTE,409491,871597,60792,15940,20.4,43.4
2020-11-17,US 2Y NOTE,420327,814143,10836,-57454,20.8,40.3
2020-11-24,US 2Y NOTE,421106,778851,779,-35292,21.1,39.1
2020-12-01,US 2Y NOTE,327094,721376,-94012,-57475,17.6,38.9
2020-12-08,US 2Y NOTE,333411,672516,6317,-48860,18,36.4
2020-12-15,US 2Y NOTE,356117,720635,22706,48119,18.9,38.2
2020-12-21,US 2Y NOTE,349928,713500,-6189,-7135,18.5,37.7
2020-12-29,US 2Y NOTE,379119,769542,29191,56042,19.7,40
2021-01-05,US 2Y NOTE,372748,852410,-6371,82868,19.3,44.2
2021-01-12,US 2Y NOTE,388037,848602,15289,-3808,19.6,43
2021-01-19,US 2Y NOTE,395746,904224,7709,55622,20.1,45.9
2021-01-26,US 2Y NOTE,465986,991856,70240,87632,21.9,46.7
2021-02-02,US 2Y NOTE,440952,1046188,-25034,54332,20.3,48.2
2021-02-09,US 2Y NOTE,486899,1044427,45947,-1761,21.6,46.4
2021-02-16,US 2Y NOTE,549807,997324,62908,-47103,23.5,42.6
2021-02-23,US 2Y NOTE,610123,1034621,60316,37297,25.6,43.5
2021-03-02,US 2Y NOTE,529575,1034914,-80548,293,23.2,45.4
2021-03-09,US 2Y NOTE,545753,1189700,16178,154786,22.8,49.7
2021-03-16,US 2Y NOTE,581800,1103482,36047,-86218,24.6,46.6
2021-03-23,US 2Y NOTE,507516,1129887,-74284,26405,22.1,49.2
2021-03-30,US 2Y NOTE,510036,1139077,2520,9190,21.9,49
2021-04-06,US 2Y NOTE,522482,1150639,12446,11562,22.6,49.8
2021-04-13,US 2Y NOTE,508969,1122269,-13513,-28370,22.3,49.1
2021-04-20,US 2Y NOTE,508617,1107929,-352,-14340,22.4,48.9
2021-04-27,US 2Y NOTE,519404,1122703,10787,14774,22.6,48.9
2021-05-04,US 2Y NOTE,536469,1170933,17065,48230,22.7,49.6
2021-05-11,US 2Y NOTE,403081,1086563,-133388,-84370,17.6,47.3
2021-05-18,US 2Y NOTE,401484,1054206,-1597,-32357,17.6,46.1
2021-05-25,US 2Y NOTE,396742,1044360,-4742,-9846,17.1,45
2021-06-01,US 2Y NOTE,417575,1067540,20833,23180,18.5,47.3
2021-06-08,US 2Y NOTE,428124,1009438,10549,-58102,20.1,47.3
2021-06-15,US 2Y NOTE,425896,998908,-2228,-10530,20.1,47.1
2021-06-22,US 2Y NOTE,411456,816953,-14440,-181955,20,39.8
2021-06-29,US 2Y NOTE,443469,698571,32013,-118382,21.6,34.1
2021-07-06,US 2Y NOTE,473915,706371,30446,7800,22.8,34
2021-07-13,US 2Y NOTE,454511,708811,-19404,2440,22.7,35.3
2021-07-20,US 2Y NOTE,445442,708918,-9069,107,22.1,35.2
2021-07-27,US 2Y NOTE,424505,659417,-20937,-49501,21.5,33.4
2021-08-03,US 2Y NOTE,430241,662341,5736,2924,21.6,33.3
2021-08-10,US 2Y NOTE,455739,662908,25498,567,23.2,33.7
2021-08-17,US 2Y NOTE,470466,624229,14727,-38679,23.9,31.6
2021-08-24,US 2Y NOTE,437868,634568,-32598,10339,21.3,30.9
2021-08-31,US 2Y NOTE,486654,634259,48786,-309,24.9,32.5
2021-09-07,US 2Y NOTE,481970,666092,-4684,31833,24.7,34.1
2021-09-14,US 2Y NOTE,462784,635246,-19186,-30846,24,32.9
2021-09-21,US 2Y NOTE,474831,610554,12047,-24692,24.7,31.7
2021-09-28,US 2Y NOTE,442147,499330,-32684,-111224,23.9,27
2021-10-05,US 2Y NOTE,408998,445763,-33149,-53567,23.1,25.1
2021-10-12,US 2Y NOTE,449397,399210,40399,-46553,24.4,21.6
2021-10-19,US 2Y NOTE,575197,400666,125800,1456,28.9,20.1
2021-10-26,US 2Y NOTE,618243,319390,43046,-81276,30.5,15.7
2021-11-02,US 2Y NOTE,626540,232898,8297,-86492,30.5,11.3
2021-11-09,US 2Y NOTE,635503,193181,8963,-39717,31.6,9.6
2021-11-16,US 2Y NOTE,666060,185988,30557,-7193,33,9.2
2021-11-23,US 2Y NOTE,631422,213072,-34638,27084,29.6,10
2021-11-30,US 2Y NOTE,480870,155400,-150552,-57672,26.9,8.7
2021-12-07,US 2Y NOTE,525421,149554,44551,-5846,27.8,7.9
2021-12-14,US 2Y NOTE,597965,173365,72544,23811,30.4,8.8
2021-12-21,US 2Y NOTE,573456,170777,-24509,-2588,29.1,8.7
2021-12-28,US 2Y NOTE,568293,157948,-5163,-12829,28.9,8
2022-01-04,US 2Y NOTE,538073,163692,-30220,5744,27.6,8.4
2022-01-11,US 2Y NOTE,530263,199563,-7810,35871,26.3,9.9
2022-01-18,US 2Y NOTE,536093,218580,5830,19017,25.4,10.4
2022-01-25,US 2Y NOTE,489026,243334,-47067,24754,23.2,11.5
2022-02-01,US 2Y NOTE,626389,357436,137363,114102,27.6,15.7
2023-01-03,US 2Y NOTE,148970,886868,-12130,-72086,6.7,40
2023-01-10,US 2Y NOTE,310836,898780,161866,11912,13.4,38.7
2023-01-17,US 2Y NOTE,326169,887580,15333,-11200,14,38
2023-01-24,US 2Y NOTE,357738,927599,31569,40019,14.8,38.4
2023-01-31,US 2Y NOTE,308969,945226,-48769,17627,12.7,38.9
2023-02-07,US 2Y NOTE,398533,1112032,89564,166806,15.6,43.5
2023-02-14,US 2Y NOTE,473280,1185748,74747,73716,17.4,43.6
2023-02-21,US 2Y NOTE,505316,1184644,32036,-1104,17.5,41.1
2023-02-28,US 2Y NOTE,474057,1081971,-31259,-102673,17.9,40.9
2023-03-07,US 2Y NOTE,399198,1062123,-74859,-19848,15.6,41.6
2023-03-14,US 2Y NOTE,369734,806156,-29464,-255967,15.7,34.3
2023-03-21,US 2Y NOTE,470204,858097,100470,51941,20.3,37.1
2023-03-28,US 2Y NOTE,464902,930149,-5302,72052,19.7,39.5
2023-04-04,US 2Y NOTE,435038,921933,-29864,-8216,18.5,39.2
2023-04-11,US 2Y NOTE,474206,1055886,39168,133953,18.7,41.7
2023-04-18,US 2Y NOTE,506268,1184445,32062,128559,19.2,44.8
2023-04-25,US 2Y NOTE,535119,1257855,28851,73410,19.7,46.3
2023-05-02,US 2Y NOTE,525562,1346091,-9557,88236,19.1,48.8
2023-05-09,US 2Y NOTE,640434,1519848,114872,173757,21.3,50.5
2023-05-16,US 2Y NOTE,661053,1698663,20619,178815,20.9,53.7
2023-05-23,US 2Y NOTE,704675,1757158,43622,58495,21.6,53.8
2023-05-30,US 2Y NOTE,755221,1817909,50546,60751,23.9,57.5
2023-06-06,US 2Y NOTE,747997,1960918,-7224,143009,22.3,58.5
2023-06-13,US 2Y NOTE,772441,2001864,24444,40946,22.9,59.3
2023-06-20,US 2Y NOTE,801744,2077856,29303,75992,22.9,59.3
2023-06-27,US 2Y NOTE,818304,2111130,16560,33274,22.5,58
2023-07-03,US 2Y NOTE,789690,2129471,-28614,18341,21.5,58.1
2023-07-11,US 2Y NOTE,802393,2126731,12703,-2740,21.8,57.8
2023-07-18,US 2Y NOTE,710768,2138104,-91625,11373,19.4,58.5
2023-07-25,US 2Y NOTE,680052,2161324,-30716,23220,18.7,59.5
2023-08-01,US 2Y NOTE,675404,2160198,-4648,-1126,18.6,59.4
2023-08-08,US 2Y NOTE,781724,2197142,106320,36944,20.9,58.6
2023-08-15,US 2Y NOTE,773755,2218118,-7969,20976,20.3,58.1
2023-08-22,US 2Y NOTE,848011,2330995,74256,112877,21.3,58.5
2023-08-29,US 2Y NOTE,790267,2146503,-57744,-184492,21,57.1
2023-09-05,US 2Y NOTE,804984,2130279,14717,-16224,22,58.2
2023-09-12,US 2Y NOTE,767322,2096753,-37662,-33526,21,57.4
2023-09-19,US 2Y NOTE,765063,2127913,-2259,31160,20.5,57
2023-09-26,US 2Y NOTE,878193,2233583,113130,105670,22.5,57.2
2023-10-03,US 2Y NOTE,892973,2316881,14780,83298,22.6,58.5
2023-10-10,US 2Y NOTE,935244,2355757,42271,38876,23.3,58.7
2023-10-17,US 2Y NOTE,902041,2456368,-33203,100611,22.4,60.9
2023-10-24,US 2Y NOTE,1064841,2640137,162800,183769,25.3,62.8
2023-10-31,US 2Y NOTE,1030098,2627509,-34743,-12628,24.6,62.7
2023-11-07,US 2Y NOTE,933802,2649458,-96296,21949,22.5,63.7
2023-11-14,US 2Y NOTE,969636,2592085,35834,-57373,23,61.6
2023-11-21,US 2Y NOTE,894098,2516975,-75538,-75110,21.3,59.9
2023-11-28,US 2Y NOTE,906694,2438347,12596,-78628,22.2,59.8
2023-12-05,US 2Y NOTE,869060,2558654,-37634,120307,21.1,62.2
2023-12-12,US 2Y NOTE,833089,2411905,-35971,-146749,21.1,61.1
2023-12-19,US 2Y NOTE,815821,2340399,-17268,-71506,21.3,61.1
2023-12-26,US 2Y NOTE,761130,2292153,-54691,-48246,20.2,60.9
2024-01-02,US 2Y NOTE,776321,2269655,15191,-22498,20.6,60.2
2024-01-09,US 2Y NOTE,767110,2250500,-9211,-19155,20.3,59.5
2024-01-16,US 2Y NOTE,864296,2298853,97186,48353,22.2,58.9
2024-01-23,US 2Y NOTE,880536,2306334,16240,7481,22.3,58.5
2024-01-30,US 2Y NOTE,853061,2326574,-27475,20240,21.7,59.3
2024-02-06,US 2Y NOTE,787816,2275793,-65245,-50781,20,57.7
2024-02-13,US 2Y NOTE,771065,2254907,-16751,-20886,19.4,56.7
2024-02-20,US 2Y NOTE,727198,2183254,-43867,-71653,18,54.2
2024-02-27,US 2Y NOTE,592201,1985033,-134997,-198221,15.7,52.7
2024-03-05,US 2Y NOTE,554430,1982604,-37771,-2429,15.4,55
2024-03-12,US 2Y NOTE,497751,1921416,-56679,-61188,13.7,52.8
2024-03-19,US 2Y NOTE,563557,1869885,65806,-51531,15.2,50.6
2024-03-26,US 2Y NOTE,615138,1889548,51581,19663,16.5,50.7
2024-04-02,US 2Y NOTE,584968,1912871,-30170,23323,15.4,50.3
2024-04-09,US 2Y NOTE,609151,1939361,24183,26490,15.8,50.2
2024-04-16,US 2Y NOTE,312071,2085697,-297080,146336,7.8,52.3
2024-04-23,US 2Y NOTE,341701,2173663,29630,87966,8.4,53.6
2024-04-30,US 2Y NOTE,287539,2206260,-54162,32597,7,53.8
2024-05-07,US 2Y NOTE,302199,2208511,14660,2251,7.4,54.2
2024-05-14,US 2Y NOTE,328197,2160633,25998,-47878,8.1,53.5
2024-05-21,US 2Y NOTE,321148,2180572,-7049,19939,7.8,52.9
2024-05-28,US 2Y NOTE,265759,2056332,-55389,-124240,6.4,49.8
2024-06-04,US 2Y NOTE,284316,2096065,18557,39733,7.4,54.6
2024-06-11,US 2Y NOTE,329279,2259466,44963,163401,8.3,56.7
2024-06-18,US 2Y NOTE,336968,2435546,7689,176080,8.2,59.3
2024-06-25,US 2Y NOTE,365932,2512545,28964,76999,8.8,60.5
2024-07-02,US 2Y NOTE,401768,2565105,35836,52560,9.5,60.3
2024-07-09,US 2Y NOTE,419745,2607263,17977,42158,9.7,60.5
2024-07-16,US 2Y NOTE,465165,2675837,45420,68574,10.5,60.3
2024-07-23,US 2Y NOTE,485531,2718274,20366,42437,10.9,61.2
2024-07-30,US 2Y NOTE,503119,2680007,17588,-38267,11.4,60.9
2024-08-06,US 2Y NOTE,446864,2652679,-56255,-27328,10.1,60
2024-08-13,US 2Y NOTE,455652,2741624,8788,88945,10.2,61.5
2024-08-20,US 2Y NOTE,400480,2743183,-55172,1559,9,61.3
2024-08-27,US 2Y NOTE,330145,2488095,-70335,-255088,7.6,57.5
2024-09-03,US 2Y NOTE,365919,2561590,35774,73495,8.7,60.6
2024-09-10,US 2Y NOTE,401827,2656011,35908,94421,9.3,61.2
2024-09-17,US 2Y NOTE,367572,2622027,-34255,-33984,8.5,60.8
2024-09-24,US 2Y NOTE,445448,2738950,77876,116923,10,61.2
2024-10-01,US 2Y NOTE,435808,2808270,-9640,69320,9.8,62.9
2024-10-08,US 2Y NOTE,424887,2828436,-10921,20166,9.6,63.7
