date,market_name,leveraged_long,leveraged_short,change_long,change_short,open_interest_long_pct,open_interest_short_pct
2020-01-07,VIX,41795,122722,5502,4970,9.7,28.6
2020-01-14,VIX,63976,129761,22181,7039,13.6,27.6
2020-01-21,VIX,68270,122731,4294,-7030,14.3,25.6
2020-01-28,VIX,46171,117326,-22099,-5405,10.6,27.1
2020-02-04,VIX,43199,125826,-2972,8500,10.1,29.4
2020-02-11,VIX,49182,116749,5983,-9077,11.6,27.5
2020-02-18,VIX,54875,119796,5693,3047,12.9,28.2
2020-02-25,VIX,43937,152458,-10938,32662,10.2,35.4
2020-03-03,VIX,90557,169024,46620,16566,20.1,37.5
2020-03-10,VIX,100212,155396,9655,-13628,22.2,34.5
2020-03-17,VIX,90178,133027,-10034,-22369,20.8,30.6
2020-03-24,VIX,57687,86418,-32491,-46609,21.5,32.2
2020-03-31,VIX,36700,85808,-20987,-610,15.6,36.5
2020-04-07,VIX,28105,96463,-8595,10655,11.2,38.5
2020-04-14,VIX,27167,92474,-938,-3989,10.7,36.5
2020-04-21,VIX,21895,92686,-5272,212,10.3,43.7
2020-04-28,VIX,17142,79430,-4753,-13256,8.1,37.7
2020-05-05,VIX,13504,82344,-3638,2914,6.1,37.4
2020-05-12,VIX,16047,75350,2543,-6994,7,32.7
2020-05-19,VIX,15202,84419,-845,9069,6.3,34.9
2020-05-26,VIX,13401,69076,-1801,-15343,6.4,33.1
2020-06-02,VIX,18164,81546,4763,12470,7.6,34.3
2020-06-09,VIX,15988,84067,-2176,2521,6.2,32.6
2020-06-16,VIX,14758,93236,-1230,9169,5.5,35.1
2020-06-23,VIX,6939,87137,-7819,-6099,2.8,35
2020-06-30,VIX,6386,94441,-553,7304,2.5,36.8
2020-07-07,VIX,20536,92421,14150,-2020,7.5,34
2020-07-14,VIX,24266,102878,3730,10457,8.7,37
2020-07-21,VIX,36705,107958,12439,5080,12.4,36.5
2020-07-28,VIX,30553,100779,-6152,-7179,11.4,37.5
2020-08-04,VIX,29394,101928,-1159,1149,10.6,36.8
2020-08-11,VIX,36071,100576,6677,-1352,12.4,34.5
2020-08-18,VIX,42625,101697,6554,1121,13.8,32.9
2020-08-25,VIX,43654,104428,1029,2731,14.4,34.4
2020-09-01,VIX,42613,103049,-1041,-1379,14.2,34.3
2020-09-08,VIX,35604,88543,-7009,-14506,13.3,33.1
2020-09-15,VIX,39978,81567,4374,-6976,15.2,30.9
2020-09-22,VIX,36102,83832,-3876,2265,14.1,32.8
2020-09-29,VIX,39030,85428,2928,1596,14.9,32.6
2020-10-06,VIX,38124,88321,-906,2893,14.2,33
2020-10-13,VIX,35532,94110,-2592,5789,12.7,33.6
2020-10-20,VIX,38326,99008,2794,4898,13.7,35.4
2020-10-27,VIX,26636,109462,-11690,10454,10.1,41.5
2020-11-03,VIX,21377,127523,-5259,18061,7.5,45
2020-11-10,VIX,30673,117764,9296,-9759,11.4,43.8
2020-11-17,VIX,35271,111752,4598,-6012,12.5,39.5
2020-11-24,VIX,23404,104137,-11867,-7615,8.8,39.2
2020-12-01,VIX,27376,108857,3972,4720,9.8,38.8
2020-12-08,VIX,34109,115875,6733,7018,11.5,38.9
2020-12-15,VIX,31624,120514,-2485,4639,10.4,39.7
2020-12-21,VIX,24578,112917,-7046,-7597,8.5,39
2020-12-29,VIX,24876,112069,298,-848,8.8,39.5
2021-01-05,VIX,29336,130323,4460,18254,9.9,43.9
2021-01-12,VIX,33631,133000,4295,2677,10.3,40.9
2021-01-19,VIX,34706,135813,1075,2813,9.9,38.9
2021-01-26,VIX,35067,144238,361,8425,10.2,42.1
2021-02-02,VIX,30528,135869,-4539,-8369,9.6,42.7
2021-02-09,VIX,43201,142515,12673,6646,11.6,38.3
2021-02-16,VIX,44307,160078,1106,17563,10.5,37.8
2021-02-23,VIX,29643,160579,-14664,501,7.6,40.9
2021-03-02,VIX,23952,156398,-5691,-4181,6.2,40.5
2021-03-09,VIX,28419,154828,4467,-1570,7.2,39.1
2021-03-16,VIX,37399,145203,8980,-9625,9.1,35.2
2021-03-23,VIX,32122,138329,-5277,-6874,8.4,36
2021-03-30,VIX,27262,127330,-4860,-10999,7.6,35.6
2021-04-06,VIX,31125,122012,3863,-5318,8.5,33.5
2021-04-13,VIX,39498,127142,8373,5130,10.5,33.7
2021-04-20,VIX,50784,128555,11286,1413,13.2,33.5
2021-04-27,VIX,34629,118786,-16155,-9769,9.8,33.6
2021-05-04,VIX,31006,121427,-3623,2641,8.6,33.7
2021-05-11,VIX,26200,127323,-4806,5896,7.2,35
2021-05-18,VIX,27796,111293,1596,-16030,8,31.9
2021-05-25,VIX,29476,110216,1680,-1077,8.7,32.7
2021-06-01,VIX,32830,100361,3354,-9855,9.8,30
2021-06-08,VIX,43812,96561,10982,-3800,12.4,27.4
2021-06-15,VIX,40672,95114,-3140,-1447,11.4,26.7
2021-06-22,VIX,31151,86342,-9521,-8772,9.8,27.2
2021-06-29,VIX,36072,97036,4921,10694,11,29.6
2021-07-06,VIX,38847,100735,2775,3699,11.4,29.5
2021-07-13,VIX,35441,96497,-3406,-4238,11,30
2021-07-20,VIX,26995,99728,-8446,3231,8.3,30.7
2021-07-27,VIX,23282,90285,-3713,-9443,7.7,29.9
2021-08-03,VIX,26005,95212,2723,4927,8.3,30.4
2021-08-10,VIX,32159,88159,6154,-7053,10.3,28.1
2021-08-17,VIX,38639,82404,6480,-5755,12.1,25.8
2021-08-24,VIX,28007,79704,-10632,-2700,9.6,27.5
2021-08-31,VIX,40440,93244,12433,13540,13,29.9
2021-09-07,VIX,37683,95384,-2757,2140,11.7,29.5
2021-09-14,VIX,30287,93095,-7396,-2289,9.3,28.6
2021-09-21,VIX,25534,100536,-4753,7441,7.9,31.1
2021-09-28,VIX,28937,90130,3403,-10406,9.3,28.9
2021-10-05,VIX,27123,90016,-1814,-114,8.8,29.3
