ticker,company_name,fit_price_available,availability_status
AAPL,Apple Inc.,True,core_daily_price_data
AMZN,"Amazon.Com, Inc.",True,core_daily_price_data
BA,The Boeing Company,True,core_daily_price_data
DIS,The Walt Disney Company,True,core_daily_price_data
GOOGL,Alphabet Inc.,True,core_daily_price_data
HD,"The Home Depot, Inc.",True,core_daily_price_data
KO,The Coca-Cola Company,True,core_daily_price_data
LIN,Linde Public Limited Company,True,core_daily_price_data
META,"Meta Platforms, Inc.",True,core_daily_price_data
MSFT,Microsoft Corporation,True,core_daily_price_data
NEE,"Nextera Energy, Inc.",True,core_daily_price_data
NVDA,Nvidia Corporation,True,core_daily_price_data
ORCL,Oracle Corporation,True,core_daily_price_data
PFE,Pfizer Inc.,True,core_daily_price_data
PLD,"Prologis, Inc.",True,core_daily_price_data
TSLA,"Tesla, Inc.",True,core_daily_price_data
V,Visa Inc.,True,core_daily_price_data
XOM,Exxon Mobil Corporation,True,core_daily_price_data
